O,H0+H19+H20+H21+H22+H31
O043213,H21
O043214,H21
O043215,H21
O043216,H21
O043217,H21
O043218,H21
O043219,H21
O044212,H20+H21
O044213,H21
O044214,H21
O044215,H21
O044216,H21
O044217,H21
O044218,H21
O044219,H21
O045212,H20+H21
O045213,H21
O045214,H21
O045215,H21
O045216,H21
O045217,H21
O045218,H21
O045219,H21
O046212,H20+H21
O046213,H21
O046214,H21
O046215,H21
O046216,H21
O046217,H21
O046218,H21
O046219,H21
O047212,H20+H21
O047213,H21
O047214,H21
O047215,H21
O047216,H21
O047217,H21
O047218,H21
O047219,H21
O048212,H20+H21
O048213,H21
O048214,H21
O048215,H21
O048216,H21
O048217,H21
O048218,H21
O048219,H21
O049211,H20+H21
O049212,H20+H21
O049213,H21
O049214,H21
O049215,H21
O049216,H21
O049217,H21
O049218,H21
O049219,H21
O0520,H20+H21
O056209,H20+H21
O057208,H20+H21
O057209,H20+H21
O058204,H20+H21
O058205,H20+H21
O058206,H20+H21
O058207,H20+H21
O058208,H20+H21
O058209,H21
O059200,H20+H21
O059201,H20+H21
O059202,H20+H21
O059203,H20+H21
O059204,H20+H21
O059205,H21
O059206,H21
O059207,H21
O059208,H21
O059209,H21
O0521,H20+H21
O050211,H20+H21
O050212,H21
O050213,H21
O050214,H21
O050215,H21
O050216,H21
O050217,H21
O050218,H21
O050219,H21
O051211,H20+H21
O051212,H21
O051213,H21
O051214,H21
O051215,H21
O051216,H21
O051217,H21
O051218,H21
O051219,H21
O052211,H20+H21
O052212,H21
O052213,H21
O052214,H21
O052215,H21
O052216,H21
O052217,H21
O052218,H21
O052219,H21
O053211,H20+H21
O053212,H21
O053213,H21
O053214,H21
O053215,H21
O053216,H21
O053217,H21
O053218,H21
O053219,H21
O054211,H20+H21
O054212,H20+H21
O054213,H21
O054214,H21
O054215,H21
O054216,H21
O054217,H21
O054218,H21
O054219,H21
O055211,H20+H21
O055212,H20+H21
O055213,H21
O055214,H21
O055215,H21
O055216,H21
O055217,H21
O055218,H21
O055219,H21
O056210,H20+H21
O056211,H20+H21
O056212,H21
O056213,H21
O056214,H21
O056215,H21
O056216,H21
O056217,H21
O056218,H21
O056219,H21
O057210,H21
O057211,H21
O057212,H21
O057213,H21
O057214,H21
O057215,H21
O057216,H21
O057217,H21
O057218,H21
O057219,H21
O058210,H21
O058211,H21
O058212,H21
O058213,H21
O058214,H21
O058215,H21
O058216,H21
O058217,H21
O058218,H21
O058219,H21
O059210,H21
O059211,H21
O059212,H21
O059213,H21
O059214,H21
O059215,H21
O059216,H21
O059217,H21
O059218,H21
O059219,H21
O02L,H21
O02M,H21
O02N,H21
O02P,H21
O02Q,H21
O02R,H21
O02S,H21
O02T,H21
O02U,H21
O02V,H21
O02W,H21
O02X,H21
O02Y,H21
O02Z,H21
O03,H19+H21+H22
O03SW,H19+H21
O03NW,H19+H21+H22
O03SE,H21
O03NE,H21
O03A,H19+H21
O0030,H21
O0031,H19+H21
O000310,H21
O000311,H21
O000312,H19+H21
O000313,H19+H21
O000314,H19+H21
O000315,H19+H21
O000316,H19+H21
O000317,H19+H21
O001310,H21
O001311,H21
O001312,H21
O001313,H21
O001314,H21
O001315,H21
O001316,H21
O001317,H19+H21
O001318,H19+H21
O001319,H19+H21
O002310,H21
O002311,H21
O002312,H21
O002313,H21
O002314,H21
O002315,H21
O002316,H21
O002317,H21
O002318,H21
O002319,H19+H21
O003310,H21
O003311,H21
O003312,H21
O003313,H21
O003314,H21
O003315,H21
O003316,H21
O003317,H21
O003318,H21
O003319,H21
O004310,H21
O004311,H21
O004312,H21
O004313,H21
O004314,H21
O004315,H21
O004316,H21
O004317,H21
O004318,H21
O004319,H21
O005310,H21
O005311,H21
O005312,H21
O005313,H21
O005314,H21
O005315,H21
O005316,H21
O005317,H21
O005318,H21
O005319,H21
O006310,H21
O006311,H21
O006312,H21
O006313,H21
O006314,H21
O006315,H21
O006316,H21
O006317,H21
O006318,H21
O006319,H21
O007310,H21
O007311,H21
O007312,H21
O007313,H21
O007314,H21
O007315,H21
O007316,H21
O007317,H21
O007318,H21
O007319,H21
O008310,H21
O008311,H21
O008312,H21
O008313,H21
O008314,H21
O008315,H21
O008316,H21
O008317,H21
O008318,H21
O008319,H21
O009310,H21
O009311,H21
O009312,H21
O009313,H21
O009314,H21
O009315,H21
O009316,H21
O009317,H21
O009318,H21
O009319,H21
O0130,H21
O0131,H21
O03B,H19+H21
O0032,H19+H21
O002320,H19+H21
O003320,H19+H21
O003321,H19+H21
O003322,H19+H21
O003323,H19+H21
O003324,H19+H21
O004320,H21
O004321,H19+H21
O004322,H21
O004323,H21
O004324,H19+H21
O004325,H19+H21
O004326,H19+H21
O004329,H19+H21
O005320,H21
O005321,H21
O005322,H21
O005323,H21
O005324,H21
O005325,H19+H21
O005326,H19+H21
O005327,H19+H21
O005328,H19+H21
O005329,H19+H21
O006320,H21
O006321,H21
O006322,H21
O006323,H21
O006324,H21
O006325,H21
O006326,H21
O006327,H21
O006328,H19+H21
O006329,H19+H21
O007320,H21
O007321,H21
O007322,H21
O007323,H21
O007324,H21
O007325,H21
O007326,H21
O007327,H21
O007328,H21
O007329,H21
O008320,H21
O008321,H21
O008322,H21
O008323,H21
O008324,H21
O008325,H21
O008326,H21
O008327,H21
O008328,H21
O008329,H21
O009320,H21
O009321,H21
O009322,H21
O009323,H21
O009324,H21
O009325,H21
O009326,H21
O009327,H21
O009328,H21
O009329,H21
O0033,H19+H21
O000335,H19+H21
O000336,H19+H21
O000337,H19+H21
O000338,H19+H21
O000339,H19+H21
O001333,H19+H21
O001334,H19+H21
O001335,H19+H21
O001336,H21
O001337,H21
O001338,H21
O001339,H19+H21
O002333,H19+H21
O002334,H19+H21
O002335,H21
O002336,H21
O002337,H21
O002338,H21
O002339,H21
O003332,H19+H21
O003333,H19+H21
O003334,H19+H21
O003335,H21
O003336,H21
O003337,H21
O003338,H21
O003339,H21
O004330,H19+H21
O004331,H19+H21
O004332,H19+H21
O004333,H19+H21
O004334,H21
O004335,H21
O004336,H21
O004337,H21
O004338,H21
O004339,H21
O005330,H19+H21
O005331,H21
O005332,H21
O005333,H21
O005334,H21
O005335,H21
O005336,H21
O005337,H21
O005338,H21
O005339,H21
O006330,H19+H21
O006331,H21
O006332,H21
O006333,H21
O006334,H21
O006335,H21
O006336,H21
O006337,H21
O006338,H21
O006339,H21
O007330,H21
O007331,H21
O007332,H21
O007333,H21
O007334,H21
O007335,H21
O007336,H21
O007337,H21
O007338,H21
O007339,H21
O008330,H21
O008331,H21
O008332,H21
O008333,H21
O008334,H21
O008335,H21
O008336,H21
O008337,H21
O008338,H21
O008339,H21
O009330,H21
O009331,H21
O009332,H21
O009333,H21
O009334,H21
O009335,H21
O009336,H21
O009337,H21
O009338,H21
O009339,H21
O0132,H21
O0133,H21
O03C,H19+H21
O0034,H19+H21
O001340,H19+H21
O001341,H19+H21
O002340,H21
O002341,H19+H21
O002342,H19+H21
O002347,H19+H21
O003340,H21
O003341,H21
O003342,H19+H21
O003343,H19+H21
O003344,H19+H21
O003345,H19+H21
O003346,H19+H21
O003347,H19+H21
O003348,H19+H21
O003349,H19+H21
O004340,H21
O004341,H21
O004342,H21
O004343,H21
O004344,H21
O004345,H19+H21
O004346,H19+H21
O004347,H21
O004348,H21
O004349,H19+H21
O005340,H21
O005341,H21
O005342,H21
O005343,H21
O005344,H21
O005345,H21
O005346,H21
O005347,H21
O005348,H21
O005349,H21
O006340,H21
O006341,H21
O006342,H21
O006343,H21
O006344,H21
O006345,H21
O006346,H21
O006347,H21
O006348,H21
O006349,H21
O007340,H21
O007341,H21
O007342,H21
O007343,H21
O007344,H21
O007345,H21
O007346,H21
O007347,H21
O007348,H21
O007349,H21
O008340,H21
O008341,H21
O008342,H21
O008343,H21
O008344,H21
O008345,H21
O008346,H21
O008347,H21
O008348,H21
O008349,H21
O009340,H21
O009341,H21
O009342,H21
O009343,H21
O009344,H21
O009345,H21
O009346,H21
O009347,H21
O009348,H21
O009349,H21
O0035,H19+H21
O004350,H19+H21
O004351,H19+H21
O004352,H19+H21
O005350,H21
O005351,H19+H21
O005352,H19+H21
O005353,H19+H21
O005354,H19+H21
O005355,H19+H21
O005356,H19+H21
O005357,H19+H21
O006350,H21
O006351,H21
O006352,H21
O006353,H21
O006354,H21
O006355,H21
O006356,H21
O006357,H19+H21
O006358,H19+H21
O007350,H21
O007351,H21
O007352,H21
O007353,H21
O007354,H21
O007355,H21
O007356,H21
O007357,H21
O007358,H19+H21
O008350,H21
O008351,H21
O008352,H21
O008353,H21
O008354,H21
O008355,H21
O008356,H21
O008357,H19+H21
O008358,H19+H21
O009350,H21
O009351,H21
O009352,H21
O009353,H21
O009354,H21
O009355,H21
O009356,H21
O009357,H19+H21
O0134,H21
O0135,H19+H21
O010350,H21
O010351,H21
O010352,H21
O010353,H21
O010354,H21
O010355,H21
O010356,H21
O010357,H19+H21
O011350,H21
O011351,H21
O011352,H21
O011353,H21
O011354,H21
O011355,H21
O011356,H21
O011357,H19+H21
O012350,H21
O012351,H21
O012352,H21
O012353,H21
O012354,H21
O012355,H21
O012356,H21
O012357,H19+H21
O012358,H19+H21
O013350,H21
O013351,H21
O013352,H21
O013353,H21
O013354,H21
O013355,H21
O013356,H21
O013357,H19+H21
O013358,H19+H21
O014350,H21
O014351,H21
O014352,H21
O014353,H21
O014354,H21
O014355,H21
O014356,H21
O014357,H19+H21
O014358,H19+H21
O015350,H21
O015351,H21
O015352,H21
O015353,H21
O015354,H21
O015355,H21
O015356,H21
O015357,H21
O015358,H19+H21
O015359,H19+H21
O016350,H21
O016351,H21
O016352,H21
O016353,H21
O016354,H21
O016355,H21
O016356,H21
O016357,H21
O016358,H21
O016359,H21
O017350,H21
O017351,H21
O017352,H21
O017353,H21
O017354,H21
O017355,H21
O017356,H21
O017357,H21
O017358,H21
O017359,H21
O018350,H21
O018351,H21
O018352,H21
O018353,H21
O018354,H21
O018355,H21
O018356,H21
O018357,H21
O018358,H21
O018359,H21
O019350,H21
O019351,H21
O019352,H21
O019353,H21
O019354,H21
O019355,H21
O019356,H21
O019357,H21
O019358,H21
O019359,H21
O03D,H19+H21
O0136,H19+H21
O015360,H19+H21
O016360,H19+H21
O016361,H19+H21
O016362,H19+H21
O016363,H19+H21
O016364,H19+H21
O016365,H19+H21
O016366,H19+H21
O016367,H19+H21
O017360,H21
O017361,H21
O017362,H21
O017363,H21
O017364,H21
O017365,H21
O017366,H21
O017367,H19+H21
O017368,H19+H21
O017369,H19+H21
O018360,H21
O018361,H21
O018362,H21
O018363,H21
O018364,H21
O018365,H21
O018366,H21
O018367,H21
O018368,H21
O018369,H21
O019360,H21
O019361,H21
O019362,H21
O019363,H21
O019364,H21
O019365,H21
O019366,H21
O019367,H21
O019368,H21
O019369,H21
O0137,H19+H21
O017370,H19+H21
O017371,H19+H21
O017372,H19+H21
O017373,H19+H21
O018370,H21
O018371,H21
O018372,H21
O018373,H19+H21
O018374,H19+H21
O018375,H19+H21
O018376,H19+H21
O019370,H21
O019371,H21
O019372,H21
O019373,H21
O019374,H21
O019375,H21
O019376,H19+H21
O019377,H19+H21
O019378,H19+H21
O019379,H19+H21
O03F,H21
O03G,H21
O03H,H21
O03I,H19+H21
O0236,H21
O0237,H19+H21
O020370,H21
O020371,H21
O020372,H21
O020373,H21
O020374,H21
O020375,H21
O020376,H21
O020377,H21
O020378,H21
O020379,H19+H21
O021370,H21
O021371,H21
O021372,H21
O021373,H21
O021374,H21
O021375,H21
O021376,H21
O021377,H21
O021378,H21
O021379,H21
O022370,H21
O022371,H21
O022372,H21
O022373,H21
O022374,H21
O022375,H21
O022376,H21
O022377,H21
O022378,H21
O022379,H21
O023370,H21
O023371,H21
O023372,H21
O023373,H21
O023374,H21
O023375,H21
O023376,H21
O023377,H21
O023378,H21
O023379,H21
O024370,H21
O024371,H21
O024372,H21
O024373,H21
O024374,H21
O024375,H21
O024376,H21
O024377,H21
O024378,H21
O024379,H21
O025370,H21
O025371,H21
O025372,H21
O025373,H21
O025374,H21
O025375,H21
O025376,H21
O025377,H21
O025378,H21
O025379,H21
O026370,H21
O026371,H21
O026372,H21
O026373,H21
O026374,H21
O026375,H21
O026376,H21
O026377,H21
O026378,H21
O026379,H21
O027370,H21
O027371,H21
O027372,H21
O027373,H21
O027374,H21
O027375,H21
O027376,H21
O027377,H21
O027378,H21
O027379,H21
O028370,H21
O028371,H21
O028372,H21
O028373,H21
O028374,H21
O028375,H21
O028376,H21
O028377,H21
O028378,H21
O028379,H21
O029370,H21
O029371,H21
O029372,H21
O029373,H21
O029374,H21
O029375,H21
O029376,H21
O029377,H21
O029378,H21
O029379,H21
O0336,H21
O0337,H21
O03J,H19+H21+H22
O0238,H19+H21+H22
O020380,H19+H21
O020381,H19+H21
O020382,H19+H21
O021380,H21
O021381,H21
O021382,H19+H21
O022380,H21
O022381,H19+H21
O022382,H19+H21
O023380,H21
O023381,H19+H21
O023382,H19+H21
O023383,H19+H21
O023384,H19+H21
O024380,H21
O024381,H21
O024382,H21
O024383,H21
O024384,H19+H21
O024385,H19+H21
O024386,H19+H21+H22
O025380,H21
O025381,H21
O025382,H21
O025383,H21
O025384,H21
O025385,H21
O025386,H19+H21+H22
O025387,H21+H22
O026380,H21
O026381,H21
O026382,H21
O026383,H21
O026384,H21
O026385,H21
O026386,H21
O026387,H21+H22
O026388,H21+H22
O027380,H21
O027381,H21
O027382,H21
O027383,H21
O027384,H21
O027385,H21
O027386,H21
O027387,H21
O027388,H21+H22
O027389,H21+H22
O028380,H21
O028381,H21
O028382,H21
O028383,H21
O028384,H21
O028385,H21
O028386,H21
O028387,H21
O028388,H21
O028389,H21+H22
O029380,H21
O029381,H21
O029382,H21
O029383,H21
O029384,H21
O029385,H21
O029386,H21
