J,H0+H31+H36+H37+H38+H39
J088274,H38
J088275,H38
J088276,H38
J088277,H38
J088278,H38
J088279,H38
J089270,H38
J089271,H38
J089272,H38
J089273,H38
J089274,H38
J089275,H38
J089276,H38
J089277,H38
J089278,H38
J089279,H38
J0926,H38
J0927,H38
J02Z,H37+H38
J0828,H37+H38
J080282,H37+H38
J080283,H38
J080284,H38
J080285,H38
J080286,H38
J080287,H38
J080288,H38
J080289,H38
J081282,H37+H38
J081283,H37+H38
J081284,H38
J081285,H38
J081286,H38
J081287,H38
J081288,H38
J081289,H38
J082282,H37+H38
J082283,H37+H38
J082284,H38
J082285,H38
J082286,H38
J082287,H38
J082288,H38
J082289,H38
J083281,H37+H38
J083282,H37+H38
J083283,H38
J083284,H38
J083285,H38
J083286,H38
J083287,H38
J083288,H38
J083289,H38
J084280,H37+H38
J084281,H37+H38
J084282,H38
J084283,H38
J084284,H38
J084285,H38
J084286,H38
J084287,H38
J084288,H38
J084289,H38
J085280,H37+H38
J085281,H38
J085282,H38
J085283,H38
J085284,H38
J085285,H38
J085286,H38
J085287,H38
J085288,H38
J085289,H38
J086280,H37+H38
J086281,H38
J086282,H38
J086283,H38
J086284,H38
J086285,H38
J086286,H38
J086287,H38
J086288,H38
J086289,H38
J087280,H38
J087281,H38
J087282,H38
J087283,H38
J087284,H38
J087285,H38
J087286,H38
J087287,H38
J087288,H38
J087289,H38
J088280,H38
J088281,H38
J088282,H38
J088283,H38
J088284,H38
J088285,H38
J088286,H38
J088287,H38
J088288,H38
J088289,H38
J089280,H38
J089281,H38
J089282,H38
J089283,H38
J089284,H38
J089285,H38
J089286,H38
J089287,H38
J089288,H38
J089289,H38
J0829,H38
J0928,H38
J0929,H38
J03,H37+H38
J03SE,H37+H38
J03NE,H37+H38
J03Q,H37+H38
J0631,H37+H38
J067319,H37+H38
J068316,H37+H38
J068317,H37+H38
J068318,H37+H38
J068319,H37+H38
J069314,H37+H38
J069315,H37+H38
J069316,H37+H38
J069317,H38
J069318,H38
J069319,H38
J0730,H37+H38
J073309,H37+H38
J074304,H37+H38
J074305,H37+H38
J074306,H37+H38
J074307,H37+H38
J074308,H37+H38
J074309,H37+H38
J075302,H37+H38
J075303,H37+H38
J075304,H37+H38
J075305,H38
J075306,H38
J075307,H38
J075308,H38
J075309,H38
J076300,H37+H38
J076301,H37+H38
J076302,H37+H38
J076303,H38
J076304,H38
J076305,H38
J076306,H38
J076307,H38
J076308,H38
J076309,H38
J077300,H38
J077301,H38
J077302,H38
J077303,H38
J077304,H38
J077305,H38
J077306,H38
J077307,H38
J077308,H38
J077309,H38
J078300,H38
J078301,H38
J078302,H38
J078303,H38
J078304,H38
J078305,H38
J078306,H38
J078307,H38
J078308,H38
J078309,H38
J079300,H38
J079301,H38
J079302,H38
J079303,H38
J079304,H38
J079305,H38
J079306,H38
J079307,H38
J079308,H38
J079309,H38
J0731,H37+H38
J070314,H37+H38
J070315,H38
J070316,H38
J070317,H38
J070318,H38
J070319,H38
J071312,H37+H38
J071313,H37+H38
J071314,H37+H38
J071315,H38
J071316,H38
J071317,H38
J071318,H38
J071319,H38
J072311,H37+H38
J072312,H37+H38
J072313,H38
J072314,H38
J072315,H38
J072316,H38
J072317,H38
J072318,H38
J072319,H38
J073310,H37+H38
J073311,H37+H38
J073312,H38
J073313,H38
J073314,H38
J073315,H38
J073316,H38
J073317,H38
J073318,H38
J073319,H38
J074310,H38
J074311,H38
J074312,H38
J074313,H38
J074314,H38
J074315,H38
J074316,H38
J074317,H38
J074318,H38
J074319,H38
J075310,H38
J075311,H38
J075312,H38
J075313,H38
J075314,H38
J075315,H38
J075316,H38
J075317,H38
J075318,H38
J075319,H38
J076310,H38
J076311,H38
J076312,H38
J076313,H38
J076314,H38
J076315,H38
J076316,H38
J076317,H38
J076318,H38
J076319,H38
J077310,H38
J077311,H38
J077312,H38
J077313,H38
J077314,H38
J077315,H38
J077316,H38
J077317,H38
J077318,H38
J077319,H38
J078310,H38
J078311,H38
J078312,H38
J078313,H38
J078314,H38
J078315,H38
J078316,H38
J078317,H38
J078318,H38
J078319,H38
J079310,H38
J079311,H38
J079312,H38
J079313,H38
J079314,H38
J079315,H38
J079316,H38
J079317,H38
J079318,H38
J079319,H38
J03R,H37+H38
J0632,H37+H38
J065329,H37+H38
J066328,H37+H38
J066329,H37+H38
J067320,H37+H38
J067321,H37+H38
J067322,H37+H38
J067327,H37+H38
J067328,H37+H38
J067329,H38
J068320,H38
J068321,H38
J068322,H37+H38
J068323,H37+H38
J068324,H37+H38
J068325,H37+H38
J068326,H37+H38
J068327,H37+H38
J068328,H38
J068329,H38
J069320,H38
J069321,H38
J069322,H38
J069323,H38
J069324,H38
J069325,H38
J069326,H38
J069327,H38
J069328,H38
J069329,H38
J0633,H37+H38
J063332,H37+H38
J063333,H37+H38
J063334,H37+H38
J063335,H37+H38
J063336,H37+H38
J063337,H37+H38
J063338,H37+H38
J063339,H37+H38
J064330,H37+H38
J064331,H37+H38
J064332,H37+H38
J064333,H38
J064334,H38
J064335,H38
J064336,H38
J064337,H38
J064338,H38
J064339,H38
J065330,H37+H38
J065331,H38
J065332,H38
J065333,H38
J065334,H38
J065335,H38
J065336,H38
J065337,H38
J065338,H38
J065339,H38
J066330,H38
J066331,H38
J066332,H38
J066333,H38
J066334,H38
J066335,H38
J066336,H38
J066337,H38
J066338,H38
J066339,H38
J067330,H38
J067331,H38
J067332,H38
J067333,H38
J067334,H38
J067335,H38
J067336,H38
J067337,H38
J067338,H38
J067339,H38
J068330,H38
J068331,H38
J068332,H38
J068333,H38
J068334,H38
J068335,H38
J068336,H38
J068337,H38
J068338,H38
J068339,H38
J069330,H38
J069331,H38
J069332,H38
J069333,H38
J069334,H38
J069335,H38
J069336,H38
J069337,H38
J069338,H38
J069339,H38
J0732,H38
J0733,H38
J03S,H37+H38
J0634,H37+H38
J060341,H37+H38
J060342,H37+H38
J060343,H37+H38
J060344,H37+H38
J061341,H37+H38
J061342,H38
J061343,H38
J061344,H37+H38
J061345,H37+H38
J061346,H37+H38
J062340,H37+H38
J062341,H37+H38
J062342,H38
J062343,H38
J062344,H38
J062345,H38
J062346,H37+H38
J063340,H37+H38
J063341,H38
J063342,H38
J063343,H38
J063344,H38
J063345,H38
J063346,H37+H38
J063347,H37+H38
J064340,H38
J064341,H38
J064342,H38
J064343,H38
J064344,H38
J064345,H38
J064346,H38
J064347,H37+H38
J064348,H37+H38
J065340,H38
J065341,H38
J065342,H38
J065343,H38
J065344,H38
J065345,H38
J065346,H38
J065347,H38
J065348,H37+H38
J065349,H37+H38
J066340,H38
J066341,H38
J066342,H38
J066343,H38
J066344,H38
J066345,H38
J066346,H38
J066347,H38
J066348,H38
J066349,H38
J067340,H38
J067341,H38
J067342,H38
J067343,H38
J067344,H38
J067345,H38
J067346,H38
J067347,H38
J067348,H38
J067349,H38
J068340,H38
J068341,H38
J068342,H38
J068343,H38
J068344,H38
J068345,H38
J068346,H38
J068347,H38
J068348,H38
J068349,H38
J069340,H38
J069341,H38
J069342,H38
J069343,H38
J069344,H38
J069345,H38
J069346,H38
J069347,H38
J069348,H38
J069349,H38
J0635,H37+H38
J065350,H37+H38
J066350,H37+H38
J066351,H37+H38
J067350,H38
J067351,H37+H38
J067352,H37+H38
J067353,H37+H38
J067354,H37+H38
J068350,H38
J068351,H38
J068352,H38
J068353,H38
J068354,H37+H38
J068355,H37+H38
J068356,H37+H38
J068357,H37+H38
J068358,H37+H38
J068359,H37+H38
J069350,H38
J069351,H38
J069352,H38
J069353,H38
J069354,H38
J069355,H38
J069356,H38
J069357,H38
J069358,H38
J069359,H38
J0734,H38
J0735,H38
J03T,H37+H38
J0636,H37+H38
J064367,H37+H38
J064368,H37+H38
J065364,H37+H38
J065365,H37+H38
J065366,H37+H38
J065367,H37+H38
J065368,H37+H38
J065369,H37+H38
J066363,H37+H38
J066364,H37+H38
J066365,H38
J066366,H38
J066367,H38
J066368,H38
J066369,H37+H38
J067362,H37+H38
J067363,H37+H38
J067364,H38
J067365,H38
J067366,H38
J067367,H38
J067368,H38
J067369,H37+H38
J068360,H37+H38
J068361,H37+H38
J068362,H37+H38
J068363,H38
J068364,H38
J068365,H38
J068366,H38
J068367,H38
J068368,H38
J068369,H37+H38
J069360,H38
J069361,H38
J069362,H38
J069363,H38
J069364,H38
J069365,H38
J069366,H38
J069367,H38
J069368,H38
J069369,H38
J0637,H37+H38
J068370,H37+H38
J069370,H37+H38
J069371,H37+H38
J0736,H38
J0737,H37+H38
J070370,H38
J070371,H37+H38
J070377,H37+H38
J070378,H37+H38
J070379,H37+H38
J071370,H38
J071371,H37+H38
J071372,H37+H38
J071373,H37+H38
J071376,H37+H38
J071377,H37+H38
J071378,H38
J071379,H38
J072370,H38
J072371,H38
J072372,H38
J072373,H37+H38
J072374,H37+H38
J072375,H37+H38
J072376,H37+H38
J072377,H38
J072378,H38
J072379,H38
J073370,H38
J073371,H38
J073372,H38
J073373,H38
J073374,H38
J073375,H38
J073376,H38
J073377,H38
J073378,H38
J073379,H38
J074370,H38
J074371,H38
J074372,H38
J074373,H38
J074374,H38
J074375,H38
J074376,H38
J074377,H38
J074378,H38
J074379,H38
J075370,H38
J075371,H38
J075372,H38
J075373,H38
J075374,H38
J075375,H38
J075376,H38
J075377,H38
J075378,H38
J075379,H38
J076370,H38
J076371,H38
J076372,H38
J076373,H38
J076374,H38
J076375,H38
J076376,H38
J076377,H38
J076378,H38
J076379,H38
J077370,H38
J077371,H38
J077372,H38
J077373,H38
J077374,H38
J077375,H38
J077376,H38
J077377,H38
J077378,H38
J077379,H38
J078370,H38
J078371,H38
J078372,H38
J078373,H38
J078374,H38
J078375,H38
J078376,H38
J078377,H38
J078378,H38
J078379,H38
J079370,H38
J079371,H38
J079372,H38
J079373,H38
J079374,H38
J079375,H38
J079376,H38
J079377,H38
J079378,H38
J079379,H38
J03U,H37+H38
J0638,H37+H38
J063389,H37+H38
J064388,H37+H38
J064389,H37+H38
J065387,H37+H38
J065388,H37+H38
J065389,H38
J066386,H37+H38
J066387,H37+H38
J066388,H38
J066389,H38
J067384,H37+H38
J067385,H37+H38
J067386,H37+H38
J067387,H38
J067388,H38
J067389,H38
J068383,H37+H38
J068384,H37+H38
J068385,H38
J068386,H38
J068387,H38
J068388,H38
J068389,H38
J069382,H37+H38
J069383,H37+H38
J069384,H38
J069385,H38
J069386,H38
J069387,H38
J069388,H38
J069389,H38
J0639,H37+H38
J060393,H37+H38
J060394,H37+H38
J061391,H37+H38
J061392,H37+H38
J061393,H37+H38
J061394,H37+H38
J061395,H37+H38
J061396,H37+H38
J061397,H37+H38
J061398,H37+H38
J062390,H37+H38
J062391,H37+H38
J062392,H38
J062393,H38
J062394,H38
J062395,H38
J062396,H38
J062397,H38
J062398,H37+H38
J062399,H37+H38
J063390,H37+H38
J063391,H38
J063392,H38
J063393,H38
J063394,H38
J063395,H38
J063396,H38
J063397,H38
J063398,H38
J063399,H38
J064390,H38
J064391,H38
J064392,H38
J064393,H38
J064394,H38
J064395,H38
J064396,H38
J064397,H38
J064398,H38
J064399,H38
J065390,H38
J065391,H38
J065392,H38
J065393,H38
J065394,H38
J065395,H38
J065396,H38
J065397,H38
J065398,H38
J065399,H38
J066390,H38
J066391,H38
J066392,H38
J066393,H38
J066394,H38
J066395,H38
J066396,H38
J066397,H38
J066398,H38
J066399,H38
J067390,H38
J067391,H38
J067392,H38
J067393,H38
J067394,H38
J067395,H38
J067396,H38
J067397,H38
J067398,H38
J067399,H38
J068390,H38
J068391,H38
J068392,H38
J068393,H38
J068394,H38
J068395,H38
J068396,H38
J068397,H38
J068398,H38
J068399,H38
J069390,H38
J069391,H38
J069392,H38
J069393,H38
J069394,H38
J069395,H38
J069396,H38
J069397,H38
J069398,H38
J069399,H38
J0738,H37+H38
J070380,H37+H38
J070381,H37+H38
J070382,H37+H38
J070383,H38
J070384,H38
J070385,H38
J070386,H38
J070387,H38
J070388,H38
J070389,H38
J071380,H38
J071381,H38
J071382,H38
J071383,H38
J071384,H38
J071385,H38
J071386,H38
J071387,H38
J071388,H38
J071389,H38
J072380,H38
J072381,H38
J072382,H38
J072383,H38
J072384,H38
J072385,H38
J072386,H38
J072387,H38
J072388,H38
J072389,H38
J073380,H38
J073381,H38
J073382,H38
J073383,H38
J073384,H38
J073385,H38
J073386,H38
J073387,H38
J073388,H38
J073389,H38
J074380,H38
J074381,H38
J074382,H38
J074383,H38
J074384,H38
J074385,H38
J074386,H38
J074387,H38
J074388,H38
J074389,H38
J075380,H38
J075381,H38
J075382,H38
J075383,H38
J075384,H38
J075385,H38
J075386,H38
J075387,H38
J075388,H38
J075389,H38
J076380,H38
J076381,H38
J076382,H38
J076383,H38
J076384,H38
J076385,H38
J076386,H38
J076387,H38
J076388,H38
J076389,H38
J077380,H38
J077381,H38
J077382,H38
J077383,H38
J077384,H38
J077385,H38
J077386,H38
J077387,H38
J077388,H38
J077389,H38
J078380,H38
J078381,H38
J078382,H38
J078383,H38
J078384,H38
J078385,H38
J078386,H38
J078387,H38
J078388,H38
J078389,H38
J079380,H38
J079381,H38
J079382,H38
J079383,H38
J079384,H38
J079385,H38
J079386,H38
J079387,H38
J079388,H38
J079389,H38
J0739,H38
J03V,H38
J03W,H38
J03X,H38
J03Y,H38
J03Z,H38
J04,H37+H38
J04NW,H37+H38
J04SE,H37+H38
J04NE,H37+H38
J04M,H37+H38
J0545,H37+H38
J056459,H37+H38
J057458,H37+H38
J057459,H37+H38
J058458,H37+H38
J058459,H38
J059457,H37+H38
J059458,H37+H38
J059459,H38
J04N,H37+H38
J0546,H37+H38
J053469,H37+H38
J054463,H37+H38
J054464,H37+H38
J054465,H37+H38
J054466,H37+H38
J054467,H37+H38
J054468,H37+H38
J054469,H37+H38
J055462,H37+H38
J055463,H37+H38
J055464,H37+H38
J055465,H38
J055466,H38
J055467,H38
J055468,H38
J055469,H38
J056460,H37+H38
J056461,H37+H38
J056462,H37+H38
J056463,H38
J056464,H38
J056465,H38
J056466,H38
J056467,H38
J056468,H38
J056469,H38
J057460,H37+H38
J057461,H38
J057462,H38
J057463,H38
J057464,H38
J057465,H38
J057466,H38
J057467,H38
J057468,H38
J057469,H38
J058460,H38
J058461,H38
J058462,H38
J058463,H38
J058464,H38
J058465,H38
J058466,H38
J058467,H38
J058468,H38
J058469,H38
J059460,H38
J059461,H38
J059462,H38
J059463,H38
J059464,H38
J059465,H38
J059466,H38
J059467,H38
J059468,H38
J059469,H38
J0547,H37+H38
J050475,H37+H38
J050476,H37+H38
J050477,H37+H38
J050478,H37+H38
J050479,H37+H38
J051472,H37+H38
J051473,H37+H38
J051474,H37+H38
J051475,H37+H38
J051476,H37+H38
J051477,H37+H38
J051478,H38
J051479,H38
J052471,H37+H38
J052472,H37+H38
J052473,H38
J052474,H38
J052475,H38
J052476,H38
J052477,H38
J052478,H38
J052479,H38
J053470,H37+H38
J053471,H37+H38
J053472,H38
J053473,H38
J053474,H38
J053475,H38
J053476,H38
J053477,H38
J053478,H38
J053479,H38
J054470,H38
J054471,H38
J054472,H38
J054473,H38
J054474,H38
J054475,H38
J054476,H38
J054477,H38
J054478,H38
J054479,H38
J055470,H38
J055471,H38
J055472,H38
J055473,H38
J055474,H38
J055475,H38
J055476,H38
J055477,H38
J055478,H38
J055479,H38
J056470,H38
J056471,H38
J056472,H38
J056473,H38
J056474,H38
J056475,H38
J056476,H38
J056477,H38
J056478,H38
J056479,H38
J057470,H38
J057471,H38
J057472,H38
J057473,H38
J057474,H38
J057475,H38
J057476,H38
J057477,H38
J057478,H38
J057479,H38
J058470,H38
J058471,H38
J058472,H38
J058473,H38
J058474,H38
J058475,H38
J058476,H38
J058477,H38
J058478,H38
J058479,H38
J059470,H38
J059471,H38
J059472,H38
J059473,H38
J059474,H38
J059475,H38
J059476,H38
J059477,H38
J059478,H38
J059479,H38
J04P,H37+H38
J0448,H37+H38
J044488,H37+H38
J044489,H37+H38
J045486,H37+H38
J045487,H37+H38
J045488,H37+H38
J045489,H38
J046484,H37+H38
J046485,H37+H38
J046486,H37+H38
J046487,H38
J046488,H38
J046489,H38
J047483,H37+H38
J047484,H37+H38
J047485,H38
J047486,H38
J047487,H38
J047488,H38
J047489,H38
J048482,H37+H38
J048483,H37+H38
J048484,H38
J048485,H38
J048486,H38
J048487,H38
J048488,H38
J048489,H38
J049482,H37+H38
J049483,H38
J049484,H38
J049485,H38
J049486,H38
J049487,H38
J049488,H38
J049489,H38
J0449,H37+H38
J041499,H37+H38
J042498,H37+H38
J042499,H37+H38
J043493,H37+H38
J043494,H37+H38
J043495,H37+H38
J043496,H37+H38
J043497,H37+H38
J043498,H37+H38
J043499,H38
J044490,H37+H38
J044491,H37+H38
J044492,H37+H38
J044493,H37+H38
J044494,H38
J044495,H38
J044496,H38
J044497,H38
J044498,H38
J044499,H38
J045490,H38
J045491,H38
J045492,H38
J045493,H38
J045494,H38
J045495,H38
J045496,H38
J045497,H38
J045498,H38
J045499,H38
J046490,H38
J046491,H38
J046492,H38
J046493,H38
J046494,H38
J046495,H38
J046496,H38
J046497,H38
J046498,H38
J046499,H38
J047490,H38
J047491,H38
J047492,H38
J047493,H38
J047494,H38
J047495,H38
J047496,H38
J047497,H38
J047498,H38
J047499,H38
J048490,H38
J048491,H38
J048492,H38
J048493,H38
J048494,H38
J048495,H38
J048496,H38
J048497,H38
J048498,H38
J048499,H38
J049490,H38
J049491,H38
J049492,H38
J049493,H38
J049494,H38
J049495,H38
J049496,H38
J049497,H38
J049498,H38
J049499,H38
J0548,H37+H38
J050480,H37+H38
J050481,H37+H38
J050482,H37+H38
J050483,H38
J050484,H38
J050485,H38
J050486,H38
J050487,H38
J050488,H38
J050489,H38
J051480,H38
J051481,H38
J051482,H38
J051483,H38
J051484,H38
J051485,H38
J051486,H38
J051487,H38
J051488,H38
J051489,H38
J052480,H38
J052481,H38
J052482,H38
J052483,H38
J052484,H38
J052485,H38
J052486,H38
J052487,H38
J052488,H38
J052489,H38
J053480,H38
J053481,H38
J053482,H38
J053483,H38
J053484,H38
J053485,H38
J053486,H38
J053487,H38
J053488,H38
J053489,H38
J054480,H38
J054481,H38
J054482,H38
J054483,H38
J054484,H38
J054485,H38
J054486,H38
J054487,H38
J054488,H38
J054489,H38
J055480,H38
J055481,H38
J055482,H38
J055483,H38
J055484,H38
J055485,H38
J055486,H38
J055487,H38
J055488,H38
J055489,H38
J056480,H38
J056481,H38
J056482,H38
J056483,H38
J056484,H38
J056485,H38
J056486,H38
J056487,H38
J056488,H38
J056489,H38
J057480,H38
J057481,H38
J057482,H38
J057483,H38
J057484,H38
J057485,H38
J057486,H38
J057487,H38
J057488,H38
J057489,H38
J058480,H38
J058481,H38
J058482,H38
J058483,H38
J058484,H38
J058485,H38
J058486,H38
J058487,H38
J058488,H38
J058489,H38
J059480,H38
J059481,H38
J059482,H38
J059483,H38
J059484,H38
J059485,H38
J059486,H38
J059487,H38
J059488,H38
J059489,H38
J0549,H38
J04Q,H37+H38
J0640,H37+H38
J062400,H37+H38
J062401,H37+H38
J062402,H37+H38
J062403,H37+H38
J062404,H37+H38
J062405,H37+H38
J062406,H37+H38
J062407,H37+H38
J062408,H37+H38
J063400,H38
J063401,H38
J063402,H38
J063403,H38
J063404,H38
J063405,H38
J063406,H38
J063407,H38
J063408,H37+H38
J063409,H37+H38
J064400,H38
J064401,H38
J064402,H38
J064403,H38
J064404,H38
J064405,H38
J064406,H38
J064407,H38
J064408,H38
J064409,H38
J065400,H38
J065401,H38
J065402,H38
J065403,H38
J065404,H38
J065405,H38
J065406,H38
J065407,H38
J065408,H38
J065409,H38
J066400,H38
J066401,H38
J066402,H38
J066403,H38
J066404,H38
J066405,H38
J066406,H38
J066407,H38
J066408,H38
J066409,H38
J067400,H38
J067401,H38
J067402,H38
J067403,H38
J067404,H38
J067405,H38
J067406,H38
J067407,H38
J067408,H38
J067409,H38
J068400,H38
J068401,H38
J068402,H38
J068403,H38
J068404,H38
J068405,H38
J068406,H38
J068407,H38
J068408,H38
J068409,H38
J069400,H38
J069401,H38
J069402,H38
J069403,H38
J069404,H38
J069405,H38
J069406,H38
J069407,H38
J069408,H38
J069409,H38
J0641,H37+H38
J063410,H37+H38
J064410,H37+H38
J064411,H37+H38
J064412,H37+H38
J065410,H38
J065411,H38
J065412,H37+H38
J065413,H37+H38
J065414,H37+H38
J066410,H38
J066411,H38
J066412,H38
J066413,H38
J066414,H37+H38
J066415,H37+H38
J066419,H37+H38
J067410,H38
J067411,H38
J067412,H38
J067413,H38
J067414,H38
J067415,H37+H38
J067416,H37+H38
J067417,H37+H38
J067418,H37+H38
J067419,H37+H38
J068410,H38
J068411,H38
J068412,H38
J068413,H38
J068414,H38
J068415,H38
J068416,H38
J068417,H38
J068418,H38
J068419,H38
J069410,H38
J069411,H38
J069412,H38
J069413,H38
J069414,H38
J069415,H38
J069416,H38
J069417,H38
J069418,H38
J069419,H38
J0740,H38
J0741,H38
J04R,H37+H38
J0642,H37+H38
J064424,H37+H38
J064425,H37+H38
J064426,H37+H38
J064427,H37+H38
J064428,H37+H38
J064429,H37+H38
J065420,H37+H38
J065421,H37+H38
J065422,H37+H38
J065423,H37+H38
J065424,H37+H38
J065425,H38
J065426,H38
J065427,H38
J065428,H38
J065429,H38
J066420,H37+H38
J066421,H38
J066422,H38
J066423,H38
J066424,H38
J066425,H38
J066426,H38
J066427,H38
J066428,H38
J066429,H38
J067420,H38
J067421,H38
J067422,H38
J067423,H38
J067424,H38
J067425,H38
J067426,H38
J067427,H38
J067428,H38
J067429,H38
J068420,H38
J068421,H38
J068422,H38
J068423,H38
J068424,H38
J068425,H38
J068426,H38
J068427,H38
J068428,H38
J068429,H38
J069420,H38
J069421,H38
J069422,H38
J069423,H38
J069424,H38
J069425,H38
J069426,H38
J069427,H38
J069428,H38
J069429,H38
J0643,H37+H38
J063433,H37+H38
J063434,H37+H38
J063435,H37+H38
J063436,H37+H38
J063437,H37+H38
J063438,H37+H38
J063439,H37+H38
J064430,H37+H38
J064431,H37+H38
J064432,H37+H38
J064433,H37+H38
J064434,H38
J064435,H38
J064436,H38
J064437,H38
J064438,H38
J064439,H37+H38
J065430,H38
J065431,H38
J065432,H38
J065433,H38
J065434,H38
J065435,H38
J065436,H38
J065437,H38
J065438,H38
J065439,H38
J066430,H38
J066431,H38
J066432,H38
J066433,H38
J066434,H38
J066435,H38
J066436,H38
J066437,H38
J066438,H38
J066439,H38
J067430,H38
J067431,H38
J067432,H38
J067433,H38
J067434,H38
J067435,H38
J067436,H38
