L,H0+H9+H16+H27
L850079,H0+H9
L851079,H0+H9
L853078,H0+H9
L853079,H0+H9
L854075,H0+H9
L854076,H0+H9
L854077,H0+H9
L854078,H0+H9
L854079,H0+H9
L855076,H0+H9
L855077,H9
L855078,H9
L855079,H9
L856075,H0+H9
L856076,H0+H9
L856077,H9
L856078,H9
L856079,H9
L857076,H0+H9
L857077,H9
L857078,H9
L857079,H9
L858075,H0+H9
L858076,H0+H9
L858077,H9
L858078,H9
L858079,H9
L859075,H0+H9
L859076,H9
L859077,H9
L859078,H9
L859079,H9
L80P,H0+H9
L8408,H0+H9
L840085,H0+H9
L840086,H0+H9
L840087,H9
L840088,H9
L840089,H9
L841085,H0+H9
L841086,H9
L841087,H9
L841088,H9
L841089,H9
L842084,H0+H9
L842085,H0+H9
L842086,H9
L842087,H9
L842088,H9
L842089,H9
L843084,H0+H9
L843085,H9
L843086,H9
L843087,H9
L843088,H9
L843089,H9
L844084,H0+H9
L844085,H9
L844086,H9
L844087,H9
L844088,H9
L844089,H9
L845084,H0+H9
L845085,H9
L845086,H9
L845087,H9
L845088,H9
L845089,H9
L846083,H0+H9
L846084,H0+H9
L846085,H9
L846086,H9
L846087,H9
L846088,H9
L846089,H9
L847083,H0+H9
L847084,H9
L847085,H9
L847086,H9
L847087,H9
L847088,H9
L847089,H9
L848083,H0+H9
L848084,H9
L848085,H9
L848086,H9
L848087,H9
L848088,H9
L848089,H9
L849083,H0+H9
L849084,H9
L849085,H9
L849086,H9
L849087,H9
L849088,H9
L849089,H9
L8409,H9
L8508,H0+H9
L850080,H0+H9
L850082,H0+H9
L850083,H0+H9
L850084,H9
L850085,H9
L850086,H9
L850087,H9
L850088,H9
L850089,H9
L851080,H0+H9
L851081,H0+H9
L851082,H0+H9
L851083,H9
L851084,H9
L851085,H9
L851086,H9
L851087,H9
L851088,H9
L851089,H9
L852081,H0+H9
L852082,H9
L852083,H9
L852084,H9
L852085,H9
L852086,H9
L852087,H9
L852088,H9
L852089,H9
L853080,H0+H9
L853081,H0+H9
L853082,H9
L853083,H9
L853084,H9
L853085,H9
L853086,H9
L853087,H9
L853088,H9
L853089,H9
L854080,H9
L854081,H9
L854082,H9
L854083,H9
L854084,H9
L854085,H9
L854086,H9
L854087,H9
L854088,H9
L854089,H9
L855080,H9
L855081,H9
L855082,H9
L855083,H9
L855084,H9
L855085,H9
L855086,H9
L855087,H9
L855088,H9
L855089,H9
L856080,H9
L856081,H9
L856082,H9
L856083,H9
L856084,H9
L856085,H9
L856086,H9
L856087,H9
L856088,H9
L856089,H9
L857080,H9
L857081,H9
L857082,H9
L857083,H9
L857084,H9
L857085,H9
L857086,H9
L857087,H9
L857088,H9
L857089,H9
L858080,H9
L858081,H9
L858082,H9
L858083,H9
L858084,H9
L858085,H9
L858086,H9
L858087,H9
L858088,H9
L858089,H9
L859080,H9
L859081,H9
L859082,H9
L859083,H9
L859084,H9
L859085,H9
L859086,H9
L859087,H9
L859088,H9
L859089,H9
L8509,H9
L80T,H0+H9
L8607,H0+H9
L860075,H0+H9
L860076,H0+H9
L860077,H9
L860078,H9
L860079,H9
L861076,H0+H9
L861077,H9
L861078,H9
L861079,H9
L862076,H0+H9
L862077,H9
L862078,H9
L862079,H9
L863076,H0+H9
L863077,H0+H9
L863078,H9
L863079,H9
L864077,H0+H9
L864078,H9
L864079,H9
L865077,H0+H9
L865078,H9
L865079,H9
L866076,H0+H9
L866077,H0+H9
L866078,H9
L866079,H9
L867076,H0+H9
L867077,H9
L867078,H9
L867079,H9
L868073,H0+H9
L868074,H0+H9
L868075,H0+H9
L868076,H0+H9
L868077,H9
L868078,H9
L868079,H9
L869071,H0+H9
L869072,H0+H9
L869073,H0+H9
L869074,H0+H9
L869075,H9
L869076,H9
L869077,H9
L869078,H9
L869079,H9
L8706,H0+H9
L873068,H0+H9
L873069,H0+H9
L874067,H0+H9
L874068,H0+H9
L874069,H0+H9
L875067,H0+H9
L875068,H9
L875069,H9
L876066,H0+H9
L876067,H0+H9
L876068,H9
L876069,H9
L877066,H0+H9
L877067,H0+H9
L877068,H9
L877069,H9
L878065,H0+H9
L878066,H0+H9
L878067,H0+H9
L878068,H9
L878069,H9
L879065,H0+H9
L879066,H0+H9
L879067,H9
L879068,H9
L879069,H9
L8707,H0+H9
L870072,H0+H9
L870073,H0+H9
L870074,H0+H9
L870075,H9
L870076,H9
L870077,H9
L870078,H9
L870079,H9
L871070,H0+H9
L871073,H0+H9
L871074,H9
L871075,H9
L871076,H9
L871077,H9
L871078,H9
L871079,H9
L872070,H0+H9
L872071,H0+H9
L872072,H0+H9
L872073,H0+H9
L872074,H9
L872075,H9
L872076,H9
L872077,H9
L872078,H9
L872079,H9
L873070,H0+H9
L873071,H9
L873072,H9
L873073,H9
L873074,H9
L873075,H9
L873076,H9
L873077,H9
L873078,H9
L873079,H9
L874070,H0+H9
L874071,H9
L874072,H9
L874073,H9
L874074,H9
L874075,H9
L874076,H9
L874077,H9
L874078,H9
L874079,H9
L875070,H9
L875071,H9
L875072,H9
L875073,H9
L875074,H9
L875075,H9
L875076,H9
L875077,H9
L875078,H9
L875079,H9
L876070,H9
L876071,H9
L876072,H9
L876073,H9
L876074,H9
L876075,H9
L876076,H9
L876077,H9
L876078,H9
L876079,H9
L877070,H9
L877071,H9
L877072,H9
L877073,H9
L877074,H9
L877075,H9
L877076,H9
L877077,H9
L877078,H9
L877079,H9
L878070,H9
L878071,H9
L878072,H9
L878073,H9
L878074,H9
L878075,H9
L878076,H9
L878077,H9
L878078,H9
L878079,H9
L879070,H9
L879071,H9
L879072,H9
L879073,H9
L879074,H9
L879075,H9
L879076,H9
L879077,H9
L879078,H9
L879079,H9
L80U,H0+H9
L8608,H9
L8609,H9
L8708,H0+H9
L870080,H9
L870081,H9
L870082,H9
L870083,H9
L870084,H9
L870085,H9
L870086,H9
L870087,H9
L870088,H9
L870089,H9
L871080,H9
L871081,H9
L871082,H9
L871083,H9
L871084,H9
L871085,H9
L871086,H9
L871087,H9
L871088,H9
L871089,H9
L872080,H9
L872081,H9
L872082,H9
L872083,H9
L872084,H9
L872085,H9
L872086,H9
L872087,H9
L872088,H9
L872089,H9
L873080,H9
L873081,H9
L873082,H9
L873083,H9
L873084,H9
L873085,H9
L873086,H9
L873087,H9
L873088,H9
L873089,H9
L874080,H9
L874081,H9
L874082,H9
L874083,H9
L874084,H9
L874085,H9
L874086,H9
L874087,H9
L874088,H9
L874089,H9
L875080,H9
L875081,H9
L875082,H9
L875083,H9
L875084,H9
L875085,H9
L875086,H9
L875087,H9
L875088,H9
L875089,H9
L876080,H9
L876081,H9
L876082,H9
L876083,H9
L876084,H9
L876085,H9
L876086,H9
L876087,H9
L876088,H9
L876089,H9
L877080,H9
L877081,H9
L877082,H9
L877083,H9
L877084,H9
L877085,H9
L877086,H9
L877087,H9
L877088,H9
L877089,H9
L878080,H9
L878081,H9
L878082,H9
L878083,H9
L878084,H9
L878085,H9
L878086,H9
L878087,H9
L878088,H9
L878089,H9
L879080,H9
L879081,H9
L879082,H9
L879083,H0+H9
L879084,H0+H9
L879085,H0+H9
L879086,H9
L879087,H9
L879088,H9
L879089,H9
L8709,H9
L80X,H0+H9
L8805,H0+H9
L885058,H0+H9
L885059,H0+H9
L886057,H0+H9
L886058,H0+H9
L886059,H9
L887057,H0+H9
L887058,H9
L887059,H9
L888057,H0+H9
L888058,H9
L888059,H9
L889056,H0+H9
L889057,H0+H9
L889058,H9
L889059,H9
L8905,H0+H9
L890055,H0+H9
L890056,H0+H9
L890057,H9
L890058,H9
L890059,H9
L891054,H0+H9
L891055,H0+H9
L891056,H9
L891057,H9
L891058,H9
L891059,H9
L892054,H0+H9
L892055,H9
L892056,H9
L892057,H9
L892058,H9
L892059,H9
L893054,H0+H9
L893055,H0+H9
L893056,H9
L893057,H9
L893058,H9
L893059,H9
L894055,H0+H9
L894056,H9
L894057,H9
L894058,H9
L894059,H9
L895054,H0+H9
L895055,H0+H9
L895056,H9
L895057,H9
L895058,H9
L895059,H9
L896054,H0+H9
L896055,H9
L896056,H9
L896057,H9
L896058,H9
L896059,H9
L897054,H0+H9
L897055,H9
L897056,H9
L897057,H9
L897058,H9
L897059,H9
L898054,H0+H9
L898055,H9
L898056,H9
L898057,H9
L898058,H9
L898059,H9
L899054,H0+H9
L899055,H0+H9
L899056,H9
L899057,H9
L899058,H9
L899059,H9
L80Y,H0+H9
L8806,H0+H9
L880063,H0+H9
L880064,H0+H9
L880065,H0+H9
L880066,H0+H9
L880067,H9
L880068,H9
L880069,H9
L881062,H0+H9
L881063,H0+H9
L881064,H9
L881065,H9
L881066,H9
L881067,H9
L881068,H9
L881069,H9
L882062,H0+H9
L882063,H9
L882064,H9
L882065,H9
L882066,H9
L882067,H9
L882068,H9
L882069,H9
L883062,H0+H9
L883063,H9
L883064,H9
L883065,H9
L883066,H9
L883067,H9
L883068,H9
L883069,H9
L884060,H0+H9
L884061,H0+H9
L884062,H0+H9
L884063,H9
L884064,H9
L884065,H9
L884066,H9
L884067,H9
L884068,H9
L884069,H9
L885060,H0+H9
L885061,H9
L885062,H9
L885063,H9
L885064,H9
L885065,H9
L885066,H9
L885067,H9
L885068,H9
L885069,H9
L886060,H9
L886061,H9
L886062,H9
L886063,H9
L886064,H9
L886065,H9
L886066,H9
L886067,H9
L886068,H9
L886069,H9
L887060,H9
L887061,H9
L887062,H9
L887063,H9
L887064,H9
L887065,H9
L887066,H9
L887067,H9
L887068,H9
L887069,H9
L888060,H9
L888061,H9
L888062,H9
L888063,H9
L888064,H9
L888065,H9
L888066,H9
L888067,H9
L888068,H9
L888069,H9
L889060,H9
L889061,H9
L889062,H9
L889063,H9
L889064,H9
L889065,H9
L889066,H9
L889067,H9
L889068,H9
L889069,H9
L8807,H0+H9
L880070,H9
L880071,H9
L880072,H9
L880073,H9
L880074,H9
L880075,H9
L880076,H9
L880077,H9
L880078,H9
L880079,H9
L881070,H9
L881071,H9
L881072,H9
L881073,H9
L881074,H9
L881075,H9
L881076,H9
L881077,H9
L881078,H9
L881079,H9
L882070,H9
L882071,H9
L882072,H9
L882073,H9
L882074,H9
L882075,H9
L882076,H9
L882077,H9
L882078,H9
L882079,H9
L883070,H9
L883071,H9
L883072,H9
L883073,H9
L883074,H9
L883075,H9
L883076,H9
L883077,H9
L883078,H9
L883079,H9
L884070,H9
L884071,H9
L884072,H9
L884073,H9
L884074,H9
L884075,H9
L884076,H9
L884077,H9
L884078,H9
L884079,H9
L885070,H9
L885071,H9
L885072,H9
L885073,H9
L885074,H9
L885075,H9
L885076,H9
L885077,H0+H9
L885078,H0+H9
L885079,H0+H9
L886070,H9
L886071,H9
L886072,H9
L886073,H0+H9
L886074,H0+H9
L886075,H9
L886076,H0+H9
L886077,H0+H9
L886079,H0+H9
L887070,H9
L887071,H9
L887072,H0+H9
L887073,H0+H9
L887074,H0+H9
L887075,H0+H9
L887076,H0+H9
L888070,H9
L888071,H9
L888072,H0+H9
L889070,H9
L889071,H9
L889072,H0+H9
L889074,H0+H9
L889075,H0+H9
L8906,H0+H9
L890060,H9
L890061,H9
L890062,H9
L890063,H9
L890064,H9
L890065,H9
L890066,H9
L890067,H9
L890068,H9
L890069,H9
L891060,H9
L891061,H9
L891062,H9
L891063,H9
L891064,H9
L891065,H9
L891066,H9
L891067,H9
L891068,H9
L891069,H9
L892060,H9
L892061,H9
L892062,H9
L892063,H9
L892064,H9
L892065,H9
L892066,H9
L892067,H9
L892068,H0+H9
L892069,H0+H9
L893060,H9
L893061,H9
L893062,H9
L893063,H9
L893064,H9
L893065,H9
L893066,H9
L893067,H9
L893068,H0+H9
L893069,H0+H9
L894060,H9
L894061,H9
L894062,H9
L894063,H9
L894064,H9
L894065,H9
L894066,H9
L894067,H0+H9
L894068,H0+H9
L895060,H9
L895061,H9
L895062,H9
L895063,H9
L895064,H9
L895065,H9
L895066,H9
L895067,H0+H9
L896060,H9
L896061,H9
L896062,H9
L896063,H9
L896064,H9
L896065,H9
L896066,H9
L896067,H0+H9
L897060,H9
L897061,H9
L897062,H9
L897063,H9
L897064,H9
L897065,H9
L897066,H0+H9
L897067,H0+H9
L898060,H9
L898061,H9
L898062,H9
L898063,H9
L898064,H9
L898065,H9
L898066,H0+H9
L899060,H9
L899061,H9
L899062,H9
L899063,H9
L899064,H9
L899065,H9
L899066,H0+H9
L899067,H0+H9
L8907,H0+H9
L890070,H9
L890071,H9
L890072,H0+H9
L890073,H0+H9
L890074,H0+H9
L890075,H0+H9
L890076,H0+H9
L890077,H0+H9
L891070,H9
L891071,H9
L891072,H0+H9
L891073,H0+H9
L891074,H9
L891075,H9
L891076,H0+H9
L891077,H0+H9
L891078,H0+H9
L892070,H0+H9
L892071,H0+H9
L892072,H0+H9
L892073,H0+H9
L892074,H9
L892075,H9
L892076,H0+H9
L892077,H0+H9
L892078,H0+H9
L893072,H0+H9
L893073,H9
L893074,H9
L893075,H0+H9
L893076,H0+H9
L894072,H0+H9
L894073,H9
L894074,H9
L894075,H0+H9
L895071,H0+H9
L895072,H0+H9
L895073,H0+H9
L895074,H0+H9
L895075,H0+H9
L896071,H0+H9
L896072,H0+H9
L897070,H0+H9
L897071,H0+H9
L897072,H0+H9
L898070,H0+H9
L898071,H0+H9
L898072,H0+H9
L899070,H0+H9
L899071,H0+H9
L80Z,H0+H9
L8808,H0+H9
L880080,H9
L880081,H9
L880082,H9
L880083,H0+H9
L880085,H0+H9
L880086,H0+H9
L880087,H9
L880088,H9
L880089,H9
L881080,H9
L881081,H9
L881082,H0+H9
L881083,H0+H9
L881086,H0+H9
L881087,H0+H9
L881088,H9
L881089,H9
L882080,H9
L882081,H9
L882082,H0+H9
L882087,H0+H9
L882088,H0+H9
L882089,H9
L883080,H9
L883081,H0+H9
L883082,H0+H9
L883088,H0+H9
L883089,H9
L884080,H0+H9
L884081,H0+H9
L884085,H0+H9
L884086,H0+H9
L884087,H0+H9
L884088,H0+H9
L884089,H9
L885080,H0+H9
L885086,H0+H9
L885087,H0+H9
L885088,H0+H9
L885089,H9
L886087,H0+H9
L886088,H0+H9
L886089,H0+H9
L8809,H0+H9
L880090,H9
L880091,H9
L880092,H9
L880093,H9
L880094,H9
L880095,H9
L880096,H9
L880097,H9
L880098,H9
L880099,H9
L881090,H9
L881091,H9
L881092,H9
L881093,H9
L881094,H9
L881095,H9
L881096,H9
L881097,H9
L881098,H9
L881099,H9
L882090,H9
L882091,H9
L882092,H9
L882093,H9
L882094,H9
L882095,H9
L882096,H9
L882097,H9
L882098,H9
L882099,H9
L883090,H9
L883091,H9
L883092,H9
L883093,H9
L883094,H9
L883095,H9
L883096,H9
L883097,H9
L883098,H9
L883099,H9
L884090,H9
L884091,H9
L884092,H9
L884093,H9
L884094,H9
L884095,H9
L884096,H9
L884097,H9
L884098,H9
L884099,H9
L885090,H9
L885091,H9
L885092,H9
L885093,H9
L885094,H9
L885095,H9
L885096,H9
L885097,H9
L885098,H9
L885099,H9
L886090,H0+H9
L886091,H0+H9
L886092,H0+H9
L886093,H9
L886094,H9
L886095,H9
L886096,H9
L886097,H9
L886098,H9
L886099,H9
L887092,H0+H9
L887093,H0+H9
L887094,H9
L887095,H9
L887096,H9
L887097,H9
L887098,H9
L887099,H9
L888093,H0+H9
L888094,H0+H9
L888095,H0+H9
L888096,H9
L888097,H9
L888098,H9
L888099,H9
L889094,H0+H9
L889095,H0+H9
L889096,H0+H9
L889097,H9
L889098,H9
L889099,H9
L8909,H0+H9
L890096,H0+H9
L890097,H9
L890098,H9
L890099,H9
L891095,H0+H9
L891096,H0+H9
L891097,H9
L891098,H9
L891099,H9
L892095,H0+H9
L892096,H9
L892097,H9
L892098,H9
L892099,H9
L893094,H0+H9
L893095,H0+H9
L893096,H0+H9
L893097,H0+H9
L893098,H9
L893099,H9
L894095,H0+H9
L894096,H0+H9
L894097,H0+H9
L894098,H0+H9
L894099,H0+H9
L81,H0+H9
L81SW,H0+H9
L81SE,H0+H9
L81A,H0+H9
L8010,H0+H9
L800102,H0+H9
L800103,H0+H9
L800104,H0+H9
L800105,H9
L800106,H9
L800107,H9
L800108,H9
L800109,H9
L801102,H0+H9
L801103,H0+H9
L801104,H9
L801105,H9
L801106,H9
L801107,H9
L801108,H9
L801109,H9
L802103,H0+H9
L802104,H9
L802105,H9
L802106,H9
L802107,H9
L802108,H9
L802109,H9
L803103,H0+H9
L803104,H9
L803105,H9
L803106,H9
L803107,H9
L803108,H9
L803109,H9
L804102,H0+H9
L804103,H0+H9
L804104,H9
L804105,H9
L804106,H9
L804107,H9
L804108,H9
L804109,H9
L805102,H0+H9
L805103,H9
L805104,H9
L805105,H9
L805106,H9
L805107,H9
L805108,H9
L805109,H9
L806102,H0+H9
L806103,H9
L806104,H9
L806105,H9
L806106,H9
L806107,H9
L806108,H9
L806109,H9
L807101,H0+H9
L807102,H0+H9
L807103,H9
L807104,H9
L807105,H9
L807106,H9
L807107,H9
L807108,H9
