Q,H0+H1+H2+H9
Q235009,H1
Q236000,H0
Q236001,H0
Q236002,H0+H1
Q236003,H0+H1
Q236004,H1
Q236005,H1
Q236006,H1
Q236007,H1
Q236008,H1
Q236009,H1
Q237000,H0
Q237001,H0
Q237002,H0+H1
Q237003,H0+H1
Q237004,H1
Q237005,H1
Q237006,H1
Q237007,H1
Q237008,H1
Q237009,H1
Q238000,H0
Q238001,H0
Q238002,H0
Q238003,H0+H1
Q238004,H0+H1
Q238005,H0+H1
Q238006,H0+H1
Q238007,H0+H1
Q238008,H0+H1
Q238009,H0+H1
Q239000,H0
Q239001,H0
Q239002,H0
Q239003,H0
Q239004,H0
Q239005,H0
Q239006,H0
Q239007,H0+H1
Q239008,H0+H1
Q239009,H0+H1
Q2301,H0+H1
Q230010,H0
Q230011,H0
Q230012,H0
Q230013,H0
Q230014,H0
Q230015,H0
Q230016,H0
Q230017,H0
Q230018,H0
Q230019,H0
Q231010,H0
Q231011,H0
Q231012,H0
Q231013,H0
Q231014,H0
Q231015,H0
Q231016,H0
Q231017,H0
Q231018,H0
Q231019,H0
Q232010,H0+H1
Q232011,H0
Q232012,H0
Q232013,H0
Q232014,H0
Q232015,H0
Q232016,H0
Q232017,H0
Q232018,H0
Q232019,H0
Q233010,H0+H1
Q233011,H0
Q233012,H0
Q233013,H0
Q233014,H0
Q233015,H0
Q233016,H0
Q233017,H0
Q233018,H0
Q233019,H0
Q234010,H0+H1
Q234011,H0
Q234012,H0
Q234013,H0
Q234014,H0
Q234015,H0
Q234016,H0
Q234017,H0
Q234018,H0
Q234019,H0
Q235010,H0+H1
Q235011,H0+H1
Q235012,H0+H1
Q235013,H0+H1
Q235014,H0
Q235015,H0
Q235016,H0
Q235017,H0
Q235018,H0
Q235019,H0
Q236010,H1
Q236011,H0+H1
Q236012,H0+H1
Q236013,H0+H1
Q236014,H0+H1
Q236015,H0
Q236016,H0
Q236017,H0
Q236018,H0
Q236019,H0
Q237010,H1
Q237011,H1
Q237012,H1
Q237013,H1
Q237014,H0+H1
Q237015,H0
Q237016,H0
Q237017,H0
Q237018,H0
Q237019,H0
Q238010,H0+H1
Q238011,H1
Q238012,H1
Q238013,H0+H1
Q238014,H0+H1
Q238015,H0
Q238016,H0
Q238017,H0
Q238018,H0
Q238019,H0
Q239010,H0+H1
Q239011,H0+H1
Q239012,H0+H1
Q239013,H0+H1
Q239014,H0
Q239015,H0
Q239016,H0
Q239017,H0
Q239018,H0
Q239019,H0
Q20G,H0
Q20H,H0
Q20I,H0
Q20J,H0
Q20K,H0
Q20L,H0
Q20M,H0
Q20N,H0
Q20P,H0
Q20Q,H0+H1
Q2600,H0
Q2601,H0
Q2700,H0+H1
Q270000,H0
Q270001,H0
Q270002,H0
Q270003,H0
Q270004,H0
Q270005,H0
Q270006,H0
Q270007,H0
Q270008,H0
Q270009,H0
Q271000,H0
Q271001,H0
Q271002,H0
Q271003,H0
Q271004,H0
Q271005,H0
Q271006,H0
Q271007,H0
Q271008,H0
Q271009,H0
Q272000,H0+H1
Q272001,H0
Q272002,H0
Q272003,H0
Q272004,H0
Q272005,H0
Q272006,H0
Q272007,H0
Q272008,H0
Q272009,H0
Q273000,H0
Q273001,H0
Q273002,H0
Q273003,H0
Q273004,H0
Q273005,H0
Q273006,H0
Q273007,H0
Q273008,H0
Q273009,H0
Q274000,H0
Q274001,H0
Q274002,H0
Q274003,H0
Q274004,H0
Q274005,H0
Q274006,H0
Q274007,H0
Q274008,H0
Q274009,H0
Q275000,H0
Q275001,H0
Q275002,H0
Q275003,H0
Q275004,H0
Q275005,H0
Q275006,H0
Q275007,H0
Q275008,H0
Q275009,H0
Q276000,H0
Q276001,H0
Q276002,H0+H1
Q276003,H0
Q276004,H0
Q276005,H0
Q276006,H0
Q276007,H0
Q276008,H0
Q276009,H0
Q277000,H0
Q277001,H0
Q277002,H0
Q277003,H0
Q277004,H0
Q277005,H0
Q277006,H0
Q277007,H0
Q277008,H0
Q277009,H0
Q278000,H0
Q278001,H0
Q278002,H0
Q278003,H0
Q278004,H0
Q278005,H0
Q278006,H0
Q278007,H0
Q278008,H0
Q278009,H0
Q279000,H0
Q279001,H0
Q279002,H0
Q279003,H0
Q279004,H0
Q279005,H0
Q279006,H0
Q279007,H0
Q279008,H0
Q279009,H0
Q2701,H0
Q20R,H0
Q20S,H0
Q20T,H0
Q20U,H0
Q20V,H0
Q20W,H0
Q20X,H0
Q20Y,H0
Q20Z,H0
Q21,H0
Q22,H0
Q23,H0
Q24,H0
Q25,H0
Q26,H0
Q27,H0
Q28,H0
Q29,H0
Q30,H0+H1
Q30SW,H0+H1
Q30NW,H0+H1
Q30SE,H0+H1
Q30NE,H0+H1
Q30A,H0+H1
Q3000,H0+H1
Q300000,H0
Q300001,H0
Q300002,H0
Q300003,H0
Q300004,H0
Q300005,H0
Q300006,H0
Q300007,H0
Q300008,H0
Q300009,H0
Q301000,H0
Q301001,H0
Q301002,H0
Q301003,H0
Q301004,H0
Q301005,H0
Q301006,H0
Q301007,H0
Q301008,H0
Q301009,H0
Q302000,H0
Q302001,H0
Q302002,H0
Q302003,H0
Q302004,H0
Q302005,H0
Q302006,H0
Q302007,H0
Q302008,H0
Q302009,H0
Q303000,H0
Q303001,H0
Q303002,H0
Q303003,H0
Q303004,H0
Q303005,H0
Q303006,H0
Q303007,H0
Q303008,H0
Q303009,H0
Q304000,H0
Q304001,H0
Q304002,H0
Q304003,H0
Q304004,H0
Q304005,H0
Q304006,H0
Q304007,H0
Q304008,H0
Q304009,H0
Q305000,H0
Q305001,H0
Q305002,H0
Q305003,H0
Q305004,H0
Q305005,H0
Q305006,H0
Q305007,H0
Q305008,H0
Q305009,H0
Q306000,H0
Q306001,H0
Q306002,H0
Q306003,H0
Q306004,H0
Q306005,H0
Q306006,H0
Q306007,H0
Q306008,H0
Q306009,H0
Q307000,H0
Q307001,H0
Q307002,H0
Q307003,H0
Q307004,H0
Q307005,H0
Q307006,H0
Q307007,H0
Q307008,H0
Q307009,H0
Q308000,H0
Q308001,H0
Q308002,H0
Q308003,H0
Q308004,H0
Q308005,H0
Q308006,H0
Q308007,H0
Q308008,H0
Q308009,H0
Q309000,H0
Q309001,H0
Q309002,H0
Q309003,H0
Q309004,H0
Q309005,H0
Q309006,H0+H1
Q309007,H0+H1
Q309008,H0+H1
Q309009,H0+H1
Q3001,H0+H1
Q300010,H0
Q300011,H0
Q300012,H0
Q300013,H0
Q300014,H0
Q300015,H0
Q300016,H0
Q300017,H0
Q300018,H0
Q300019,H0
Q301010,H0
Q301011,H0
Q301012,H0
Q301013,H0
Q301014,H0
Q301015,H0
Q301016,H0
Q301017,H0
Q301018,H0
Q301019,H0
Q302010,H0
Q302011,H0
Q302012,H0
Q302013,H0
Q302014,H0
Q302015,H0
Q302016,H0
Q302017,H0
Q302018,H0
Q302019,H0
Q303010,H0
Q303011,H0
Q303012,H0
Q303013,H0
Q303014,H0
Q303015,H0
Q303016,H0
Q303017,H0
Q303018,H0
Q303019,H0
Q304010,H0
Q304011,H0
Q304012,H0
Q304013,H0
Q304014,H0
Q304015,H0
Q304016,H0
Q304017,H0
Q304018,H0
Q304019,H0
Q305010,H0
Q305011,H0
Q305012,H0
Q305013,H0
Q305014,H0
Q305015,H0
Q305016,H0
Q305017,H0
Q305018,H0
Q305019,H0
Q306010,H0
Q306011,H0
Q306012,H0
Q306013,H0
Q306014,H0
Q306015,H0
Q306016,H0
Q306017,H0
Q306018,H0
Q306019,H0
Q307010,H0
Q307011,H0
Q307012,H0
Q307013,H0
Q307014,H0
Q307015,H0
Q307016,H0
Q307017,H0
Q307018,H0
Q307019,H0
Q308010,H0
Q308011,H0
Q308012,H0
Q308013,H0
Q308014,H0
Q308015,H0
Q308016,H0
Q308017,H0
Q308018,H0
Q308019,H0
Q309010,H0+H1
Q309011,H0+H1
Q309012,H0
Q309013,H0
Q309014,H0
Q309015,H0
Q309016,H0
Q309017,H0
Q309018,H0
Q309019,H0
Q3100,H0+H1
Q310000,H0
Q310001,H0
Q310002,H0
Q310003,H0
Q310004,H0+H1
Q310005,H0+H1
Q310006,H0+H1
Q310007,H0+H1
Q310008,H0+H1
Q310009,H1
Q311000,H0
Q311001,H0
Q311002,H0
Q311003,H0+H1
Q311004,H0+H1
Q311005,H0+H1
Q311006,H1
Q311007,H1
Q311008,H1
Q311009,H1
Q312000,H0
Q312001,H0
Q312002,H0+H1
Q312003,H0+H1
Q312004,H0+H1
Q312005,H1
Q312006,H1
Q312007,H1
Q312008,H1
Q312009,H1
Q313000,H0+H1
Q313001,H0+H1
Q313002,H0+H1
Q313003,H0+H1
Q313004,H1
Q313005,H1
Q313006,H1
Q313007,H1
Q313008,H1
Q313009,H1
Q314000,H0+H1
Q314001,H1
Q314002,H1
Q314003,H1
Q314004,H1
Q314005,H1
Q314006,H1
Q314007,H1
Q314008,H1
Q314009,H1
Q315000,H1
Q315001,H1
Q315002,H1
Q315003,H1
Q315004,H1
Q315005,H1
Q315006,H1
Q315007,H1
Q315008,H1
Q315009,H1
Q316000,H1
Q316001,H1
Q316002,H1
Q316003,H1
Q316004,H1
Q316005,H1
Q316006,H1
Q316007,H1
Q316008,H1
Q316009,H1
Q317000,H1
Q317001,H1
Q317002,H1
Q317003,H1
Q317004,H1
Q317005,H1
Q317006,H1
Q317007,H1
Q317008,H1
Q317009,H1
Q318000,H1
Q318001,H1
Q318002,H1
Q318003,H1
Q318004,H1
Q318005,H1
Q318006,H1
Q318007,H1
Q318008,H1
Q318009,H1
Q319000,H1
Q319001,H1
Q319002,H1
Q319003,H1
Q319004,H1
Q319005,H1
Q319006,H1
Q319007,H1
Q319008,H1
Q319009,H1
Q3101,H0+H1
Q310010,H1
Q310011,H0+H1
Q310012,H0+H1
Q310013,H0+H1
Q310014,H0+H1
Q310015,H0+H1
Q310016,H0+H1
Q310017,H0
Q310018,H0
Q310019,H0+H1
Q311010,H1
Q311011,H1
Q311012,H1
Q311013,H1
Q311014,H1
Q311015,H1
Q311016,H0+H1
Q311017,H0+H1
Q311018,H0+H1
Q311019,H0+H1
Q312010,H1
Q312011,H1
Q312012,H1
Q312013,H1
Q312014,H1
Q312015,H1
Q312016,H1
Q312017,H1
Q312018,H0+H1
Q312019,H0+H1
Q313010,H1
Q313011,H1
Q313012,H1
Q313013,H1
Q313014,H1
Q313015,H1
Q313016,H1
Q313017,H1
Q313018,H1
Q313019,H1
Q314010,H1
Q314011,H1
Q314012,H1
Q314013,H1
Q314014,H1
Q314015,H1
Q314016,H1
Q314017,H1
Q314018,H1
Q314019,H1
Q315010,H1
Q315011,H1
Q315012,H1
Q315013,H1
Q315014,H1
Q315015,H1
Q315016,H1
Q315017,H1
Q315018,H1
Q315019,H1
Q316010,H1
Q316011,H1
Q316012,H1
Q316013,H1
Q316014,H1
Q316015,H1
Q316016,H1
Q316017,H1
Q316018,H1
Q316019,H1
Q317010,H1
Q317011,H1
Q317012,H1
Q317013,H1
Q317014,H1
Q317015,H1
Q317016,H1
Q317017,H1
Q317018,H1
Q317019,H1
Q318010,H1
Q318011,H1
Q318012,H1
Q318013,H1
Q318014,H1
Q318015,H1
Q318016,H1
Q318017,H1
Q318018,H1
Q318019,H1
Q319010,H1
Q319011,H1
Q319012,H1
Q319013,H1
Q319014,H1
Q319015,H1
Q319016,H1
Q319017,H1
Q319018,H1
Q319019,H1
Q30B,H0+H1
Q3002,H0+H1
Q300020,H0
Q300021,H0
Q300022,H0
Q300023,H0
Q300024,H0
Q300025,H0
Q300026,H0
Q300027,H0
Q300028,H0
Q300029,H0
Q301020,H0
Q301021,H0
Q301022,H0
Q301023,H0
Q301024,H0
Q301025,H0
Q301026,H0
Q301027,H0
Q301028,H0
Q301029,H0
Q302020,H0
Q302021,H0
Q302022,H0
Q302023,H0
Q302024,H0
Q302025,H0
Q302026,H0
Q302027,H0
Q302028,H0
Q302029,H0
Q303020,H0
Q303021,H0
Q303022,H0
Q303023,H0
Q303024,H0
Q303025,H0
Q303026,H0
Q303027,H0
Q303028,H0
Q303029,H0
Q304020,H0
Q304021,H0
Q304022,H0
Q304023,H0
Q304024,H0
Q304025,H0+H1
Q304026,H0+H1
Q304027,H0+H1
Q304028,H0+H1
Q304029,H0
Q305020,H0
Q305021,H0
Q305022,H0
Q305023,H0
Q305024,H0+H1
Q305025,H0+H1
Q305026,H1
Q305027,H1
Q305028,H0+H1
Q305029,H0
Q306020,H0
Q306021,H0
Q306022,H0
Q306023,H0+H1
Q306024,H0+H1
Q306025,H1
Q306026,H1
Q306027,H1
Q306028,H0+H1
Q306029,H0+H1
Q307020,H0
Q307021,H0
Q307022,H0
Q307023,H0+H1
Q307024,H0+H1
Q307025,H1
Q307026,H1
Q307027,H1
Q307028,H0+H1
Q307029,H0+H1
Q308020,H0
Q308021,H0+H1
Q308022,H0+H1
Q308023,H0+H1
Q308024,H1
Q308025,H1
Q308026,H1
Q308027,H1
Q308028,H1
Q308029,H0+H1
Q309020,H0+H1
Q309021,H0+H1
Q309022,H1
Q309023,H1
Q309024,H1
Q309025,H1
Q309026,H1
Q309027,H1
Q309028,H0+H1
Q309029,H0+H1
Q3003,H0
Q3102,H0+H1
Q310020,H0+H1
Q310021,H0+H1
Q310022,H1
Q310023,H1
Q310024,H1
Q310025,H1
Q310026,H1
Q310027,H1
Q310028,H0+H1
Q310029,H0+H1
Q311020,H0+H1
Q311021,H1
Q311022,H1
Q311023,H1
Q311024,H1
Q311025,H1
Q311026,H1
Q311027,H0+H1
Q311028,H0+H1
Q311029,H0
Q312020,H1
Q312021,H1
Q312022,H1
Q312023,H1
Q312024,H1
Q312025,H1
Q312026,H1
Q312027,H0+H1
Q312028,H0+H1
Q312029,H0
Q313020,H1
Q313021,H1
Q313022,H1
Q313023,H1
Q313024,H1
Q313025,H1
Q313026,H1
Q313027,H1
Q313028,H0+H1
Q313029,H0+H1
Q314020,H1
Q314021,H1
Q314022,H1
Q314023,H1
Q314024,H1
Q314025,H1
Q314026,H1
Q314027,H1
Q314028,H1
Q314029,H1
Q315020,H1
Q315021,H1
Q315022,H1
Q315023,H1
Q315024,H1
Q315025,H1
Q315026,H1
Q315027,H1
Q315028,H1
Q315029,H1
Q316020,H1
Q316021,H1
Q316022,H1
Q316023,H1
Q316024,H1
Q316025,H1
Q316026,H1
Q316027,H1
Q316028,H1
Q316029,H1
Q317020,H1
Q317021,H1
Q317022,H1
Q317023,H1
Q317024,H1
Q317025,H1
Q317026,H1
Q317027,H1
Q317028,H1
Q317029,H1
Q318020,H1
Q318021,H1
Q318022,H1
Q318023,H1
Q318024,H1
Q318025,H1
Q318026,H1
Q318027,H1
Q318028,H1
Q318029,H1
Q319020,H1
Q319021,H1
Q319022,H1
Q319023,H1
Q319024,H1
Q319025,H1
Q319026,H1
Q319027,H1
Q319028,H1
Q319029,H1
Q3103,H0+H1
Q310030,H0
Q310031,H0
Q310032,H0
Q310033,H0
Q310034,H0
Q310035,H0
Q310036,H0
Q310037,H0
Q310038,H0
Q310039,H0
Q311030,H0
Q311031,H0
Q311032,H0
Q311033,H0
Q311034,H0
Q311035,H0
Q311036,H0
Q311037,H0
Q311038,H0
Q311039,H0
Q312030,H0
Q312031,H0
Q312032,H0
Q312033,H0
Q312034,H0
Q312035,H0
Q312036,H0
Q312037,H0
Q312038,H0
Q312039,H0
Q313030,H0+H1
Q313031,H0
Q313032,H0+H1
Q313033,H0+H1
Q313034,H0+H1
Q313035,H0+H1
Q313036,H0
Q313037,H0
Q313038,H0
Q313039,H0
Q314030,H0+H1
Q314031,H0
Q314032,H0+H1
Q314033,H0+H1
Q314034,H0+H1
Q314035,H0+H1
Q314036,H0+H1
Q314037,H0
Q314038,H0
Q314039,H0
Q315030,H0+H1
Q315031,H0+H1
Q315032,H0
Q315033,H0+H1
Q315034,H0+H1
Q315035,H1
Q315036,H0+H1
Q315037,H0+H1
Q315038,H0+H1
Q315039,H0+H1
Q316030,H1
Q316031,H0+H1
Q316032,H0+H1
Q316033,H0+H1
Q316034,H0+H1
Q316035,H1
Q316036,H1
Q316037,H0+H1
Q316038,H0+H1
Q316039,H0+H1
Q317030,H1
Q317031,H1
Q317032,H0+H1
Q317033,H0+H1
Q317034,H1
Q317035,H1
Q317036,H1
Q317037,H1
Q317038,H1
Q317039,H0+H1
Q318030,H1
Q318031,H1
Q318032,H1
Q318033,H1
Q318034,H1
Q318035,H1
Q318036,H1
Q318037,H1
Q318038,H1
Q318039,H1
Q319030,H1
Q319031,H1
Q319032,H1
Q319033,H1
Q319034,H1
Q319035,H1
Q319036,H1
Q319037,H1
Q319038,H1
Q319039,H1
Q30C,H0+H1
Q3004,H0
Q3005,H0+H1
Q300050,H0
Q300051,H0
Q300052,H0
Q300053,H0
Q300054,H0
Q300055,H0
Q300056,H0
Q300057,H0
Q300058,H0
Q300059,H0
Q301050,H0
Q301051,H0
Q301052,H0
Q301053,H0
Q301054,H0
Q301055,H0
Q301056,H0
Q301057,H0
Q301058,H0
Q301059,H0
Q302050,H0
Q302051,H0
Q302052,H0
Q302053,H0
Q302054,H0
Q302055,H0
Q302056,H0
Q302057,H0
Q302058,H0
Q302059,H0
Q303050,H0
Q303051,H0
Q303052,H0
Q303053,H0
Q303054,H0
Q303055,H0
Q303056,H0
Q303057,H0
Q303058,H0
Q303059,H0
Q304050,H0
Q304051,H0
Q304052,H0
Q304053,H0
Q304054,H0
Q304055,H0
Q304056,H0
Q304057,H0
Q304058,H0
Q304059,H0
Q305050,H0
Q305051,H0
Q305052,H0
Q305053,H0
Q305054,H0
Q305055,H0
Q305056,H0
Q305057,H0
Q305058,H0
Q305059,H0
Q306050,H0
Q306051,H0
Q306052,H0
Q306053,H0
Q306054,H0
Q306055,H0+H1
Q306056,H0
Q306057,H0
Q306058,H0
Q306059,H0
Q307050,H0
Q307051,H0
Q307052,H0
Q307053,H0
Q307054,H0
Q307055,H0+H1
Q307056,H0+H1
Q307057,H0
Q307058,H0
Q307059,H0
Q308050,H0
Q308051,H0
Q308052,H0
Q308053,H0
Q308054,H0
Q308055,H0+H1
Q308056,H0+H1
Q308057,H0
Q308058,H0
Q308059,H0
Q309050,H0
Q309051,H0
Q309052,H0
Q309053,H0
Q309054,H0
Q309055,H0
Q309056,H0+H1
Q309057,H0+H1
Q309058,H0
Q309059,H0+H1
Q3104,H0+H1
Q310040,H0
Q310041,H0
Q310042,H0
Q310043,H0
Q310044,H0
Q310045,H0
Q310046,H0
Q310047,H0
Q310048,H0
Q310049,H0
Q311040,H0
Q311041,H0
Q311042,H0
Q311043,H0
Q311044,H0
Q311045,H0
Q311046,H0
Q311047,H0
Q311048,H0
Q311049,H0
Q312040,H0
Q312041,H0
Q312042,H0
Q312043,H0
Q312044,H0
Q312045,H0
Q312046,H0
Q312047,H0
Q312048,H0
Q312049,H0
Q313040,H0
Q313041,H0
Q313042,H0
Q313043,H0
Q313044,H0
Q313045,H0
Q313046,H0
Q313047,H0
Q313048,H0
Q313049,H0
Q314040,H0
Q314041,H0
Q314042,H0
Q314043,H0
Q314044,H0
Q314045,H0
Q314046,H0
Q314047,H0
Q314048,H0
Q314049,H0
Q315040,H0
Q315041,H0
Q315042,H0
Q315043,H0
Q315044,H0
Q315045,H0
Q315046,H0
Q315047,H0
Q315048,H0
Q315049,H0
Q316040,H0+H1
Q316041,H0
Q316042,H0
Q316043,H0
Q316044,H0
Q316045,H0
Q316046,H0
Q316047,H0
Q316048,H0
Q316049,H0
Q317040,H0+H1
Q317041,H0
Q317042,H0
Q317043,H0
Q317044,H0
Q317045,H0
Q317046,H0
Q317047,H0
Q317048,H0
Q317049,H0
Q318040,H0+H1
Q318041,H0+H1
Q318042,H0+H1
Q318043,H0
Q318044,H0
Q318045,H0
Q318046,H0
Q318047,H0
Q318048,H0
Q318049,H0
Q319040,H0+H1
Q319041,H0+H1
Q319042,H0+H1
Q319043,H0
Q319044,H0
Q319045,H0
Q319046,H0
Q319047,H0
Q319048,H0
Q319049,H0
Q3105,H0+H1
Q310050,H0
Q310051,H0
Q310052,H0
Q310053,H0
Q310054,H0
Q310055,H0
Q310056,H0+H1
Q310057,H0+H1
Q310058,H0+H1
Q310059,H0+H1
Q311050,H0
Q311051,H0
Q311052,H0
Q311053,H0
Q311054,H0
Q311055,H0
Q311056,H0+H1
Q311057,H0+H1
Q311058,H1
Q311059,H1
Q312050,H0
Q312051,H0
Q312052,H0
Q312053,H0
Q312054,H0
Q312055,H0
Q312056,H0
Q312057,H0+H1
Q312058,H1
Q312059,H1
Q313050,H0
Q313051,H0
Q313052,H0
Q313053,H0
Q313054,H0
Q313055,H0
Q313056,H0
Q313057,H0+H1
Q313058,H1
Q313059,H1
Q314050,H0
Q314051,H0
Q314052,H0
Q314053,H0
Q314054,H0
Q314055,H0
Q314056,H0
Q314057,H0+H1
Q314058,H0+H1
Q314059,H1
Q315050,H0
Q315051,H0
Q315052,H0
Q315053,H0
Q315054,H0
Q315055,H0
Q315056,H0
Q315057,H0
Q315058,H0+H1
Q315059,H1
Q316050,H0+H1
Q316051,H0
Q316052,H0
Q316053,H0
Q316054,H0
Q316055,H0
Q316056,H0
Q316057,H0
Q316058,H0+H1
Q316059,H1
Q317050,H0+H1
Q317051,H0+H1
Q317052,H0
Q317053,H0
Q317054,H0
Q317055,H0
Q317056,H0
Q317057,H0+H1
Q317058,H0+H1
Q317059,H1
Q318050,H0+H1
Q318051,H0+H1
Q318052,H0
Q318053,H0
Q318054,H0
Q318055,H0
Q318056,H0
Q318057,H0+H1
Q318058,H0+H1
Q318059,H1
Q319050,H0
Q319051,H0+H1
Q319052,H0+H1
Q319053,H0
Q319054,H0+H1
Q319055,H0+H1
Q319056,H0
Q319057,H0+H1
Q319058,H1
Q319059,H1
Q30D,H0+H1
Q3006,H0+H1
Q300060,H0
Q300061,H0
Q300062,H0
Q300063,H0
Q300064,H0
Q300065,H0
Q300066,H0
Q300067,H0
Q300068,H0
Q300069,H0
Q301060,H0
Q301061,H0
Q301062,H0
Q301063,H0
Q301064,H0
Q301065,H0
Q301066,H0
Q301067,H0
Q301068,H0
Q301069,H0
Q302060,H0
Q302061,H0
Q302062,H0
Q302063,H0
Q302064,H0
Q302065,H0
Q302066,H0
Q302067,H0
Q302068,H0
Q302069,H0
Q303060,H0
Q303061,H0
Q303062,H0
Q303063,H0
Q303064,H0
Q303065,H0
Q303066,H0
Q303067,H0
Q303068,H0
Q303069,H0
Q304060,H0
Q304061,H0
Q304062,H0
Q304063,H0
Q304064,H0
Q304065,H0
Q304066,H0
Q304067,H0
Q304068,H0
Q304069,H0
Q305060,H0
Q305061,H0
Q305062,H0
Q305063,H0
Q305064,H0
Q305065,H0
Q305066,H0
Q305067,H0
Q305068,H0
Q305069,H0
Q306060,H0
Q306061,H0
Q306062,H0
Q306063,H0
Q306064,H0
Q306065,H0
Q306066,H0
Q306067,H0
Q306068,H0
Q306069,H0
Q307060,H0
Q307061,H0
Q307062,H0
Q307063,H0
Q307064,H0
Q307065,H0
Q307066,H0
Q307067,H0
Q307068,H0
Q307069,H0
Q308060,H0
Q308061,H0
Q308062,H0
Q308063,H0
Q308064,H0
Q308065,H0
Q308066,H0
Q308067,H0
Q308068,H0
Q308069,H0
Q309060,H0+H1
Q309061,H0+H1
Q309062,H0
Q309063,H0
Q309064,H0
Q309065,H0
Q309066,H0
Q309067,H0
Q309068,H0
Q309069,H0
Q3007,H0
Q3106,H0+H1
Q310060,H1
Q310061,H0+H1
Q310062,H0
Q310063,H0
Q310064,H0
Q310065,H0
Q310066,H0
Q310067,H0
Q310068,H0
Q310069,H0
Q311060,H1
Q311061,H0+H1
Q311062,H0+H1
Q311063,H0
Q311064,H0
Q311065,H0
Q311066,H0
Q311067,H0
Q311068,H0
Q311069,H0
Q312060,H1
Q312061,H1
Q312062,H0+H1
Q312063,H0+H1
Q312064,H0
Q312065,H0
Q312066,H0
Q312067,H0
Q312068,H0
Q312069,H0
Q313060,H1
Q313061,H1
Q313062,H1
Q313063,H0+H1
Q313064,H0
Q313065,H0
Q313066,H0
Q313067,H0
Q313068,H0
Q313069,H0
Q314060,H1
Q314061,H1
Q314062,H1
Q314063,H0+H1
Q314064,H0+H1
Q314065,H0
Q314066,H0
Q314067,H0
Q314068,H0
Q314069,H0
Q315060,H1
Q315061,H1
Q315062,H1
Q315063,H1
Q315064,H0+H1
Q315065,H0+H1
Q315066,H0
Q315067,H0
Q315068,H0
