R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R097224,H2
R097225,H2
R097226,H2
R097227,H2
R097228,H2+H8
R097229,H2+H8
R098220,H2
R098221,H2
R098222,H2
R098223,H2
R098224,H2
R098225,H2
R098226,H2
R098227,H2
R098228,H2+H8
R098229,H8
R099220,H2
R099221,H2
R099222,H2
R099223,H2
R099224,H2
R099225,H2
R099226,H2
R099227,H2
R099228,H2+H8
R099229,H2+H8
R0923,H2+H8
R090230,H2
R090231,H2
R090232,H2
R090233,H2+H8
R090234,H8
R090235,H8
R090236,H8
R090237,H8
R090238,H8
R090239,H8
R091230,H2
R091231,H2
R091232,H2
R091233,H2+H8
R091234,H2+H8
R091235,H8
R091236,H8
R091237,H8
R091238,H8
R091239,H8
R092230,H2
R092231,H2
R092232,H2
R092233,H2
R092234,H2+H8
R092235,H8
R092236,H8
R092237,H8
R092238,H8
R092239,H8
R093230,H2
R093231,H2
R093232,H2
R093233,H2+H8
R093234,H2+H8
R093235,H8
R093236,H8
R093237,H8
R093238,H8
R093239,H8
R094230,H2
R094231,H2
R094232,H2+H8
R094233,H2+H8
R094234,H8
R094235,H8
R094236,H8
R094237,H8
R094238,H8
R094239,H8
R095230,H2
R095231,H2+H8
R095232,H2+H8
R095233,H8
R095234,H8
R095235,H8
R095236,H8
R095237,H8
R095238,H8
R095239,H8
R096230,H2+H8
R096231,H2+H8
R096232,H8
R096233,H8
R096234,H8
R096235,H8
R096236,H8
R096237,H8
R096238,H8
R096239,H8
R097230,H8
R097231,H8
R097232,H8
R097233,H8
R097234,H8
R097235,H8
R097236,H8
R097237,H8
R097238,H8
R097239,H8
R098230,H8
R098231,H8
R098232,H8
R098233,H8
R098234,H8
R098235,H8
R098236,H8
R098237,H8
R098238,H8
R098239,H8
R099230,H2+H8
R099231,H8
R099232,H8
R099233,H8
R099234,H8
R099235,H8
R099236,H8
R099237,H8
R099238,H8
R099239,H8
R02X,H2+H8
R0824,H2+H8
R080240,H2
R080241,H2
R080242,H2
R080243,H2
R080244,H2
R080245,H2
R080246,H2
R080247,H2
R080248,H2
R080249,H2
R081240,H2
R081241,H2
R081242,H2
R081243,H2
R081244,H2
R081245,H2
R081246,H2
R081247,H2
R081248,H2
R081249,H2
R082240,H2
R082241,H2
R082242,H2
R082243,H2
R082244,H2
R082245,H2
R082246,H2
R082247,H2
R082248,H2
R082249,H2
R083240,H2
R083241,H2
R083242,H2
R083243,H2
R083244,H2
R083245,H2
R083246,H2
R083247,H2
R083248,H2
R083249,H2
R084240,H2
R084241,H2
R084242,H2
R084243,H2
R084244,H2
R084245,H2
R084246,H2
R084247,H2
R084248,H2
R084249,H2+H8
R085240,H2+H8
R085241,H2+H8
R085242,H2
R085243,H2
R085244,H2
R085245,H2
R085246,H2
R085247,H2+H8
R085248,H2+H8
R085249,H2+H8
R086240,H8
R086241,H2+H8
R086242,H2+H8
R086243,H2+H8
R086244,H2+H8
R086245,H2+H8
R086246,H2+H8
R086247,H2+H8
R086248,H8
R086249,H8
R087240,H8
R087241,H8
R087242,H8
R087243,H8
R087244,H8
R087245,H8
R087246,H8
R087247,H8
R087248,H8
R087249,H8
R088240,H8
R088241,H8
R088242,H8
R088243,H8
R088244,H8
R088245,H8
R088246,H8
R088247,H8
R088248,H8
R088249,H8
R089240,H8
R089241,H8
R089242,H8
R089243,H8
R089244,H8
R089245,H8
R089246,H8
R089247,H8
R089248,H8
R089249,H8
R0825,H2+H8
R080250,H2
R080251,H2
R080252,H2
R080253,H2
R080254,H2
R080255,H2
R080256,H2
R080257,H2
R080258,H2
R080259,H2
R081250,H2
R081251,H2
R081252,H2
R081253,H2
R081254,H2
R081255,H2
R081256,H2
R081257,H2
R081258,H2
R081259,H2
R082250,H2
R082251,H2
R082252,H2
R082253,H2
R082254,H2
R082255,H2
R082256,H2
R082257,H2
R082258,H2
R082259,H2
R083250,H2
R083251,H2
R083252,H2
R083253,H2
R083254,H2
R083255,H2
R083256,H2
R083257,H2
R083258,H2
R083259,H2
R084250,H2+H8
R084251,H2
R084252,H2
R084253,H2
R084254,H2
R084255,H2
R084256,H2
R084257,H2
R084258,H2
R084259,H2
R085250,H2+H8
R085251,H2+H8
R085252,H2
R085253,H2
R085254,H2
R085255,H2
R085256,H2
R085257,H2
R085258,H2
R085259,H2
R086250,H8
R086251,H2+H8
R086252,H2
R086253,H2
R086254,H2
R086255,H2
R086256,H2
R086257,H2
R086258,H2
R086259,H2
R087250,H8
R087251,H2+H8
R087252,H2+H8
R087253,H2
R087254,H2
R087255,H2
R087256,H2
R087257,H2
R087258,H2
R087259,H2
R088250,H8
R088251,H8
R088252,H2+H8
R088253,H2+H8
R088254,H2
R088255,H2
R088256,H2
R088257,H2
R088258,H2
R088259,H2
R089250,H8
R089251,H8
R089252,H8
R089253,H2+H8
R089254,H2
R089255,H2
R089256,H2
R089257,H2
R089258,H2
R089259,H2
R0924,H8
R0925,H2+H8
R090250,H8
R090251,H8
R090252,H8
R090253,H2+H8
R090254,H2+H8
R090255,H2
R090256,H2
R090257,H2
R090258,H2
R090259,H2
R091250,H8
R091251,H8
R091252,H8
R091253,H8
R091254,H2+H8
R091255,H2
R091256,H2
R091257,H2
R091258,H2
R091259,H2
R092250,H8
R092251,H8
R092252,H8
R092253,H8
R092254,H2+H8
R092255,H2
R092256,H2
R092257,H2
R092258,H2
R092259,H2
R093250,H8
R093251,H8
R093252,H8
R093253,H8
R093254,H2+H8
R093255,H2
R093256,H2
R093257,H2
R093258,H2
R093259,H2
R094250,H8
R094251,H8
R094252,H8
R094253,H8
R094254,H2+H8
R094255,H2
R094256,H2
R094257,H2
R094258,H2
R094259,H2
R095250,H8
R095251,H8
R095252,H8
R095253,H8
R095254,H2+H8
R095255,H2+H8
R095256,H2
R095257,H2
R095258,H2
R095259,H2
R096250,H8
R096251,H8
R096252,H8
R096253,H8
R096254,H8
R096255,H2+H8
R096256,H2+H8
R096257,H2+H8
R096258,H2
R096259,H2
R097250,H8
R097251,H8
R097252,H8
R097253,H8
R097254,H8
R097255,H8
R097256,H8
R097257,H2+H8
R097258,H2+H8
R097259,H2
R098250,H8
R098251,H8
R098252,H8
R098253,H8
R098254,H8
R098255,H8
R098256,H8
R098257,H8
R098258,H2+H8
R098259,H2
R099250,H8
R099251,H8
R099252,H8
R099253,H8
R099254,H8
R099255,H8
R099256,H8
R099257,H8
R099258,H2+H8
R099259,H2
R02Y,H2
R02Z,H2+H8
R0828,H2+H8
R080280,H2
R080281,H2
R080282,H2
R080283,H2
R080284,H2
R080285,H2
R080286,H2
R080287,H2
R080288,H2
R080289,H2
R081280,H2
R081281,H2
R081282,H2
R081283,H2
R081284,H2
R081285,H2
R081286,H2
R081287,H2
R081288,H2
R081289,H2
R082280,H2
R082281,H2
R082282,H2
R082283,H2
R082284,H2
R082285,H2
R082286,H2
R082287,H2
R082288,H2
R082289,H2
R083280,H2
R083281,H2
R083282,H2
R083283,H2
R083284,H2
R083285,H2
R083286,H2
R083287,H2
R083288,H2
R083289,H2
R084280,H2
R084281,H2
R084282,H2
R084283,H2
R084284,H2
R084285,H2
R084286,H2
R084287,H2
R084288,H2
R084289,H2
R085280,H2
R085281,H2
R085282,H2
R085283,H2
R085284,H2
R085285,H2
R085286,H2
R085287,H2
R085288,H2
R085289,H2
R086280,H2
R086281,H2
R086282,H2
R086283,H2
R086284,H2
R086285,H2
R086286,H2
R086287,H2
R086288,H2
R086289,H2
R087280,H2
R087281,H2
R087282,H2
R087283,H2
R087284,H2
R087285,H2
R087286,H2
R087287,H2
R087288,H2
R087289,H2
R088280,H2
R088281,H2
R088282,H2
R088283,H2
R088284,H2
R088285,H2
R088286,H2
R088287,H2
R088288,H2
R088289,H2
R089280,H2
R089281,H2
R089282,H2
R089283,H2
R089284,H2
R089285,H2
R089286,H2
R089287,H2+H8
R089288,H2+H8
R089289,H2+H8
R0829,H2+H8
R080290,H2
R080291,H2
R080292,H2
R080293,H2
R080294,H2
R080295,H2
R080296,H2
R080297,H2
R080298,H2
R080299,H2
R081290,H2
R081291,H2
R081292,H2
R081293,H2
R081294,H2
R081295,H2
R081296,H2
R081297,H2
R081298,H2
R081299,H2
R082290,H2
R082291,H2
R082292,H2
R082293,H2
R082294,H2
R082295,H2
R082296,H2
R082297,H2
R082298,H2
R082299,H2
R083290,H2
R083291,H2
R083292,H2
R083293,H2
R083294,H2
R083295,H2
R083296,H2
R083297,H2
R083298,H2
R083299,H2
R084290,H2
R084291,H2
R084292,H2
R084293,H2
R084294,H2
R084295,H2
R084296,H2
R084297,H2
R084298,H2
R084299,H2
R085290,H2
R085291,H2
R085292,H2
R085293,H2
R085294,H2
R085295,H2
R085296,H2
R085297,H2
R085298,H2
R085299,H2
R086290,H2
R086291,H2
R086292,H2
R086293,H2
R086294,H2
R086295,H2
R086296,H2
R086297,H2
R086298,H2
R086299,H2
R087290,H2
R087291,H2
R087292,H2
R087293,H2
R087294,H2
R087295,H2
R087296,H2
R087297,H2
R087298,H2
R087299,H2
R088290,H2
R088291,H2
R088292,H2+H8
R088293,H2+H8
R088294,H2+H8
R088295,H2
R088296,H2
R088297,H2
R088298,H2
R088299,H2
R089290,H2+H8
R089291,H2+H8
R089292,H2+H8
R089293,H8
R089294,H2+H8
R089295,H2+H8
R089296,H2+H8
R089297,H2+H8
R089298,H2+H8
R089299,H2
R0928,H2+H8
R090280,H2
R090281,H2
R090282,H2
R090283,H2
R090284,H2
R090285,H2
R090286,H2+H8
R090287,H2+H8
R090288,H8
R090289,H8
R091280,H2
R091281,H2
R091282,H2
R091283,H2
R091284,H2
R091285,H2
R091286,H2+H8
R091287,H8
R091288,H8
R091289,H8
R092280,H2
R092281,H2
R092282,H2
R092283,H2
R092284,H2
R092285,H2
R092286,H2+H8
R092287,H8
R092288,H8
R092289,H8
R093280,H2
R093281,H2
R093282,H2
R093283,H2
R093284,H2
R093285,H2
R093286,H2+H8
R093287,H8
R093288,H8
R093289,H8
R094280,H2
R094281,H2
R094282,H2
R094283,H2
R094284,H2
R094285,H2
R094286,H2+H8
R094287,H2+H8
R094288,H8
R094289,H8
R095280,H2
R095281,H2
R095282,H2
R095283,H2
R095284,H2
R095285,H2
R095286,H2+H8
R095287,H2+H8
R095288,H8
R095289,H8
R096280,H2
R096281,H2
R096282,H2
R096283,H2
R096284,H2
R096285,H2
R096286,H2+H8
R096287,H8
R096288,H8
R096289,H8
R097280,H2
R097281,H2
R097282,H2
R097283,H2
R097284,H2
R097285,H2+H8
R097286,H2+H8
R097287,H8
R097288,H8
R097289,H8
R098280,H2
R098281,H2
R098282,H2
R098283,H2
R098284,H2+H8
R098285,H2+H8
R098286,H8
R098287,H8
R098288,H8
R098289,H8
R099280,H2
R099281,H2
R099282,H2
R099283,H2+H8
R099284,H2+H8
R099285,H8
R099286,H8
R099287,H8
R099288,H8
R099289,H8
R0929,H2+H8
R090290,H2+H8
R090291,H2+H8
R090292,H8
R090293,H8
R090294,H8
R090295,H8
R090296,H8
R090297,H8
R090298,H2+H8
R090299,H2+H8
R091290,H8
R091291,H8
R091292,H8
R091293,H8
R091294,H8
R091295,H8
R091296,H8
R091297,H8
R091298,H8
R091299,H2+H8
R092290,H8
R092291,H8
R092292,H8
R092293,H8
R092294,H8
R092295,H8
R092296,H8
R092297,H8
R092298,H8
R092299,H8
R093290,H8
R093291,H8
R093292,H8
R093293,H8
R093294,H8
R093295,H8
R093296,H8
R093297,H8
R093298,H8
R093299,H8
R094290,H8
R094291,H8
R094292,H8
R094293,H8
R094294,H8
R094295,H8
R094296,H8
R094297,H8
R094298,H8
R094299,H8
R095290,H8
R095291,H8
R095292,H8
R095293,H8
R095294,H8
R095295,H8
R095296,H8
R095297,H8
R095298,H8
R095299,H8
R096290,H8
R096291,H8
R096292,H8
R096293,H8
R096294,H8
R096295,H8
R096296,H8
R096297,H8
R096298,H8
R096299,H8
R097290,H8
R097291,H8
R097292,H8
R097293,H8
R097294,H8
R097295,H8
R097296,H8
R097297,H8
R097298,H8
R097299,H8
R098290,H8
R098291,H8
R098292,H8
R098293,H8
R098294,H8
R098295,H8
R098296,H8
R098297,H8
R098298,H8
R098299,H8
R099290,H8
R099291,H8
R099292,H8
R099293,H8
R099294,H8
R099295,H8
R099296,H8
R099297,H8
R099298,H8
R099299,H8
R03,H2+H8
R03SW,H2
R03NW,H2
R03SE,H2+H8
R03NE,H2+H8
R03A,H2
R03B,H2
R03C,H2
R03D,H2
R03E,H2
R03F,H2
R03G,H2
R03H,H2
R03I,H2
R03J,H2
R03K,H2
R03L,H2
R03M,H2
R03N,H2
R03P,H2
R03Q,H2
R03R,H2
R03S,H2
R03T,H2
R03U,H2
R03V,H2+H8
R0830,H2
R0831,H2
R0930,H2+H8
R090300,H2
R090301,H2
R090302,H2
R090303,H2
R090304,H2
R090305,H2
R090306,H2
R090307,H2
R090308,H2
R090309,H2
R091300,H2+H8
R091301,H2
R091302,H2
R091303,H2
R091304,H2
R091305,H2
R091306,H2
R091307,H2
R091308,H2
R091309,H2
R092300,H2+H8
R092301,H2+H8
R092302,H2
R092303,H2
R092304,H2
R092305,H2
R092306,H2
R092307,H2
R092308,H2
R092309,H2
R093300,H8
R093301,H2+H8
R093302,H2+H8
R093303,H2
R093304,H2
R093305,H2
R093306,H2
R093307,H2
R093308,H2
R093309,H2
R094300,H8
R094301,H8
R094302,H2+H8
R094303,H2+H8
R094304,H2+H8
R094305,H2
R094306,H2
R094307,H2
R094308,H2
R094309,H2
R095300,H8
R095301,H8
R095302,H8
R095303,H8
R095304,H2+H8
R095305,H2+H8
R095306,H2+H8
R095307,H2+H8
R095308,H2
R095309,H2
R096300,H8
R096301,H8
R096302,H8
R096303,H8
R096304,H8
R096305,H8
R096306,H8
R096307,H2+H8
R096308,H2+H8
R096309,H2
R097300,H8
R097301,H8
R097302,H8
R097303,H8
R097304,H8
R097305,H8
R097306,H8
R097307,H8
R097308,H2+H8
R097309,H2+H8
R098300,H8
R098301,H8
R098302,H8
R098303,H8
R098304,H8
R098305,H8
R098306,H8
R098307,H8
R098308,H8
R098309,H8
R099300,H8
R099301,H8
R099302,H8
R099303,H8
R099304,H8
R099305,H8
R099306,H8
R099307,H8
R099308,H8
R099309,H8
R0931,H2+H8
R090310,H2
R090311,H2
R090312,H2
R090313,H2
R090314,H2
R090315,H2
R090316,H2
R090317,H2
R090318,H2
R090319,H2
R091310,H2
R091311,H2
R091312,H2
R091313,H2
R091314,H2
R091315,H2
R091316,H2
R091317,H2
R091318,H2
R091319,H2
R092310,H2
R092311,H2
R092312,H2
R092313,H2
R092314,H2
R092315,H2
R092316,H2
R092317,H2
R092318,H2
R092319,H2
R093310,H2
R093311,H2
R093312,H2
R093313,H2
R093314,H2
R093315,H2
R093316,H2
R093317,H2
R093318,H2
R093319,H2
R094310,H2
R094311,H2
R094312,H2
R094313,H2
R094314,H2
R094315,H2
R094316,H2
R094317,H2
R094318,H2
R094319,H2
R095310,H2
R095311,H2
R095312,H2
R095313,H2
R095314,H2
R095315,H2
R095316,H2
R095317,H2
R095318,H2
R095319,H2
R096310,H2
R096311,H2
R096312,H2
R096313,H2
R096314,H2
R096315,H2
R096316,H2
R096317,H2
R096318,H2
R096319,H2
R097310,H2+H8
R097311,H2
R097312,H2
R097313,H2
R097314,H2
R097315,H2
R097316,H2
R097317,H2
R097318,H2
R097319,H2
R098310,H2+H8
R098311,H2+H8
R098312,H2
R098313,H2
R098314,H2
R098315,H2
R098316,H2
R098317,H2
R098318,H2
R098319,H2
R099310,H8
R099311,H2+H8
R099312,H2
R099313,H2
R099314,H2
R099315,H2
R099316,H2
R099317,H2
R099318,H2
R099319,H2
R03W,H2+H8
R0832,H2
R0833,H2
R0932,H2
R0933,H2+H8
R090330,H2
R090331,H2
R090332,H2
R090333,H2
R090334,H2
R090335,H2
R090336,H2
R090337,H2
R090338,H2
R090339,H2
R091330,H2
R091331,H2
R091332,H2
R091333,H2
R091334,H2
R091335,H2
R091336,H2
R091337,H2
R091338,H2
R091339,H2
R092330,H2
R092331,H2
R092332,H2
R092333,H2
R092334,H2
R092335,H2
R092336,H2
R092337,H2
R092338,H2
R092339,H2
R093330,H2
R093331,H2
R093332,H2
R093333,H2
R093334,H2
R093335,H2
R093336,H2
R093337,H2
R093338,H2
R093339,H2
R094330,H2
R094331,H2
R094332,H2
R094333,H2
R094334,H2
R094335,H2
R094336,H2
R094337,H2
R094338,H2
R094339,H2
R095330,H2
R095331,H2
R095332,H2
R095333,H2
R095334,H2
R095335,H2
R095336,H2
R095337,H2
R095338,H2
R095339,H2+H8
R096330,H2
R096331,H2
R096332,H2
R096333,H2
R096334,H2
R096335,H2
R096336,H2
R096337,H2
R096338,H2+H8
R096339,H2+H8
R097330,H2
R097331,H2
R097332,H2
R097333,H2
R097334,H2+H8
R097335,H2+H8
R097336,H2+H8
R097337,H2+H8
R097338,H2+H8
R097339,H8
R098330,H2
R098331,H2
R098332,H2+H8
R098333,H2+H8
R098334,H2+H8
R098335,H8
R098336,H8
R098337,H8
R098338,H8
R098339,H8
R099330,H2
R099331,H2+H8
R099332,H2+H8
R099333,H8
R099334,H8
R099335,H8
R099336,H8
R099337,H8
R099338,H8
R099339,H8
R03X,H2+H8
R0834,H2
R0835,H2
R0934,H2+H8
R090340,H2
R090341,H2
R090342,H2
R090343,H2
R090344,H2
R090345,H2
R090346,H2
R090347,H2
R090348,H2
R090349,H2
R091340,H2
R091341,H2
R091342,H2
R091343,H2
R091344,H2
R091345,H2
R091346,H2
R091347,H2
R091348,H2
R091349,H2
R092340,H2
R092341,H2
R092342,H2
R092343,H2
R092344,H2
R092345,H2
R092346,H2
R092347,H2
R092348,H2
R092349,H2+H8
R093340,H2
R093341,H2
R093342,H2
R093343,H2
R093344,H2
R093345,H2
R093346,H2
R093347,H2
R093348,H2+H8
R093349,H2+H8
R094340,H2
R094341,H2
R094342,H2
R094343,H2
R094344,H2
R094345,H2+H8
R094346,H2+H8
R094347,H2+H8
R094348,H2+H8
R094349,H8
R095340,H2+H8
R095341,H2+H8
R095342,H2+H8
R095343,H2+H8
R095344,H2+H8
R095345,H2+H8
R095346,H8
R095347,H8
R095348,H8
R095349,H8
R096340,H8
R096341,H8
R096342,H2+H8
R096343,H8
R096344,H8
R096345,H8
R096346,H8
R096347,H8
R096348,H8
R096349,H8
R097340,H8
R097341,H8
R097342,H8
R097343,H8
R097344,H8
R097345,H8
R097346,H8
R097347,H8
R097348,H8
R097349,H8
R098340,H8
R098341,H8
R098342,H8
R098343,H8
R098344,H8
R098345,H8
R098346,H8
R098347,H8
R098348,H8
R098349,H8
R099340,H8
R099341,H8
R099342,H8
R099343,H8
R099344,H8
R099345,H8
R099346,H8
R099347,H8
R099348,H8
R099349,H8
R0935,H2+H8
R090350,H2
R090351,H2
R090352,H2+H8
R090353,H2+H8
R090354,H2+H8
R090355,H2+H8
R090356,H2+H8
R090357,H2+H8
R090358,H2+H8
R090359,H2+H8
R091350,H2+H8
R091351,H2+H8
R091352,H2+H8
R091353,H8
R091354,H8
R091355,H8
R091356,H8
R091357,H8
R091358,H8
R091359,H8
R092350,H2+H8
R092351,H8
R092352,H8
R092353,H8
R092354,H8
R092355,H8
R092356,H8
R092357,H8
R092358,H8
R092359,H8
R093350,H8
R093351,H8
R093352,H8
R093353,H8
R093354,H8
R093355,H8
R093356,H8
R093357,H8
R093358,H8
R093359,H8
R094350,H8
R094351,H8
R094352,H8
R094353,H8
R094354,H8
R094355,H8
R094356,H8
R094357,H8
R094358,H8
R094359,H8
R095350,H8
R095351,H8
R095352,H8
R095353,H8
R095354,H8
R095355,H8
R095356,H8
R095357,H8
R095358,H8
R095359,H8
R096350,H8
R096351,H8
R096352,H8
R096353,H8
R096354,H8
R096355,H8
R096356,H8
R096357,H8
R096358,H8
R096359,H8
R097350,H8
R097351,H8
R097352,H8
R097353,H8
R097354,H8
R097355,H8
R097356,H8
R097357,H8
R097358,H8
R097359,H8
R098350,H8
R098351,H8
R098352,H8
R098353,H8
R098354,H8
R098355,H8
R098356,H8
R098357,H8
R098358,H8
R098359,H8
R099350,H8
R099351,H8
R099352,H8
R099353,H8
R099354,H8
R099355,H8
R099356,H8
R099357,H8
R099358,H8
R099359,H8
R03Y,H2+H8
R0836,H2
R0837,H2
R0936,H2+H8
R090360,H2+H8
R090361,H2+H8
R090362,H2+H8
R090363,H2+H8
R090364,H2
R090365,H2
R090366,H2
R090367,H2
R090368,H2
R090369,H2
R091360,H8
R091361,H8
R091362,H8
R091363,H2+H8
R091364,H2
R091365,H2
R091366,H2
R091367,H2
R091368,H2
R091369,H2
R092360,H8
R092361,H8
R092362,H8
R092363,H2+H8
R092364,H2+H8
R092365,H2
R092366,H2
R092367,H2
R092368,H2
R092369,H2
R093360,H8
R093361,H8
R093362,H2+H8
R093363,H2+H8
R093364,H2+H8
R093365,H2
R093366,H2
R093367,H2
R093368,H2
R093369,H2
R094360,H8
R094361,H8
R094362,H2+H8
R094363,H2+H8
R094364,H2+H8
R094365,H2
R094366,H2
R094367,H2
R094368,H2
R094369,H2
R095360,H8
R095361,H8
R095362,H8
R095363,H2+H8
R095364,H2+H8
R095365,H2
R095366,H2
R095367,H2
R095368,H2
R095369,H2
R096360,H8
R096361,H8
R096362,H8
R096363,H2+H8
R096364,H2+H8
R096365,H2
R096366,H2
R096367,H2
R096368,H2
R096369,H2
R097360,H8
R097361,H8
R097362,H8
R097363,H2+H8
R097364,H2+H8
R097365,H2
R097366,H2
R097367,H2
R097368,H2
R097369,H2
R098360,H8
R098361,H8
R098362,H8
R098363,H2+H8
R098364,H2+H8
R098365,H2
R098366,H2
R098367,H2
R098368,H2
R098369,H2
R099360,H8
R099361,H8
R099362,H8
R099363,H2+H8
R099364,H2
R099365,H2
R099366,H2
R099367,H2
R099368,H2
R099369,H2
R0937,H2
R03Z,H2
R04,H0+H2+H8+H9
R04SW,H2
R04NW,H0+H2
R04SE,H2+H8
R04NE,H0+H2+H8+H9
R04A,H2
R04B,H2
R04C,H0+H2
R0044,H2
R0045,H0+H2
R000450,H2
R000451,H2
R000452,H2
R000453,H2
R000454,H2
R000455,H0+H2
R000456,H0+H2
R000457,H0+H2
R000458,H2
R000459,H2
R001450,H2
R001451,H2
R001452,H2
R001453,H2
R001454,H2
R001455,H2
R001456,H0+H2
R001457,H2
R001458,H2
R001459,H2
R002450,H2
R002451,H2
R002452,H2
R002453,H2
R002454,H2
R002455,H2
R002456,H2
R002457,H2
R002458,H2
R002459,H2
R003450,H2
R003451,H2
R003452,H2
R003453,H2
R003454,H2
R003455,H2
R003456,H2
R003457,H2
R003458,H2
R003459,H2
R004450,H2
R004451,H2
R004452,H2
R004453,H2
R004454,H2
R004455,H2
R004456,H2
R004457,H2
R004458,H2
R004459,H2
R005450,H2
R005451,H2
R005452,H2
R005453,H2
R005454,H2
R005455,H2
R005456,H2
R005457,H2
R005458,H2
R005459,H2
R006450,H2
R006451,H2
R006452,H2
R006453,H2
R006454,H2
R006455,H2
R006456,H2
R006457,H2
R006458,H2
R006459,H2
R007450,H2
R007451,H2
R007452,H2
R007453,H2
R007454,H2
R007455,H2
R007456,H2
R007457,H2
R007458,H2
R007459,H2
R008450,H2
R008451,H2
R008452,H2
R008453,H2
R008454,H2
R008455,H2
R008456,H2
R008457,H2
R008458,H2
R008459,H2
R009450,H2
R009451,H2
R009452,H2
R009453,H2
R009454,H2
R009455,H2
R009456,H2
R009457,H2
R009458,H2
R009459,H2
R0144,H2
R0145,H2
R04D,H0+H2
R0046,H0+H2
R000460,H2
R000461,H0+H2
R000462,H0+H2
R000463,H2
R000464,H2
R000465,H2
R000466,H0+H2
R000467,H0
R000468,H0
R000469,H0
R001460,H2
R001461,H0+H2
R001462,H0+H2
R001463,H0+H2
R001464,H2
R001465,H2
R001466,H0+H2
R001467,H0
R001468,H0
R001469,H0+H2
R002460,H2
R002461,H0+H2
R002462,H0+H2
R002463,H0+H2
R002464,H2
R002465,H0+H2
R002466,H0+H2
R002467,H0+H2
R002468,H0+H2
R002469,H0+H2
R003460,H2
R003461,H0+H2
R003462,H0+H2
R003463,H0+H2
R003464,H0+H2
R003465,H0+H2
R003466,H0+H2
R003467,H0+H2
R003468,H0+H2
R003469,H2
R004460,H2
R004461,H0+H2
R004462,H0+H2
R004463,H0+H2
R004464,H0+H2
R004465,H0+H2
R004466,H0+H2
R004467,H2
R004468,H2
R004469,H2
R005460,H2
R005461,H2
R005462,H0+H2
R005463,H0+H2
R005464,H0+H2
R005465,H0+H2
R005466,H2
R005467,H2
R005468,H2
R005469,H2
R006460,H2
R006461,H2
R006462,H0+H2
R006463,H0+H2
R006464,H2
R006465,H2
R006466,H2
R006467,H2
R006468,H2
R006469,H2
