J,H0+H31+H36+H37+H38+H39
J042086,H31
J042087,H31
J042088,H31
J042089,H31
J043080,H31
J043081,H31
J043082,H31
J043083,H31
J043084,H31
J043085,H31
J043086,H31
J043087,H31
J043088,H31
J043089,H31
J044080,H31
J044081,H31
J044082,H31
J044083,H31
J044084,H31
J044085,H31
J044086,H31
J044087,H31
J044088,H31
J044089,H31
J045080,H31
J045081,H31
J045082,H31
J045083,H31
J045084,H31
J045085,H31
J045086,H31
J045087,H31
J045088,H31
J045089,H31
J046080,H31
J046081,H31
J046082,H31
J046083,H31
J046084,H31
J046085,H31
J046086,H31
J046087,H31
J046088,H31
J046089,H31
J047080,H31
J047081,H0+H31
J047082,H0+H31
J047083,H31
J047084,H31
J047085,H31
J047086,H31
J047087,H31
J047088,H31
J047089,H31
J048080,H0+H31
J048081,H0+H31
J048082,H0+H31
J048083,H31
J048084,H31
J048085,H31
J048086,H31
J048087,H31
J048088,H31
J048089,H31
J049080,H0+H31
J049081,H0+H31
J049082,H31
J049083,H31
J049084,H31
J049085,H31
J049086,H31
J049087,H31
J049088,H31
J049089,H31
J0409,H31
J0508,H0+H31
J050080,H0+H31
J050081,H0+H31
J050082,H0+H31
J050083,H31
J050084,H31
J050085,H31
J050086,H31
J050087,H31
J050088,H31
J050089,H31
J051080,H0+H31
J051081,H0
J051082,H0+H31
J051083,H31
J051084,H31
J051085,H31
J051086,H31
J051087,H31
J051088,H31
J051089,H31
J052080,H0+H31
J052081,H0+H31
J052082,H0+H31
J052083,H31
J052084,H31
J052085,H31
J052086,H31
J052087,H31
J052088,H31
J052089,H31
J053080,H31
J053081,H0+H31
J053082,H0+H31
J053083,H31
J053084,H31
J053085,H31
J053086,H31
J053087,H31
J053088,H31
J053089,H31
J054080,H0+H31
J054081,H0+H31
J054082,H0+H31
J054083,H31
J054084,H31
J054085,H31
J054086,H31
J054087,H31
J054088,H31
J054089,H31
J055080,H0
J055081,H0+H31
J055082,H31
J055083,H31
J055084,H31
J055085,H31
J055086,H31
J055087,H31
J055088,H31
J055089,H31
J056080,H0+H31
J056081,H0+H31
J056082,H31
J056083,H31
J056084,H31
J056085,H31
J056086,H31
J056087,H31
J056088,H31
J056089,H31
J057080,H0
J057081,H0+H31
J057082,H0+H31
J057083,H31
J057084,H31
J057085,H31
J057086,H31
J057087,H31
J057088,H31
J057089,H31
J058080,H0
J058081,H0
J058082,H0+H31
J058083,H31
J058084,H31
J058085,H31
J058086,H31
J058087,H31
J058088,H31
J058089,H31
J059080,H0
J059081,H0
J059082,H0+H31
J059083,H31
J059084,H31
J059085,H31
J059086,H31
J059087,H31
J059088,H31
J059089,H31
J0509,H31
J00Q,H0+H31
J0600,H0+H31
J060000,H31
J060001,H31
J060002,H31
J060003,H31
J060004,H31
J060005,H31
J060006,H31
J060007,H31
J060008,H31
J060009,H31
J061000,H31
J061001,H31
J061002,H31
J061003,H31
J061004,H31
J061005,H31
J061006,H31
J061007,H31
J061008,H31
J061009,H31
J062000,H31
J062001,H31
J062002,H31
J062003,H31
J062004,H31
J062005,H31
J062006,H31
J062007,H31
J062008,H31
J062009,H31
J063000,H31
J063001,H31
J063002,H31
J063003,H31
J063004,H31
J063005,H31
J063006,H31
J063007,H31
J063008,H31
J063009,H31
J064000,H31
J064001,H31
J064002,H31
J064003,H31
J064004,H31
J064005,H0+H31
J064006,H0+H31
J064007,H0+H31
J064008,H0+H31
J064009,H0+H31
J065000,H31
J065001,H31
J065002,H31
J065003,H31
J065004,H31
J065005,H0+H31
J065006,H0
J065007,H0
J065008,H0
J065009,H0
J066000,H31
J066001,H31
J066002,H31
J066003,H31
J066004,H0+H31
J066005,H0+H31
J066006,H0
J066007,H0
J066008,H0
J066009,H0
J067000,H31
J067001,H31
J067002,H0+H31
J067003,H0+H31
J067004,H0+H31
J067005,H0
J067006,H0
J067007,H0
J067008,H0
J067009,H0
J068000,H0+H31
J068001,H0+H31
J068002,H0+H31
J068003,H0
J068004,H0
J068005,H0
J068006,H0
J068007,H0
J068008,H0
J068009,H0
J069000,H0
J069001,H0
J069002,H0
J069003,H0
J069004,H0
J069005,H0
J069006,H0
J069007,H0
J069008,H0
J069009,H0
J0601,H0+H31
J060010,H31
J060011,H31
J060012,H31
J060013,H31
J060014,H31
J060015,H31
J060016,H31
J060017,H31
J060018,H31
J060019,H31
J061010,H31
J061011,H31
J061012,H31
J061013,H31
J061014,H31
J061015,H31
J061016,H31
J061017,H31
J061018,H31
J061019,H31
J062010,H31
J062011,H31
J062012,H31
J062013,H31
J062014,H31
J062015,H31
J062016,H31
J062017,H31
J062018,H31
J062019,H31
J063010,H31
J063011,H31
J063012,H31
J063013,H31
J063014,H31
J063015,H31
J063016,H31
J063017,H31
J063018,H31
J063019,H31
J064010,H0+H31
J064011,H0+H31
J064012,H0+H31
J064013,H0+H31
J064014,H0+H31
J064015,H0+H31
J064016,H0+H31
J064017,H0+H31
J064018,H31
J064019,H31
J065010,H0
J065011,H0
J065012,H0
J065013,H0
J065014,H0
J065015,H0
J065016,H0+H31
J065017,H0+H31
J065018,H0+H31
J065019,H0+H31
J066010,H0
J066011,H0
J066012,H0
J066013,H0
J066014,H0
J066015,H0
J066016,H0
J066017,H0+H31
J066018,H0
J066019,H0+H31
J067010,H0
J067011,H0
J067012,H0
J067013,H0
J067014,H0
J067015,H0
J067016,H0
J067017,H0
J067018,H0
J067019,H0+H31
J068010,H0
J068011,H0
J068012,H0
J068013,H0
J068014,H0
J068015,H0
J068016,H0
J068017,H0
J068018,H0
J068019,H0
J069010,H0
J069011,H0
J069012,H0
J069013,H0
J069014,H0
J069015,H0
J069016,H0
J069017,H0
J069018,H0
J069019,H0
J0700,H0
J0701,H0
J00R,H0+H31
J0602,H0+H31
J060020,H31
J060021,H31
J060022,H31
J060023,H31
J060024,H31
J060025,H31
J060026,H31
J060027,H31
J060028,H31
J060029,H31
J061020,H31
J061021,H31
J061022,H31
J061023,H31
J061024,H31
J061025,H31
J061026,H31
J061027,H31
J061028,H31
J061029,H31
J062020,H31
J062021,H31
J062022,H31
J062023,H31
J062024,H31
J062025,H31
J062026,H31
J062027,H31
J062028,H31
J062029,H31
J063020,H31
J063021,H31
J063022,H31
J063023,H31
J063024,H31
J063025,H31
J063026,H31
J063027,H31
J063028,H31
J063029,H31
J064020,H31
J064021,H31
J064022,H31
J064023,H31
J064024,H31
J064025,H31
J064026,H31
J064027,H31
J064028,H31
J064029,H31
J065020,H0+H31
J065021,H31
J065022,H31
J065023,H31
J065024,H31
J065025,H31
J065026,H31
J065027,H31
J065028,H31
J065029,H31
J066020,H0+H31
J066021,H31
J066022,H31
J066023,H31
J066024,H31
J066025,H31
J066026,H31
J066027,H31
J066028,H31
J066029,H31
J067020,H0+H31
J067021,H31
J067022,H31
J067023,H31
J067024,H31
J067025,H31
J067026,H31
J067027,H31
J067028,H31
J067029,H31
J068020,H0+H31
J068021,H31
J068022,H31
J068023,H31
J068024,H31
J068025,H31
J068026,H31
J068027,H31
J068028,H31
J068029,H31
J069020,H0+H31
J069021,H31
J069022,H31
J069023,H31
J069024,H31
J069025,H31
J069026,H31
J069027,H31
J069028,H31
J069029,H31
J0603,H31
J0702,H0+H31
J070020,H0+H31
J070021,H0+H31
J070022,H31
J070023,H31
J070024,H31
J070025,H31
J070026,H31
J070027,H31
J070028,H31
J070029,H31
J071020,H0+H31
J071021,H0+H31
J071022,H31
J071023,H31
J071024,H31
J071025,H31
J071026,H31
J071027,H31
J071028,H31
J071029,H31
J072020,H0+H31
J072021,H0+H31
J072022,H31
J072023,H0+H31
J072024,H0+H31
J072025,H0+H31
J072026,H0+H31
J072027,H0+H31
J072028,H31
J072029,H31
J073020,H0
J073021,H0+H31
J073022,H0+H31
J073023,H0+H31
J073024,H0+H31
J073025,H0
J073026,H0
J073027,H0+H31
J073028,H0+H31
J073029,H31
J074020,H0
J074021,H0
J074022,H0
J074023,H0
J074024,H0
J074025,H0
J074026,H0
J074027,H0
J074028,H0+H31
J074029,H0+H31
J075020,H0
J075021,H0
J075022,H0
J075023,H0
J075024,H0
J075025,H0
J075026,H0
J075027,H0
J075028,H0
J075029,H0
J076020,H0
J076021,H0
J076022,H0
J076023,H0
J076024,H0
J076025,H0
J076026,H0
J076027,H0
J076028,H0
J076029,H0
J077020,H0
J077021,H0
J077022,H0
J077023,H0
J077024,H0
J077025,H0
J077026,H0
J077027,H0
J077028,H0
J077029,H0
J078020,H0
J078021,H0
J078022,H0
J078023,H0
J078024,H0
J078025,H0
J078026,H0
J078027,H0
J078028,H0
J078029,H0
J079020,H0
J079021,H0
J079022,H0
J079023,H0
J079024,H0
J079025,H0
J079026,H0
J079027,H0
J079028,H0
J079029,H0
J0703,H0+H31
J070030,H31
J070031,H31
J070032,H31
J070033,H31
J070034,H31
J070035,H31
J070036,H31
J070037,H31
J070038,H31
J070039,H31
J071030,H31
J071031,H31
J071032,H31
J071033,H31
J071034,H31
J071035,H31
J071036,H31
J071037,H31
J071038,H31
J071039,H31
J072030,H31
J072031,H31
J072032,H31
J072033,H31
J072034,H31
J072035,H31
J072036,H31
J072037,H31
J072038,H31
J072039,H31
J073030,H31
J073031,H31
J073032,H31
J073033,H31
J073034,H31
J073035,H31
J073036,H31
J073037,H31
J073038,H31
J073039,H31
J074030,H0+H31
J074031,H0+H31
J074032,H31
J074033,H31
J074034,H31
J074035,H31
J074036,H31
J074037,H31
J074038,H31
J074039,H31
J075030,H0+H31
J075031,H0+H31
J075032,H0+H31
J075033,H0+H31
J075034,H31
J075035,H0+H31
J075036,H0+H31
J075037,H0+H31
J075038,H31
J075039,H0+H31
J076030,H0
J076031,H0
J076032,H0
J076033,H0+H31
J076034,H0+H31
J076035,H0+H31
J076036,H0
J076037,H0+H31
J076038,H0+H31
J076039,H0+H31
J077030,H0
J077031,H0
J077032,H0
J077033,H0
J077034,H0
J077035,H0
J077036,H0
J077037,H0
J077038,H0
J077039,H0
J078030,H0
J078031,H0
J078032,H0
J078033,H0
J078034,H0
J078035,H0
J078036,H0
J078037,H0
J078038,H0
J078039,H0
J079030,H0
J079031,H0
J079032,H0
J079033,H0
J079034,H0
J079035,H0
J079036,H0
J079037,H0
J079038,H0
J079039,H0
J00S,H0+H31
J0604,H31
J0605,H31
J0704,H0+H31
J070040,H31
J070041,H31
J070042,H31
J070043,H31
J070044,H31
J070045,H31
J070046,H31
J070047,H31
J070048,H31
J070049,H31
J071040,H31
J071041,H31
J071042,H31
J071043,H31
J071044,H31
J071045,H31
J071046,H31
J071047,H31
J071048,H31
J071049,H31
J072040,H31
J072041,H31
J072042,H31
J072043,H31
J072044,H0+H31
J072045,H0+H31
J072046,H0+H31
J072047,H31
J072048,H31
J072049,H31
J073040,H31
J073041,H31
J073042,H31
J073043,H0+H31
J073044,H0+H31
J073045,H0
J073046,H0+H31
J073047,H0+H31
J073048,H31
J073049,H31
J074040,H31
J074041,H31
J074042,H0+H31
J074043,H0+H31
J074044,H0
J074045,H0
J074046,H0
J074047,H0+H31
J074048,H0+H31
J074049,H0+H31
J075040,H0+H31
J075041,H0+H31
J075042,H0+H31
J075043,H0
J075044,H0
J075045,H0
J075046,H0
J075047,H0
J075048,H0
J075049,H0
J076040,H0
J076041,H0
J076042,H0
J076043,H0
J076044,H0
J076045,H0
J076046,H0
J076047,H0
J076048,H0
J076049,H0
J077040,H0
J077041,H0
J077042,H0
J077043,H0
J077044,H0
J077045,H0
J077046,H0
J077047,H0
J077048,H0
J077049,H0
J078040,H0
J078041,H0
J078042,H0
J078043,H0
J078044,H0
J078045,H0
J078046,H0
J078047,H0
J078048,H0
J078049,H0
J079040,H0
J079041,H0
J079042,H0
J079043,H0
J079044,H0
J079045,H0
J079046,H0
J079047,H0
J079048,H0
J079049,H0
J0705,H0+H31
J070050,H31
J070051,H31
J070052,H31
J070053,H31
J070054,H31
J070055,H31
J070056,H31
J070057,H31
J070058,H31
J070059,H31
J071050,H31
J071051,H31
J071052,H31
J071053,H31
J071054,H31
J071055,H31
J071056,H31
J071057,H31
J071058,H31
J071059,H31
J072050,H31
J072051,H31
J072052,H31
J072053,H31
J072054,H31
J072055,H31
J072056,H31
J072057,H31
J072058,H31
J072059,H31
J073050,H31
J073051,H31
J073052,H31
J073053,H31
J073054,H31
J073055,H31
J073056,H31
J073057,H31
J073058,H31
J073059,H31
J074050,H0+H31
J074051,H31
J074052,H31
J074053,H31
J074054,H31
J074055,H31
J074056,H31
J074057,H31
J074058,H31
J074059,H31
J075050,H0+H31
J075051,H0+H31
J075052,H31
J075053,H31
J075054,H31
J075055,H31
J075056,H31
J075057,H31
J075058,H31
J075059,H31
J076050,H0
J076051,H0+H31
J076052,H0+H31
J076053,H31
J076054,H31
J076055,H31
J076056,H31
J076057,H31
J076058,H31
J076059,H31
J077050,H0
J077051,H0
J077052,H0+H31
J077053,H0+H31
J077054,H31
J077055,H31
J077056,H31
J077057,H31
J077058,H31
J077059,H31
J078050,H0
J078051,H0
J078052,H0
J078053,H0+H31
J078054,H31
J078055,H31
J078056,H31
J078057,H31
J078058,H31
J078059,H31
J079050,H0
J079051,H0
J079052,H0
J079053,H0+H31
J079054,H31
J079055,H31
J079056,H31
J079057,H31
J079058,H31
J079059,H31
J00T,H0+H31
J0606,H31
J0607,H0+H31
J060070,H31
J060071,H31
J060072,H31
J060073,H31
J060074,H31
J060075,H31
J060076,H31
J060077,H0+H31
J060078,H0+H31
J060079,H0+H31
J061070,H31
J061071,H31
J061072,H31
J061073,H31
J061074,H31
J061075,H31
J061076,H31
J061077,H0+H31
J061078,H0+H31
J061079,H0+H31
J062070,H31
J062071,H31
J062072,H31
J062073,H31
J062074,H31
J062075,H31
J062076,H31
J062077,H0+H31
J062078,H0+H31
J062079,H0+H31
J063070,H31
J063071,H31
J063072,H31
J063073,H31
J063074,H31
J063075,H31
J063076,H31
J063077,H0+H31
J063078,H0+H31
J063079,H0+H31
J064070,H31
J064071,H31
J064072,H31
J064073,H31
J064074,H31
J064075,H31
J064076,H31
J064077,H0+H31
J064078,H0+H31
J064079,H0+H31
J065070,H31
J065071,H31
J065072,H31
J065073,H31
J065074,H31
J065075,H31
J065076,H31
J065077,H0+H31
J065078,H0+H31
J065079,H0+H31
J066070,H31
J066071,H31
J066072,H31
J066073,H31
J066074,H31
J066075,H31
J066076,H31
J066077,H0+H31
J066078,H0
J066079,H0
J067070,H31
J067071,H31
J067072,H31
J067073,H31
J067074,H31
J067075,H31
J067076,H0+H31
J067077,H0+H31
J067078,H0
J067079,H0
J068070,H31
J068071,H31
J068072,H31
J068073,H31
J068074,H31
J068075,H31
J068076,H0+H31
J068077,H0
J068078,H0
J068079,H0
J069070,H31
J069071,H31
J069072,H31
J069073,H31
J069074,H31
J069075,H31
J069076,H0+H31
J069077,H0
J069078,H0
J069079,H0
J0706,H31
J0707,H0+H31
J070070,H31
J070071,H31
J070072,H31
J070073,H31
J070074,H31
J070075,H31
J070076,H0+H31
J070077,H0
J070078,H0
J070079,H0
J071070,H31
J071071,H31
J071072,H31
J071073,H31
J071074,H31
J071075,H31
J071076,H0+H31
J071077,H0
J071078,H0
J071079,H0
J072070,H31
J072071,H31
J072072,H31
J072073,H31
J072074,H31
J072075,H31
J072076,H0+H31
J072077,H0
J072078,H0
J072079,H0
J073070,H31
J073071,H31
J073072,H31
J073073,H31
J073074,H31
J073075,H31
J073076,H0+H31
J073077,H0
J073078,H0
J073079,H0
J074070,H31
J074071,H31
J074072,H31
J074073,H31
J074074,H31
J074075,H31
J074076,H0+H31
J074077,H0
J074078,H0
J074079,H0
J075070,H31
J075071,H31
J075072,H31
J075073,H31
J075074,H31
J075075,H31
J075076,H0+H31
J075077,H0
J075078,H0
J075079,H0
J076070,H31
J076071,H31
J076072,H31
J076073,H31
J076074,H31
J076075,H31
J076076,H0+H31
J076077,H0
J076078,H0
J076079,H0
J077070,H31
J077071,H31
J077072,H31
J077073,H31
J077074,H31
J077075,H31
J077076,H0+H31
J077077,H0+H31
J077078,H0
J077079,H0
J078070,H31
J078071,H31
J078072,H31
J078073,H31
J078074,H31
J078075,H31
J078076,H31
J078077,H0+H31
J078078,H0
J078079,H0
J079070,H31
J079071,H31
J079072,H31
J079073,H31
J079074,H31
J079075,H31
J079076,H31
J079077,H0+H31
J079078,H0
J079079,H0
J00U,H0+H31
J0608,H0+H31
J060080,H0
J060081,H0
J060082,H0+H31
J060083,H31
J060084,H31
J060085,H31
J060086,H31
J060087,H31
J060088,H31
J060089,H31
J061080,H0
J061081,H0
J061082,H0+H31
J061083,H31
J061084,H31
J061085,H31
J061086,H31
J061087,H31
J061088,H31
J061089,H31
J062080,H0
J062081,H0
J062082,H0+H31
J062083,H0+H31
J062084,H31
J062085,H31
J062086,H31
J062087,H31
J062088,H31
J062089,H31
J063080,H0
J063081,H0
J063082,H0+H31
J063083,H0+H31
J063084,H31
J063085,H31
J063086,H31
J063087,H31
J063088,H31
J063089,H31
J064080,H0
J064081,H0
J064082,H0+H31
J064083,H31
J064084,H31
J064085,H31
J064086,H31
J064087,H31
J064088,H31
J064089,H31
J065080,H0
J065081,H0
J065082,H0+H31
J065083,H0+H31
J065084,H31
J065085,H31
J065086,H31
J065087,H31
J065088,H31
J065089,H31
J066080,H0
J066081,H0
J066082,H0+H31
J066083,H0+H31
J066084,H31
J066085,H31
J066086,H31
J066087,H31
J066088,H31
J066089,H31
J067080,H0
J067081,H0
J067082,H0+H31
J067083,H31
J067084,H31
J067085,H31
J067086,H31
J067087,H31
J067088,H31
J067089,H31
J068080,H0
J068081,H0
J068082,H0+H31
J068083,H31
J068084,H31
J068085,H31
J068086,H31
J068087,H31
J068088,H31
J068089,H31
J069080,H0
J069081,H0
J069082,H0+H31
J069083,H31
J069084,H31
J069085,H31
J069086,H31
J069087,H31
J069088,H31
J069089,H31
J0609,H0+H31
J060090,H31
J060091,H31
J060092,H31
J060093,H31
J060094,H31
J060095,H31
J060096,H31
J060097,H31
J060098,H31
J060099,H31
J061090,H31
J061091,H31
J061092,H31
J061093,H31
J061094,H31
J061095,H31
J061096,H31
J061097,H31
J061098,H31
J061099,H31
J062090,H31
J062091,H31
J062092,H31
J062093,H31
J062094,H31
J062095,H31
J062096,H31
J062097,H31
J062098,H31
J062099,H31
J063090,H31
J063091,H31
J063092,H31
J063093,H31
J063094,H31
J063095,H31
J063096,H31
J063097,H31
J063098,H31
J063099,H31
J064090,H31
J064091,H31
J064092,H31
J064093,H31
J064094,H31
J064095,H31
J064096,H31
J064097,H31
J064098,H31
J064099,H31
J065090,H31
J065091,H31
J065092,H31
J065093,H31
J065094,H31
J065095,H31
J065096,H31
J065097,H31
J065098,H31
J065099,H31
J066090,H31
J066091,H31
J066092,H31
J066093,H31
J066094,H31
J066095,H31
J066096,H31
J066097,H31
J066098,H31
J066099,H31
J067090,H31
J067091,H31
J067092,H31
J067093,H31
J067094,H31
J067095,H31
J067096,H31
J067097,H31
J067098,H31
J067099,H31
J068090,H31
J068091,H31
J068092,H31
J068093,H31
J068094,H31
J068095,H31
J068096,H31
J068097,H31
J068098,H31
J068099,H31
J069090,H31
J069091,H0+H31
J069092,H0+H31
J069093,H0+H31
J069094,H0+H31
J069095,H0+H31
J069096,H31
J069097,H31
J069098,H0+H31
J069099,H0+H31
J0708,H0+H31
J070080,H0
J070081,H0
J070082,H0+H31
J070083,H0+H31
J070084,H31
J070085,H31
J070086,H31
J070087,H31
J070088,H31
J070089,H31
J071080,H0
J071081,H0
J071082,H0
J071083,H0+H31
J071084,H0+H31
J071085,H31
J071086,H31
J071087,H31
J071088,H31
J071089,H31
J072080,H0
J072081,H0
J072082,H0
J072083,H0+H31
J072084,H0+H31
J072085,H31
J072086,H31
J072087,H31
J072088,H31
J072089,H0+H31
J073080,H0
J073081,H0
J073082,H0
J073083,H0+H31
J073084,H31
J073085,H31
J073086,H31
J073087,H31
J073088,H0+H31
J073089,H0+H31
J074080,H0
J074081,H0
J074082,H0
J074083,H0+H31
J074084,H0+H31
J074085,H31
J074086,H31
J074087,H0+H31
J074088,H0+H31
J074089,H0
J075080,H0
J075081,H0
J075082,H0
J075083,H0+H31
J075084,H0+H31
J075085,H0+H31
J075086,H0+H31
J075087,H0+H31
J075088,H0
J075089,H0
J076080,H0
J076081,H0
J076082,H0
J076083,H0+H31
J076084,H0+H31
J076085,H0
J076086,H0
J076087,H0
J076088,H0
J076089,H0
J077080,H0
J077081,H0
J077082,H0
J077083,H0+H31
J077084,H0
J077085,H0
J077086,H0
J077087,H0
J077088,H0
J077089,H0
J078080,H0
J078081,H0
J078082,H0
J078083,H0+H31
J078084,H0
J078085,H0
J078086,H0
J078087,H0
J078088,H0
J078089,H0
J079080,H0
J079081,H0
J079082,H0
J079083,H0
J079084,H0
J079085,H0
J079086,H0
J079087,H0
J079088,H0
J079089,H0+H31
J0709,H0+H31
J070090,H31
J070091,H0+H31
J070092,H0+H31
J070093,H0
J070094,H0
J070095,H0+H31
J070096,H0+H31
J070097,H0+H31
J070098,H0+H31
J070099,H0
J071090,H0+H31
J071091,H0+H31
J071092,H0+H31
J071093,H0
J071094,H0
J071095,H0
J071096,H0+H31
J071097,H0+H31
J071098,H0
J071099,H0
J072090,H0+H31
J072091,H0
J072092,H0
J072093,H0
J072094,H0
J072095,H0
J072096,H0
J072097,H0+H31
J072098,H0+H31
J072099,H0+H31
J073090,H0
J073091,H0
J073092,H0
J073093,H0
J073094,H0
J073095,H0
J073096,H0+H31
J073097,H0+H31
J073098,H31
J073099,H31
J074090,H0
J074091,H0
J074092,H0
J074093,H0
J074094,H0
J074095,H0+H31
J074096,H0+H31
J074097,H31
J074098,H31
J074099,H31
J075090,H0
J075091,H0
J075092,H0
J075093,H0+H31
J075094,H0+H31
J075095,H0+H31
J075096,H31
J075097,H31
J075098,H31
J075099,H31
J076090,H0
J076091,H0
J076092,H0+H31
J076093,H0+H31
J076094,H31
J076095,H31
J076096,H31
J076097,H31
J076098,H31
J076099,H31
J077090,H0
J077091,H0
J077092,H0+H31
J077093,H31
J077094,H31
J077095,H31
J077096,H31
J077097,H31
J077098,H31
J077099,H31
J078090,H0
J078091,H0+H31
J078092,H0+H31
J078093,H31
J078094,H31
J078095,H31
J078096,H31
J078097,H31
J078098,H31
J078099,H31
J079090,H0+H31
J079091,H0+H31
J079092,H31
J079093,H31
J079094,H31
J079095,H31
J079096,H31
J079097,H31
J079098,H31
J079099,H31
J00V,H0
J00W,H0
J00X,H0+H31
J0804,H0
J0805,H0+H31
J080050,H0
J080051,H0
J080052,H0
J080053,H0+H31
J080054,H31
J080055,H31
J080056,H31
J080057,H31
J080058,H31
J080059,H31
J081050,H0
J081051,H0
J081052,H0
J081053,H0+H31
J081054,H0+H31
J081055,H31
J081056,H31
J081057,H31
J081058,H31
J081059,H31
J082050,H0
J082051,H0
J082052,H0
J082053,H0
J082054,H0+H31
J082055,H0+H31
J082056,H31
J082057,H31
J082058,H31
J082059,H31
J083050,H0
J083051,H0
J083052,H0
J083053,H0
J083054,H0
J083055,H0+H31
J083056,H31
J083057,H31
J083058,H31
J083059,H31
J084050,H0
J084051,H0
J084052,H0
J084053,H0
J084054,H0
J084055,H0+H31
J084056,H0+H31
J084057,H31
J084058,H31
J084059,H31
J085050,H0
J085051,H0
J085052,H0
J085053,H0
J085054,H0
J085055,H0
J085056,H0+H31
J085057,H0+H31
J085058,H0+H31
J085059,H31
J086050,H0
J086051,H0
J086052,H0
J086053,H0
J086054,H0
J086055,H0
J086056,H0
J086057,H0
J086058,H0+H31
J086059,H0+H31
J087050,H0
J087051,H0
J087052,H0
J087053,H0
J087054,H0
J087055,H0
J087056,H0
J087057,H0
J087058,H0
J087059,H0+H31
J088050,H0
J088051,H0
J088052,H0
J088053,H0
J088054,H0
J088055,H0
J088056,H0
J088057,H0
J088058,H0
J088059,H0+H31
J089050,H0
J089051,H0
J089052,H0
J089053,H0
J089054,H0
J089055,H0
J089056,H0
J089057,H0
J089058,H0
J089059,H0
J0904,H0
J0905,H0
J00Y,H0+H31
J0806,H0+H31
J080060,H31
J080061,H31
J080062,H31
J080063,H31
J080064,H31
J080065,H31
J080066,H31
J080067,H31
J080068,H31
J080069,H31
J081060,H31
J081061,H31
J081062,H31
J081063,H31
J081064,H31
J081065,H31
J081066,H31
J081067,H31
J081068,H31
J081069,H31
J082060,H31
J082061,H31
J082062,H31
J082063,H31
J082064,H31
J082065,H31
J082066,H31
J082067,H31
J082068,H31
J082069,H31
J083060,H31
J083061,H31
J083062,H31
J083063,H31
J083064,H31
J083065,H31
J083066,H31
J083067,H31
J083068,H31
J083069,H31
J084060,H31
J084061,H31
J084062,H31
J084063,H31
J084064,H31
J084065,H31
J084066,H31
J084067,H31
J084068,H31
J084069,H31
J085060,H31
J085061,H31
J085062,H31
J085063,H31
J085064,H31
J085065,H31
J085066,H31
J085067,H31
J085068,H31
J085069,H31
J086060,H31
J086061,H31
J086062,H31
J086063,H31
J086064,H31
J086065,H31
J086066,H31
J086067,H31
J086068,H31
J086069,H31
J087060,H31
J087061,H31
J087062,H31
J087063,H31
J087064,H31
J087065,H31
J087066,H31
J087067,H31
J087068,H31
J087069,H31
J088060,H0+H31
J088061,H0+H31
J088062,H0+H31
J088063,H31
J088064,H31
J088065,H31
J088066,H31
J088067,H31
J088068,H31
J088069,H31
J089060,H0
J089061,H0
J089062,H0+H31
J089063,H0+H31
J089064,H0+H31
J089065,H31
J089066,H0+H31
J089067,H0+H31
J089068,H0+H31
J089069,H0+H31
J0807,H0+H31
J080070,H31
J080071,H31
