C,H0+H34+H35+H36+H39+H40
C016048,H34+H35
C016049,H34+H35
C017040,H34
C017041,H34
C017042,H34
C017043,H34
C017044,H34
C017045,H34
C017046,H34
C017047,H34
C017048,H34
C017049,H34+H35
C018040,H34
C018041,H34
C018042,H34
C018043,H34
C018044,H34
C018045,H34
C018046,H34
C018047,H34
C018048,H34
C018049,H34+H35
C019040,H34
C019041,H34
C019042,H34
C019043,H34
C019044,H34
C019045,H34
C019046,H34
C019047,H34
C019048,H34
C019049,H34
C0105,H34+H35
C010050,H35
C010051,H35
C010052,H35
C010053,H35
C010054,H35
C010055,H35
C010056,H35
C010057,H35
C010058,H35
C010059,H35
C011050,H35
C011051,H35
C011052,H35
C011053,H35
C011054,H35
C011055,H35
C011056,H35
C011057,H35
C011058,H35
C011059,H35
C012050,H35
C012051,H35
C012052,H35
C012053,H35
C012054,H35
C012055,H35
C012056,H35
C012057,H35
C012058,H35
C012059,H35
C013050,H35
C013051,H35
C013052,H35
C013053,H35
C013054,H35
C013055,H35
C013056,H35
C013057,H35
C013058,H35
C013059,H35
C014050,H35
C014051,H35
C014052,H35
C014053,H35
C014054,H35
C014055,H35
C014056,H35
C014057,H35
C014058,H35
C014059,H35
C015050,H35
C015051,H35
C015052,H35
C015053,H35
C015054,H35
C015055,H35
C015056,H35
C015057,H35
C015058,H35
C015059,H35
C016050,H35
C016051,H35
C016052,H35
C016053,H35
C016054,H35
C016055,H35
C016056,H35
C016057,H35
C016058,H35
C016059,H35
C017050,H35
C017051,H35
C017052,H35
C017053,H35
C017054,H35
C017055,H35
C017056,H35
C017057,H35
C017058,H35
C017059,H35
C018050,H34+H35
C018051,H35
C018052,H35
C018053,H35
C018054,H35
C018055,H35
C018056,H35
C018057,H35
C018058,H35
C018059,H35
C019050,H34+H35
C019051,H35
C019052,H35
C019053,H35
C019054,H35
C019055,H35
C019056,H35
C019057,H35
C019058,H35
C019059,H35
C00D,H35
C00E,H35
C00F,H34
C00G,H34
C00H,H34+H35
C0204,H34
C0205,H34+H35
C020050,H34+H35
C020051,H34+H35
C020052,H35
C020053,H35
C020054,H35
C020055,H35
C020056,H35
C020057,H35
C020058,H35
C020059,H35
C021050,H34
C021051,H34+H35
C021052,H34+H35
C021053,H35
C021054,H35
C021055,H35
C021056,H35
C021057,H35
C021058,H35
C021059,H35
C022050,H34
C022051,H34
C022052,H34+H35
C022053,H34+H35
C022054,H35
C022055,H35
C022056,H35
C022057,H35
C022058,H35
C022059,H35
C023050,H34
C023051,H34
C023052,H34
C023053,H34+H35
C023054,H34+H35
C023055,H35
C023056,H35
C023057,H35
C023058,H35
C023059,H35
C024050,H34
C024051,H34
C024052,H34
C024053,H34
C024054,H34+H35
C024055,H34+H35
C024056,H35
C024057,H35
C024058,H35
C024059,H35
C025050,H34
C025051,H34
C025052,H34
C025053,H34
C025054,H34
C025055,H34+H35
C025056,H34+H35
C025057,H35
C025058,H35
C025059,H35
C026050,H34
C026051,H34
C026052,H34
C026053,H34
C026054,H34
C026055,H34
C026056,H34+H35
C026057,H34+H35
C026058,H35
C026059,H35
C027050,H34
C027051,H34
C027052,H34
C027053,H34
C027054,H34
C027055,H34
C027056,H34
C027057,H34+H35
C027058,H34+H35
C027059,H35
C028050,H34
C028051,H34
C028052,H34
C028053,H34
C028054,H34
C028055,H34
C028056,H34
C028057,H34
C028058,H34+H35
C028059,H34+H35
C029050,H34
C029051,H34
C029052,H34
C029053,H34
C029054,H34
C029055,H34
C029056,H34
C029057,H34
C029058,H34
C029059,H34+H35
C0304,H34
C0305,H34
C00I,H34+H35
C0206,H34+H35
C020060,H35
C020061,H35
C020062,H35
C020063,H35
C020064,H35
C020065,H35
C020066,H35
C020067,H35
C020068,H35
C020069,H35
C021060,H35
C021061,H35
C021062,H35
C021063,H35
C021064,H35
C021065,H35
C021066,H35
C021067,H35
C021068,H35
C021069,H35
C022060,H35
C022061,H35
C022062,H35
C022063,H35
C022064,H35
C022065,H35
C022066,H35
C022067,H35
C022068,H35
C022069,H35
C023060,H35
C023061,H35
C023062,H35
C023063,H35
C023064,H35
C023065,H35
C023066,H35
C023067,H35
C023068,H35
C023069,H35
C024060,H35
C024061,H35
C024062,H35
C024063,H35
C024064,H35
C024065,H35
C024066,H35
C024067,H35
C024068,H35
C024069,H35
C025060,H35
C025061,H35
C025062,H35
C025063,H35
C025064,H35
C025065,H35
C025066,H35
C025067,H35
C025068,H35
C025069,H35
C026060,H35
C026061,H35
C026062,H35
C026063,H35
C026064,H35
C026065,H35
C026066,H35
C026067,H35
C026068,H35
C026069,H35
C027060,H35
C027061,H35
C027062,H35
C027063,H35
C027064,H35
C027065,H35
C027066,H35
C027067,H35
C027068,H35
C027069,H35
C028060,H35
C028061,H35
C028062,H35
C028063,H35
C028064,H35
C028065,H35
C028066,H35
C028067,H35
C028068,H35
C028069,H35
C029060,H34+H35
C029061,H35
C029062,H35
C029063,H35
C029064,H35
C029065,H35
C029066,H35
C029067,H35
C029068,H35
C029069,H35
C0207,H35
C0306,H34+H35
C030060,H34+H35
C030061,H34+H35
C030062,H35
C030063,H35
C030064,H35
C030065,H35
C030066,H35
C030067,H35
C030068,H35
C030069,H35
C031060,H34
C031061,H34+H35
C031062,H34+H35
C031063,H34+H35
C031064,H34+H35
C031065,H34+H35
C031066,H34+H35
C031067,H34+H35
C031068,H34+H35
C031069,H34+H35
C032060,H34
C032061,H34
C032062,H34
C032063,H34
C032064,H34
C032065,H34
C032066,H34
C032067,H34
C032068,H34
C032069,H34
C033060,H34
C033061,H34
C033062,H34
C033063,H34
C033064,H34
C033065,H34
C033066,H34
C033067,H34
C033068,H34
C033069,H34
C034060,H34
C034061,H34
C034062,H34
C034063,H34
C034064,H34
C034065,H34
C034066,H34
C034067,H34
C034068,H34
C034069,H34
C035060,H34
C035061,H34
C035062,H34
C035063,H34
C035064,H34
C035065,H34
C035066,H34
C035067,H34
C035068,H34
C035069,H34
C036060,H34
C036061,H34
C036062,H34
C036063,H34
C036064,H34
C036065,H34
C036066,H34
C036067,H34
C036068,H34
C036069,H34
C037060,H34
C037061,H34
C037062,H34
C037063,H34
C037064,H34
C037065,H34
C037066,H34
C037067,H34
C037068,H34
C037069,H34
C038060,H34
C038061,H34
C038062,H34
C038063,H34
C038064,H34
C038065,H34
C038066,H34
C038067,H34
C038068,H34
C038069,H34
C039060,H34
C039061,H34
C039062,H34
C039063,H34
C039064,H34
C039065,H34
C039066,H34
C039067,H34
C039068,H34
C039069,H34
C0307,H34+H35
C030070,H34+H35
C030071,H34+H35
C030072,H34+H35
C030073,H34+H35
C030074,H34+H35
C030075,H35
C030076,H35
C030077,H35
C030078,H35
C030079,H35
C031070,H34+H35
C031071,H34
C031072,H34
C031073,H34
C031074,H34+H35
C031075,H34+H35
C031076,H34+H35
C031077,H35
C031078,H35
C031079,H35
C032070,H34
C032071,H34
C032072,H34
C032073,H34
C032074,H34
C032075,H34
C032076,H34+H35
C032077,H34+H35
C032078,H35
C032079,H35
C033070,H34
C033071,H34
C033072,H34
C033073,H34
C033074,H34
C033075,H34
C033076,H34
C033077,H34+H35
C033078,H34+H35
C033079,H35
C034070,H34
C034071,H34
C034072,H34
C034073,H34
C034074,H34
C034075,H34
C034076,H34
C034077,H34
C034078,H34+H35
C034079,H34+H35
C035070,H34
C035071,H34
C035072,H34
C035073,H34
C035074,H34
C035075,H34
C035076,H34
C035077,H34
C035078,H34
C035079,H34+H35
C036070,H34
C036071,H34
C036072,H34
C036073,H34
C036074,H34
C036075,H34
C036076,H34
C036077,H34
C036078,H34
C036079,H34
C037070,H34
C037071,H34
C037072,H34
C037073,H34
C037074,H34
C037075,H34
C037076,H34
C037077,H34
C037078,H34
C037079,H34
C038070,H34
C038071,H34
C038072,H34
C038073,H34
C038074,H34
C038075,H34
C038076,H34
C038077,H34
C038078,H34
C038079,H34
C039070,H34
C039071,H34
C039072,H34
C039073,H34
C039074,H34
C039075,H34
C039076,H34
C039077,H34
C039078,H34
C039079,H34
C00J,H34+H35
C0208,H35
C0209,H35
C0308,H34+H35
C030080,H35
C030081,H35
C030082,H35
C030083,H35
C030084,H35
C030085,H35
C030086,H35
C030087,H35
C030088,H35
C030089,H35
C031080,H35
C031081,H35
C031082,H35
C031083,H35
C031084,H35
C031085,H35
C031086,H35
C031087,H35
C031088,H35
C031089,H35
C032080,H35
C032081,H35
C032082,H35
C032083,H35
C032084,H35
C032085,H35
C032086,H35
C032087,H35
C032088,H35
C032089,H35
C033080,H35
C033081,H35
C033082,H35
C033083,H35
C033084,H35
C033085,H35
C033086,H35
C033087,H35
C033088,H35
C033089,H35
C034080,H35
C034081,H35
C034082,H35
C034083,H35
C034084,H35
C034085,H35
C034086,H35
C034087,H35
C034088,H35
C034089,H35
C035080,H34+H35
C035081,H35
C035082,H35
C035083,H35
C035084,H35
C035085,H35
C035086,H35
C035087,H35
C035088,H35
C035089,H35
C036080,H34+H35
C036081,H34+H35
C036082,H35
C036083,H35
C036084,H35
C036085,H35
C036086,H35
C036087,H35
C036088,H35
C036089,H35
C037080,H34
C037081,H34+H35
C037082,H34+H35
C037083,H35
C037084,H35
C037085,H35
C037086,H35
C037087,H35
C037088,H35
C037089,H35
C038080,H34
C038081,H34
C038082,H34+H35
C038083,H35
C038084,H35
C038085,H35
C038086,H35
C038087,H35
C038088,H35
C038089,H35
C039080,H34
C039081,H34
C039082,H34+H35
C039083,H34+H35
C039084,H35
C039085,H35
C039086,H35
C039087,H35
C039088,H35
C039089,H35
C0309,H35
C00K,H34
C00L,H34
C00M,H34
C00N,H34
C00P,H34+H35
C0408,H34+H35
C040080,H34
C040081,H34
C040082,H34
C040083,H34+H35
C040084,H34+H35
C040085,H35
C040086,H35
C040087,H35
C040088,H35
C040089,H35
C041080,H34
C041081,H34
C041082,H34
C041083,H34
C041084,H34+H35
C041085,H34+H35
C041086,H35
C041087,H35
C041088,H35
C041089,H35
C042080,H34
C042081,H34
C042082,H34
C042083,H34
C042084,H34
C042085,H34+H35
C042086,H34+H35
C042087,H35
C042088,H35
C042089,H35
C043080,H34
C043081,H34
C043082,H34
C043083,H34
C043084,H34
C043085,H34
C043086,H34+H35
C043087,H35
C043088,H35
C043089,H35
C044080,H34
C044081,H34
C044082,H34
C044083,H34
C044084,H34
C044085,H34
C044086,H34+H35
C044087,H34+H35
C044088,H35
C044089,H35
C045080,H34
C045081,H34
C045082,H34
C045083,H34
C045084,H34
C045085,H34
C045086,H34
C045087,H34+H35
C045088,H34+H35
C045089,H35
C046080,H34
C046081,H34
C046082,H34
C046083,H34
C046084,H34
C046085,H34
C046086,H34
C046087,H34
C046088,H34+H35
C046089,H34+H35
C047080,H34
C047081,H34
C047082,H34
C047083,H34
C047084,H34
C047085,H34
C047086,H34
C047087,H34
C047088,H34
C047089,H34+H35
C048080,H34
C048081,H34
C048082,H34
C048083,H34
C048084,H34
C048085,H34
C048086,H34
C048087,H34
C048088,H34
C048089,H34
C049080,H34
C049081,H34
C049082,H34
C049083,H34
C049084,H34
C049085,H34
C049086,H34
C049087,H34
C049088,H34
C049089,H34
C0409,H34+H35
C040090,H35
C040091,H35
C040092,H35
C040093,H35
C040094,H35
C040095,H35
C040096,H35
C040097,H35
C040098,H35
C040099,H35
C041090,H35
C041091,H35
C041092,H35
C041093,H35
C041094,H35
C041095,H35
C041096,H35
C041097,H35
C041098,H35
C041099,H35
C042090,H35
C042091,H35
C042092,H35
C042093,H35
C042094,H35
C042095,H35
C042096,H35
C042097,H35
C042098,H35
C042099,H35
C043090,H35
C043091,H35
C043092,H35
C043093,H35
C043094,H35
C043095,H35
C043096,H35
C043097,H35
C043098,H35
C043099,H35
C044090,H35
C044091,H35
C044092,H35
C044093,H35
C044094,H35
C044095,H35
C044096,H35
C044097,H35
C044098,H35
C044099,H35
C045090,H35
C045091,H35
C045092,H35
C045093,H35
C045094,H35
C045095,H35
C045096,H35
C045097,H35
C045098,H35
C045099,H35
C046090,H35
C046091,H35
C046092,H35
C046093,H35
C046094,H35
C046095,H35
C046096,H35
C046097,H35
C046098,H35
C046099,H35
C047090,H34+H35
C047091,H35
C047092,H35
C047093,H35
C047094,H35
C047095,H35
C047096,H35
C047097,H35
C047098,H35
C047099,H35
C048090,H34+H35
C048091,H34+H35
C048092,H34+H35
C048093,H35
C048094,H35
C048095,H35
C048096,H35
C048097,H35
C048098,H35
C048099,H35
C049090,H34
C049091,H34+H35
C049092,H34+H35
C049093,H35
C049094,H35
C049095,H35
C049096,H35
C049097,H35
C049098,H35
C049099,H35
C0508,H34+H35
C050080,H34
C050081,H34
C050082,H34
C050083,H34
C050084,H34
C050085,H34
C050086,H34
C050087,H34
C050088,H34
C050089,H34
C051080,H34
C051081,H34
C051082,H34
C051083,H34
C051084,H34
C051085,H34
C051086,H34
C051087,H34
C051088,H34
C051089,H34
C052080,H34
C052081,H34
C052082,H34
C052083,H34
C052084,H34
C052085,H34
C052086,H34
C052087,H34
C052088,H34
C052089,H34
C053080,H34
C053081,H34
C053082,H34
C053083,H34
C053084,H34
C053085,H34
C053086,H34
C053087,H34
C053088,H34
C053089,H34+H35
C054080,H34
C054081,H34
C054082,H34
C054083,H34
C054084,H34
C054085,H34
C054086,H34
C054087,H34
C054088,H34
C054089,H34+H35
C055080,H34
C055081,H34
C055082,H34
C055083,H34
C055084,H34
C055085,H34
C055086,H34
C055087,H34
C055088,H34
C055089,H34+H35
C056080,H34
C056081,H34
C056082,H34
C056083,H34
C056084,H34
C056085,H34
C056086,H34
C056087,H34
C056088,H34
C056089,H34
C057080,H34
C057081,H34
C057082,H34
C057083,H34
C057084,H34
C057085,H34
C057086,H34
C057087,H34
C057088,H34
C057089,H34
C058080,H34
C058081,H34
C058082,H34
C058083,H34
C058084,H34
C058085,H34
C058086,H34
C058087,H34
C058088,H34
C058089,H34
C059080,H34
C059081,H34
C059082,H34
C059083,H34
C059084,H34
C059085,H34
C059086,H34
C059087,H34
C059088,H34
C059089,H34
C0509,H34+H35
C050090,H34
C050091,H34+H35
C050092,H35
C050093,H35
C050094,H35
C050095,H35
C050096,H35
C050097,H35
C050098,H35
C050099,H35
C051090,H34
C051091,H34+H35
C051092,H35
C051093,H35
C051094,H35
C051095,H35
C051096,H35
C051097,H35
C051098,H35
C051099,H35
C052090,H34
C052091,H34+H35
C052092,H35
C052093,H35
C052094,H35
C052095,H35
C052096,H35
C052097,H35
C052098,H35
C052099,H35
C053090,H34+H35
C053091,H34+H35
C053092,H35
C053093,H35
C053094,H35
C053095,H35
C053096,H35
C053097,H35
C053098,H35
C053099,H35
C054090,H35
C054091,H35
C054092,H35
C054093,H35
C054094,H35
C054095,H35
C054096,H35
C054097,H35
C054098,H35
C054099,H35
C055090,H34+H35
C055091,H35
C055092,H35
C055093,H35
C055094,H35
C055095,H35
C055096,H35
C055097,H35
C055098,H35
C055099,H35
C056090,H34+H35
C056091,H35
C056092,H35
C056093,H35
C056094,H35
C056095,H35
C056096,H35
C056097,H35
C056098,H35
C056099,H35
C057090,H34+H35
C057091,H35
C057092,H35
C057093,H35
C057094,H35
C057095,H35
C057096,H35
C057097,H35
C057098,H35
C057099,H35
C058090,H34+H35
C058091,H35
C058092,H35
C058093,H35
C058094,H35
C058095,H35
C058096,H35
C058097,H35
C058098,H35
C058099,H35
C059090,H34+H35
C059091,H34+H35
C059092,H35
C059093,H35
C059094,H35
C059095,H35
C059096,H35
C059097,H35
C059098,H35
C059099,H35
C00Q,H34
C00R,H34
C00S,H34+H35
C0604,H34
C0605,H34
C0704,H34
C0705,H34+H35
C070050,H34
C070051,H34
C070052,H34
C070053,H34
C070054,H34
C070055,H34
C070056,H34
C070057,H34
C070058,H34
C070059,H34
C071050,H34
C071051,H34
C071052,H34
C071053,H34
C071054,H34
C071055,H34
C071056,H34
C071057,H34
C071058,H34
C071059,H34
C072050,H34
C072051,H34
C072052,H34
C072053,H34
C072054,H34
C072055,H34
C072056,H34
C072057,H34
C072058,H34
C072059,H34
C073050,H34
C073051,H34
C073052,H34
C073053,H34
C073054,H34
C073055,H34
C073056,H34
C073057,H34
C073058,H34
C073059,H34
C074050,H34
C074051,H34
C074052,H34
C074053,H34
C074054,H34
C074055,H34
C074056,H34
C074057,H34
C074058,H34
C074059,H34
C075050,H34
C075051,H34
C075052,H34
C075053,H34
C075054,H34
C075055,H34
C075056,H34
C075057,H34
C075058,H34
C075059,H34
C076050,H34
C076051,H34
C076052,H34
C076053,H34
C076054,H34
C076055,H34
C076056,H34
C076057,H34
C076058,H34
C076059,H34+H35
C077050,H34
C077051,H34
C077052,H34
C077053,H34
C077054,H34
C077055,H34
C077056,H34
C077057,H34
C077058,H34
C077059,H34+H35
C078050,H34
C078051,H34
C078052,H34
C078053,H34
C078054,H34
C078055,H34
C078056,H34
C078057,H34
C078058,H34
C078059,H34+H35
C079050,H34
C079051,H34
C079052,H34
C079053,H34
C079054,H34
C079055,H34
C079056,H34
C079057,H34
C079058,H34
C079059,H34+H35
C00T,H34+H35
C0606,H34
C0607,H34
C0706,H34+H35
C070060,H34
C070061,H34
C070062,H34
C070063,H34
C070064,H34
C070065,H34
C070066,H34
C070067,H34
C070068,H34
C070069,H34
C071060,H34
C071061,H34
C071062,H34
C071063,H34
C071064,H34
C071065,H34
C071066,H34
C071067,H34
C071068,H34
C071069,H34
C072060,H34
C072061,H34
C072062,H34
C072063,H34
C072064,H34
C072065,H34
C072066,H34
C072067,H34
C072068,H34+H35
C072069,H34+H35
C073060,H34
C073061,H34
C073062,H34
C073063,H34
C073064,H34
C073065,H34
C073066,H34+H35
C073067,H34+H35
C073068,H34+H35
C073069,H35
C074060,H34
C074061,H34
C074062,H34
C074063,H34
C074064,H34
C074065,H34+H35
C074066,H34+H35
C074067,H35
C074068,H35
C074069,H35
C075060,H34
C075061,H34
C075062,H34
C075063,H34
C075064,H34
C075065,H34+H35
C075066,H35
C075067,H35
C075068,H35
C075069,H35
C076060,H34+H35
C076061,H34+H35
C076062,H34+H35
C076063,H34
C076064,H34+H35
C076065,H34+H35
C076066,H35
C076067,H35
C076068,H35
C076069,H35
C077060,H35
C077061,H35
C077062,H34+H35
C077063,H34+H35
C077064,H34+H35
C077065,H35
C077066,H35
C077067,H35
C077068,H35
C077069,H35
C078060,H35
C078061,H35
C078062,H35
C078063,H35
C078064,H35
C078065,H35
C078066,H35
C078067,H35
C078068,H35
C078069,H35
C079060,H34+H35
C079061,H34+H35
C079062,H34+H35
C079063,H34+H35
C079064,H34+H35
C079065,H34+H35
C079066,H35
C079067,H35
C079068,H35
C079069,H35
C0707,H34+H35
C070070,H34
C070071,H34
C070072,H34+H35
C070073,H34+H35
C070074,H34+H35
C070075,H34+H35
C070076,H34+H35
C070077,H34+H35
C070078,H34+H35
C070079,H34+H35
C071070,H34+H35
C071071,H34+H35
C071072,H34+H35
C071073,H35
C071074,H35
C071075,H35
C071076,H35
C071077,H35
C071078,H35
C071079,H35
C072070,H34+H35
C072071,H35
C072072,H35
C072073,H35
C072074,H35
C072075,H35
C072076,H35
C072077,H35
C072078,H35
C072079,H35
C073070,H35
C073071,H35
C073072,H35
C073073,H35
C073074,H35
C073075,H35
C073076,H35
C073077,H35
C073078,H35
C073079,H35
C074070,H35
C074071,H35
C074072,H35
C074073,H35
C074074,H35
C074075,H35
C074076,H35
C074077,H35
C074078,H35
C074079,H35
C075070,H35
C075071,H35
C075072,H35
C075073,H35
C075074,H35
C075075,H35
C075076,H35
C075077,H35
C075078,H35
C075079,H35
C076070,H35
C076071,H35
C076072,H35
C076073,H35
C076074,H35
C076075,H35
C076076,H35
C076077,H35
C076078,H35
C076079,H35
C077070,H35
C077071,H35
C077072,H35
C077073,H35
C077074,H35
C077075,H35
C077076,H35
C077077,H35
C077078,H35
C077079,H35
C078070,H35
C078071,H35
C078072,H35
C078073,H35
C078074,H35
C078075,H35
C078076,H35
C078077,H35
C078078,H35
C078079,H35
C079070,H35
C079071,H35
C079072,H35
C079073,H35
C079074,H35
C079075,H35
C079076,H35
C079077,H35
C079078,H35
C079079,H35
C00U,H34+H35
C0608,H34+H35
C060080,H34
C060081,H34
C060082,H34
C060083,H34
C060084,H34
C060085,H34
C060086,H34
C060087,H34
C060088,H34
C060089,H34
C061080,H34
C061081,H34
C061082,H34
C061083,H34
C061084,H34
C061085,H34
C061086,H34
C061087,H34
C061088,H34
C061089,H34
C062080,H34
C062081,H34
C062082,H34
C062083,H34
C062084,H34
C062085,H34
C062086,H34
C062087,H34
C062088,H34
C062089,H34
C063080,H34
C063081,H34
C063082,H34
C063083,H34
C063084,H34
C063085,H34+H35
C063086,H34+H35
C063087,H34+H35
C063088,H34+H35
C063089,H34
C064080,H34
C064081,H34
C064082,H34
C064083,H34
C064084,H34
C064085,H34+H35
C064086,H35
C064087,H35
C064088,H34+H35
C064089,H34+H35
C065080,H34
C065081,H34
C065082,H34
C065083,H34
C065084,H34
C065085,H34+H35
C065086,H35
C065087,H35
C065088,H35
C065089,H35
C066080,H34
C066081,H34
C066082,H34
C066083,H34
C066084,H34
C066085,H34+H35
C066086,H35
C066087,H35
C066088,H35
C066089,H35
C067080,H34
C067081,H34
C067082,H34
C067083,H34+H35
C067084,H34+H35
C067085,H34+H35
C067086,H35
C067087,H35
C067088,H35
C067089,H35
C068080,H34
C068081,H34+H35
C068082,H34+H35
C068083,H34+H35
C068084,H35
C068085,H35
C068086,H35
C068087,H35
C068088,H35
C068089,H35
C069080,H34+H35
C069081,H34+H35
C069082,H35
C069083,H35
C069084,H35
C069085,H35
C069086,H35
C069087,H35
C069088,H35
C069089,H35
C0609,H34+H35
C060090,H34
C060091,H34+H35
C060092,H34+H35
C060093,H35
C060094,H35
C060095,H35
C060096,H35
C060097,H35
C060098,H35
C060099,H35
C061090,H34
C061091,H34
C061092,H34+H35
C061093,H34+H35
C061094,H35
C061095,H35
C061096,H35
C061097,H35
C061098,H35
C061099,H35
C062090,H34
C062091,H34
C062092,H34
C062093,H34+H35
C062094,H34+H35
C062095,H35
C062096,H35
C062097,H35
C062098,H35
C062099,H35
C063090,H34
C063091,H34
C063092,H34
C063093,H34
C063094,H34+H35
C063095,H34+H35
C063096,H35
C063097,H35
C063098,H35
C063099,H35
C064090,H34+H35
C064091,H34
C064092,H34
C064093,H34
C064094,H34
C064095,H34+H35
C064096,H35
C064097,H35
C064098,H35
C064099,H35
C065090,H34+H35
C065091,H34+H35
C065092,H34+H35
C065093,H34+H35
C065094,H34+H35
C065095,H34+H35
C065096,H34+H35
C065097,H35
C065098,H35
C065099,H35
C066090,H35
C066091,H35
C066092,H35
C066093,H35
C066094,H34+H35
C066095,H34+H35
C066096,H34+H35
C066097,H35
C066098,H35
C066099,H35
C067090,H35
C067091,H35
C067092,H35
C067093,H35
C067094,H35
C067095,H34+H35
C067096,H34+H35
C067097,H34+H35
C067098,H35
C067099,H35
C068090,H35
C068091,H35
C068092,H35
C068093,H35
C068094,H35
C068095,H35
C068096,H34+H35
C068097,H34+H35
C068098,H35
C068099,H35
C069090,H35
C069091,H35
C069092,H35
C069093,H35
C069094,H35
C069095,H35
C069096,H35
C069097,H35
C069098,H35
C069099,H35
C0708,H34+H35
C070080,H34+H35
C070081,H35
C070082,H35
C070083,H35
C070084,H35
C070085,H35
C070086,H35
C070087,H35
C070088,H35
C070089,H35
C071080,H35
C071081,H35
C071082,H35
C071083,H35
C071084,H35
C071085,H35
C071086,H35
C071087,H35
C071088,H35
C071089,H35
C072080,H35
C072081,H35
C072082,H35
C072083,H35
C072084,H35
C072085,H35
C072086,H35
C072087,H35
C072088,H35
C072089,H35
C073080,H35
C073081,H35
C073082,H35
C073083,H35
C073084,H35
C073085,H35
C073086,H35
C073087,H35
C073088,H35
C073089,H35
C074080,H35
C074081,H35
C074082,H35
C074083,H35
C074084,H35
C074085,H35
C074086,H35
C074087,H35
C074088,H35
C074089,H35
C075080,H35
C075081,H35
C075082,H35
C075083,H35
C075084,H35
C075085,H35
C075086,H35
C075087,H35
C075088,H35
C075089,H35
C076080,H35
C076081,H35
C076082,H35
C076083,H35
C076084,H35
C076085,H35
C076086,H35
C076087,H35
C076088,H35
C076089,H35
C077080,H35
C077081,H35
C077082,H35
C077083,H35
C077084,H35
C077085,H35
C077086,H35
C077087,H35
C077088,H35
C077089,H35
C078080,H35
C078081,H35
C078082,H35
C078083,H35
C078084,H35
C078085,H35
C078086,H35
C078087,H35
C078088,H35
C078089,H35
C079080,H35
C079081,H35
C079082,H35
C079083,H35
C079084,H35
C079085,H35
C079086,H35
C079087,H35
C079088,H35
C079089,H35
C0709,H35
C00V,H34
C00W,H34
C00X,H34
C00Y,H34+H35
C0806,H34+H35
C080060,H34
C080061,H34
C080062,H34
C080063,H34
C080064,H34
C080065,H34+H35
C080066,H34+H35
C080067,H34+H35
C080068,H35
C080069,H35
C081060,H34
C081061,H34
C081062,H34
C081063,H34
C081064,H34
C081065,H34
C081066,H34
C081067,H34+H35
C081068,H34+H35
C081069,H35
C082060,H34
C082061,H34
C082062,H34
C082063,H34
C082064,H34
C082065,H34
C082066,H34
C082067,H34
C082068,H34+H35
