G,H0+H25+H26+H27+H28+H29+H30+H33+H34+H35
G04SE,H0+H27
G04NE,H0
G04A,H0+H27
G0040,H27
G0041,H0+H27
G000410,H27
G000411,H27
G000412,H27
G000413,H27
G000414,H27
G000415,H27
G000416,H27
G000417,H27
G000418,H27
G000419,H27
G001410,H27
G001411,H27
G001412,H27
G001413,H27
G001414,H0+H27
G001415,H0+H27
G001416,H27
G001417,H27
G001418,H27
G001419,H27
G002410,H27
G002411,H27
G002412,H27
G002413,H27
G002414,H0+H27
G002415,H0+H27
G002416,H0+H27
G002417,H0+H27
G002418,H0+H27
G002419,H0+H27
G003410,H27
G003411,H27
G003412,H27
G003413,H0+H27
G003414,H0+H27
G003415,H0+H27
G003416,H0
G003417,H0+H27
G003418,H0+H27
G003419,H0+H27
G004410,H27
G004411,H0+H27
G004412,H0+H27
G004413,H0+H27
G004414,H0
G004415,H0
G004416,H0
G004417,H0
G004418,H0
G004419,H0
G005410,H27
G005411,H27
G005412,H0+H27
G005413,H0
G005414,H0
G005415,H0
G005416,H0
G005417,H0
G005418,H0
G005419,H0
G006410,H27
G006411,H27
G006412,H0+H27
G006413,H0+H27
G006414,H0
G006415,H0
G006416,H0
G006417,H0
G006418,H0
G006419,H0
G007410,H27
G007411,H27
G007412,H0+H27
G007413,H0+H27
G007414,H0
G007415,H0
G007416,H0
G007417,H0
G007418,H0
G007419,H0
G008410,H27
G008411,H27
G008412,H0+H27
G008413,H0+H27
G008414,H0
G008415,H0
G008416,H0
G008417,H0
G008418,H0
G008419,H0
G009410,H27
G009411,H27
G009412,H0+H27
G009413,H0+H27
G009414,H0+H27
G009415,H0
G009416,H0
G009417,H0
G009418,H0
G009419,H0
G0140,H27
G0141,H0+H27
G010410,H27
G010411,H27
G010412,H0+H27
G010413,H0+H27
G010414,H0
G010415,H0
G010416,H0
G010417,H0
G010418,H0
G010419,H0
G011410,H27
G011411,H0+H27
G011412,H0+H27
G011413,H0
G011414,H0
G011415,H0
G011416,H0
G011417,H0
G011418,H0
G011419,H0
G012410,H0+H27
G012411,H0+H27
G012412,H0
G012413,H0
G012414,H0
G012415,H0
G012416,H0
G012417,H0
G012418,H0
G012419,H0
G013410,H0+H27
G013411,H0+H27
G013412,H0+H27
G013413,H0
G013414,H0
G013415,H0
G013416,H0
G013417,H0
G013418,H0
G013419,H0
G014410,H27
G014411,H0+H27
G014412,H0+H27
G014413,H0
G014414,H0
G014415,H0
G014416,H0
G014417,H0
G014418,H0
G014419,H0
G015410,H27
G015411,H27
G015412,H0+H27
G015413,H0
G015414,H0
G015415,H0
G015416,H0
G015417,H0
G015418,H0
G015419,H0
G016410,H27
G016411,H27
G016412,H0+H27
G016413,H0
G016414,H0
G016415,H0
G016416,H0
G016417,H0
G016418,H0
G016419,H0
G017410,H27
G017411,H27
G017412,H0+H27
G017413,H0+H27
G017414,H0
G017415,H0
G017416,H0
G017417,H0
G017418,H0
G017419,H0
G018410,H27
G018411,H27
G018412,H0+H27
G018413,H0+H27
G018414,H0
G018415,H0
G018416,H0
G018417,H0
G018418,H0
G018419,H0
G019410,H27
G019411,H27
G019412,H27
G019413,H0+H27
G019414,H0+H27
G019415,H0
G019416,H0
G019417,H0
G019418,H0
G019419,H0
G04B,H0+H27
G0042,H0+H27
G000420,H0+H27
G000421,H0+H27
G000422,H0
G000423,H0
G000424,H0
G000425,H0
G000426,H0
G000427,H0
G000428,H0
G000429,H0
G001420,H0+H27
G001421,H0
G001422,H0
G001423,H0
G001424,H0
G001425,H0
G001426,H0
G001427,H0
G001428,H0
G001429,H0
G002420,H0+H27
G002421,H0+H27
G002422,H0
G002423,H0
G002424,H0
G002425,H0
G002426,H0
G002427,H0
G002428,H0
G002429,H0
G003420,H0+H27
G003421,H0
G003422,H0
G003423,H0
G003424,H0
G003425,H0
G003426,H0
G003427,H0
G003428,H0
G003429,H0
G004420,H0
G004421,H0
G004422,H0
G004423,H0
G004424,H0
G004425,H0
G004426,H0
G004427,H0
G004428,H0
G004429,H0
G005420,H0
G005421,H0
G005422,H0
G005423,H0
G005424,H0
G005425,H0
G005426,H0
G005427,H0
G005428,H0
G005429,H0
G006420,H0
G006421,H0
G006422,H0
G006423,H0
G006424,H0
G006425,H0
G006426,H0
G006427,H0
G006428,H0
G006429,H0
G007420,H0
G007421,H0
G007422,H0
G007423,H0
G007424,H0
G007425,H0
G007426,H0
G007427,H0
G007428,H0
G007429,H0
G008420,H0
G008421,H0
G008422,H0
G008423,H0
G008424,H0
G008425,H0
G008426,H0
G008427,H0
G008428,H0
G008429,H0
G009420,H0
G009421,H0
G009422,H0
G009423,H0
G009424,H0
G009425,H0
G009426,H0
G009427,H0
G009428,H0
G009429,H0
G0043,H0
G0142,H0
G0143,H0
G04C,H0
G04D,H0
G04E,H0
G04F,H0+H27
G0240,H27
G0241,H0+H27
G020410,H27
G020411,H27
G020412,H27
G020413,H0+H27
G020414,H0+H27
G020415,H0+H27
G020416,H0+H27
G020417,H0
G020418,H0
G020419,H0
G021410,H27
G021411,H27
G021412,H27
G021413,H27
G021414,H27
G021415,H0+H27
G021416,H0+H27
G021417,H0+H27
G021418,H0
G021419,H0+H27
G022410,H27
G022411,H27
G022412,H27
G022413,H27
G022414,H27
G022415,H0+H27
G022416,H0+H27
G022417,H0+H27
G022418,H0+H27
G022419,H0+H27
G023410,H27
G023411,H27
G023412,H27
G023413,H27
G023414,H27
G023415,H27
G023416,H0+H27
G023417,H27
G023418,H27
G023419,H0+H27
G024410,H27
G024411,H27
G024412,H27
G024413,H27
G024414,H27
G024415,H27
G024416,H27
G024417,H27
G024418,H27
G024419,H0+H27
G025410,H27
G025411,H27
G025412,H27
G025413,H27
G025414,H27
G025415,H27
G025416,H27
G025417,H27
G025418,H27
G025419,H27
G026410,H27
G026411,H27
G026412,H27
G026413,H27
G026414,H27
G026415,H27
G026416,H27
G026417,H27
G026418,H27
G026419,H0+H27
G027410,H27
G027411,H27
G027412,H27
G027413,H27
G027414,H27
G027415,H27
G027416,H27
G027417,H27
G027418,H27
G027419,H0+H27
G028410,H27
G028411,H27
G028412,H27
G028413,H27
G028414,H27
G028415,H27
G028416,H27
G028417,H27
G028418,H27
G028419,H0+H27
G029410,H27
G029411,H27
G029412,H27
G029413,H27
G029414,H27
G029415,H27
G029416,H27
G029417,H27
G029418,H0+H27
G029419,H0+H27
G0340,H27
G0341,H0+H27
G030410,H27
G030411,H27
G030412,H27
G030413,H27
G030414,H27
G030415,H27
G030416,H27
G030417,H0+H27
G030418,H0+H27
G030419,H0
G031410,H27
G031411,H27
G031412,H27
G031413,H27
G031414,H27
G031415,H27
G031416,H27
G031417,H27
G031418,H0+H27
G031419,H0
G032410,H27
G032411,H27
G032412,H27
G032413,H27
G032414,H27
G032415,H27
G032416,H27
G032417,H27
G032418,H0+H27
G032419,H0+H27
G033410,H27
G033411,H27
G033412,H27
G033413,H27
G033414,H27
G033415,H27
G033416,H27
G033417,H27
G033418,H0+H27
G033419,H0+H27
G034410,H27
G034411,H27
G034412,H27
G034413,H27
G034414,H27
G034415,H27
G034416,H27
G034417,H27
G034418,H0+H27
G034419,H0+H27
G035410,H27
G035411,H27
G035412,H27
G035413,H27
G035414,H27
G035415,H27
G035416,H27
G035417,H0+H27
G035418,H0+H27
G035419,H0
G036410,H27
G036411,H27
G036412,H27
G036413,H27
G036414,H27
G036415,H27
G036416,H27
G036417,H27
G036418,H0+H27
G036419,H0+H27
G037410,H27
G037411,H27
G037412,H27
G037413,H27
G037414,H27
G037415,H27
G037416,H27
G037417,H27
G037418,H0+H27
G037419,H0+H27
G038410,H27
G038411,H27
G038412,H27
G038413,H27
G038414,H27
G038415,H27
G038416,H27
G038417,H27
G038418,H0+H27
G038419,H0+H27
G039410,H27
G039411,H27
G039412,H27
G039413,H27
G039414,H27
G039415,H27
G039416,H27
G039417,H0+H27
G039418,H0+H27
G039419,H0+H27
G04G,H0+H27
G0242,H0+H27
G020420,H0
G020421,H0
G020422,H0
G020423,H0
G020424,H0
G020425,H0
G020426,H0
G020427,H0
G020428,H0
G020429,H0
G021420,H0+H27
G021421,H0+H27
G021422,H0
G021423,H0
G021424,H0
G021425,H0
G021426,H0
G021427,H0
G021428,H0
G021429,H0
G022420,H27
G022421,H0+H27
G022422,H0
G022423,H0
G022424,H0
G022425,H0
G022426,H0
G022427,H0
G022428,H0
G022429,H0
G023420,H0+H27
G023421,H0+H27
G023422,H0+H27
G023423,H0+H27
G023424,H0
G023425,H0
G023426,H0
G023427,H0
G023428,H0
G023429,H0
G024420,H0+H27
G024421,H27
G024422,H0+H27
G024423,H0+H27
G024424,H0
G024425,H0
G024426,H0
G024427,H0
G024428,H0
G024429,H0
G025420,H0+H27
G025421,H0+H27
G025422,H0+H27
G025423,H0+H27
G025424,H0
G025425,H0
G025426,H0
G025427,H0
G025428,H0
G025429,H0
G026420,H0+H27
G026421,H0+H27
G026422,H0+H27
G026423,H0
G026424,H0
G026425,H0
G026426,H0
G026427,H0
G026428,H0
G026429,H0
G027420,H0
G027421,H0
G027422,H0
G027423,H0
G027424,H0
G027425,H0
G027426,H0
G027427,H0
G027428,H0
G027429,H0
G028420,H0
G028421,H0
G028422,H0
G028423,H0
G028424,H0
G028425,H0
G028426,H0
G028427,H0
G028428,H0
G028429,H0
G029420,H0
G029421,H0
G029422,H0
G029423,H0
G029424,H0
G029425,H0
G029426,H0
G029427,H0
G029428,H0
G029429,H0
G0243,H0
G0342,H0+H27
G030420,H0
G030421,H0
G030422,H0
G030423,H0
G030424,H0
G030425,H0
G030426,H0
G030427,H0
G030428,H0
G030429,H0
G031420,H0
G031421,H0
G031422,H0
G031423,H0
G031424,H0
G031425,H0
G031426,H0
G031427,H0
G031428,H0
G031429,H0
G032420,H0+H27
G032421,H0
G032422,H0
G032423,H0
G032424,H0
G032425,H0
G032426,H0
G032427,H0
G032428,H0
G032429,H0
G033420,H0+H27
G033421,H0
G033422,H0
G033423,H0
G033424,H0
G033425,H0
G033426,H0
G033427,H0
G033428,H0
G033429,H0
G034420,H0
G034421,H0
G034422,H0
G034423,H0
G034424,H0
G034425,H0
G034426,H0
G034427,H0
G034428,H0
G034429,H0
G035420,H0
G035421,H0
G035422,H0
G035423,H0
G035424,H0
G035425,H0
G035426,H0
G035427,H0
G035428,H0
G035429,H0
G036420,H0+H27
G036421,H0
G036422,H0
G036423,H0
G036424,H0
G036425,H0
G036426,H0
G036427,H0
G036428,H0
G036429,H0
G037420,H0+H27
G037421,H0
G037422,H0
G037423,H0
G037424,H0
G037425,H0
G037426,H0
G037427,H0
G037428,H0
G037429,H0
G038420,H0+H27
G038421,H0
G038422,H0
G038423,H0
G038424,H0
G038425,H0
G038426,H0
G038427,H0
G038428,H0
G038429,H0
G039420,H0
G039421,H0
G039422,H0
G039423,H0
G039424,H0
G039425,H0
G039426,H0
G039427,H0
G039428,H0
G039429,H0
G0343,H0
G04H,H0
G04I,H0
G04J,H0
G04K,H0+H27
G0440,H27
G0441,H0+H27
G040410,H27
G040411,H27
G040412,H27
G040413,H27
G040414,H27
G040415,H27
G040416,H0+H27
G040417,H0+H27
G040418,H0+H27
G040419,H0
G041410,H27
G041411,H27
G041412,H27
G041413,H27
G041414,H27
G041415,H0+H27
G041416,H0+H27
G041417,H0
G041418,H0
G041419,H0
G042410,H27
G042411,H27
G042412,H27
G042413,H27
G042414,H27
G042415,H0+H27
G042416,H0
G042417,H0
G042418,H0
G042419,H0
G043410,H27
G043411,H27
G043412,H27
G043413,H27
G043414,H0+H27
G043415,H0+H27
G043416,H0
G043417,H0
G043418,H0
G043419,H0
G044410,H27
G044411,H27
G044412,H0+H27
G044413,H0+H27
G044414,H0+H27
G044415,H0
G044416,H0
G044417,H0
G044418,H0
G044419,H0
G045410,H27
G045411,H27
G045412,H0+H27
G045413,H0
G045414,H0
G045415,H0
G045416,H0
G045417,H0
G045418,H0
G045419,H0
G046410,H27
G046411,H0+H27
G046412,H0+H27
G046413,H0
G046414,H0
G046415,H0
G046416,H0
G046417,H0
G046418,H0
G046419,H0
G047410,H27
G047411,H0+H27
G047412,H0
G047413,H0
G047414,H0
G047415,H0
G047416,H0
G047417,H0
G047418,H0
G047419,H0
G048410,H27
G048411,H0+H27
G048412,H0
G048413,H0
G048414,H0
G048415,H0
G048416,H0
G048417,H0
G048418,H0
G048419,H0
G049410,H27
G049411,H0+H27
G049412,H0
G049413,H0
G049414,H0
G049415,H0
G049416,H0
G049417,H0
G049418,H0
G049419,H0
G0540,H0+H27
G050400,H27
G050401,H27
G050402,H27
G050403,H27
G050404,H27
G050405,H27
G050406,H27
G050407,H27
G050408,H27
G050409,H27
G051400,H27
G051401,H27
G051402,H27
G051403,H27
G051404,H27
G051405,H27
G051406,H27
G051407,H27
G051408,H27
G051409,H27
G052400,H27
G052401,H27
G052402,H27
G052403,H27
G052404,H27
G052405,H27
G052406,H27
G052407,H27
G052408,H27
G052409,H0+H27
G053400,H27
G053401,H27
G053402,H27
G053403,H27
G053404,H27
G053405,H27
G053406,H27
G053407,H27
G053408,H0+H27
G053409,H0+H27
G054400,H27
G054401,H27
G054402,H27
G054403,H27
G054404,H27
G054405,H27
G054406,H27
G054407,H0+H27
G054408,H0+H27
G054409,H0
G055400,H27
G055401,H27
G055402,H27
G055403,H27
G055404,H27
G055405,H27
G055406,H27
G055407,H0+H27
G055408,H0+H27
G055409,H0
G056400,H27
G056401,H27
G056402,H27
G056403,H27
G056404,H27
G056405,H27
G056406,H27
G056407,H27
G056408,H0+H27
G056409,H0+H27
G057400,H27
G057401,H27
G057402,H27
G057403,H27
G057404,H27
G057405,H27
G057406,H27
G057407,H27
G057408,H27
G057409,H27
G058400,H27
G058401,H27
G058402,H27
G058403,H27
G058404,H27
G058405,H27
G058406,H27
G058407,H27
G058408,H27
G058409,H27
G059400,H27
G059401,H27
G059402,H27
G059403,H27
G059404,H27
G059405,H27
G059406,H27
G059407,H27
G059408,H27
G059409,H27
G0541,H0+H27
G050410,H0+H27
G050411,H0+H27
G050412,H0
G050413,H0
G050414,H0
G050415,H0
G050416,H0
G050417,H0
G050418,H0
G050419,H0
G051410,H0+H27
G051411,H0
G051412,H0
G051413,H0
G051414,H0
G051415,H0
G051416,H0
G051417,H0
G051418,H0
G051419,H0
G052410,H0+H27
G052411,H0
G052412,H0
G052413,H0
G052414,H0
G052415,H0
G052416,H0
G052417,H0
G052418,H0
G052419,H0
G053410,H0
G053411,H0
G053412,H0
G053413,H0
G053414,H0
G053415,H0
G053416,H0
G053417,H0
G053418,H0
G053419,H0
G054410,H0
G054411,H0
G054412,H0
G054413,H0
G054414,H0
G054415,H0
G054416,H0
G054417,H0
G054418,H0
G054419,H0
G055410,H0
G055411,H0
G055412,H0
G055413,H0
G055414,H0
G055415,H0
G055416,H0
G055417,H0
G055418,H0
G055419,H0
G056410,H0+H27
G056411,H0
G056412,H0
G056413,H0
G056414,H0
G056415,H0
G056416,H0
G056417,H0
G056418,H0
G056419,H0
G057410,H0+H27
G057411,H0+H27
G057412,H0+H27
G057413,H0
G057414,H0
G057415,H0
G057416,H0
G057417,H0
G057418,H0
G057419,H0
G058410,H27
G058411,H0+H27
G058412,H0+H27
G058413,H0
G058414,H0
G058415,H0
G058416,H0
G058417,H0
G058418,H0
G058419,H0
G059410,H27
G059411,H0+H27
G059412,H0
G059413,H0
G059414,H0
G059415,H0
G059416,H0
G059417,H0
G059418,H0
G059419,H0
G04L,H0
G04M,H0
G04N,H0
G04P,H0
G04Q,H0+H27
G0640,H0+H27
G060400,H27
G060401,H27
G060402,H27
G060403,H27
G060404,H27
G060405,H27
G060406,H27
G060407,H27
G060408,H27
G060409,H27
G061400,H27
G061401,H27
G061402,H27
G061403,H27
G061404,H27
G061405,H27
G061406,H27
G061407,H27
G061408,H0+H27
G061409,H0+H27
G062400,H27
G062401,H27
G062402,H27
G062403,H27
G062404,H27
G062405,H27
G062406,H27
G062407,H27
G062408,H0+H27
G062409,H0+H27
G063400,H27
G063401,H27
G063402,H27
G063403,H27
G063404,H27
G063405,H27
G063406,H27
G063407,H27
G063408,H27
G063409,H0+H27
G064400,H27
G064401,H27
G064402,H27
G064403,H27
G064404,H27
G064405,H27
G064406,H27
G064407,H27
G064408,H27
G064409,H0+H27
G065400,H27
G065401,H27
G065402,H27
G065403,H27
G065404,H27
G065405,H27
G065406,H27
G065407,H27
G065408,H27
G065409,H27
G066400,H27
G066401,H27
G066402,H27
G066403,H27
G066404,H27
G066405,H27
G066406,H27
G066407,H27
G066408,H27
G066409,H27
G067400,H27
G067401,H27
G067402,H27
G067403,H27
G067404,H27
G067405,H27
G067406,H27
G067407,H27
G067408,H27
G067409,H27
G068400,H27
G068401,H27
G068402,H27
G068403,H27
G068404,H27
G068405,H27
G068406,H27
G068407,H27
G068408,H27
G068409,H27
G069400,H27
G069401,H27
G069402,H27
G069403,H27
G069404,H27
G069405,H27
G069406,H27
G069407,H27
G069408,H27
G069409,H27
G0641,H0+H27
G060410,H0+H27
G060411,H0+H27
G060412,H0
G060413,H0
G060414,H0
G060415,H0
G060416,H0
G060417,H0
G060418,H0
G060419,H0
G061410,H0+H27
G061411,H0+H27
G061412,H0
G061413,H0
G061414,H0
G061415,H0
G061416,H0
G061417,H0
G061418,H0
G061419,H0
G062410,H0+H27
G062411,H0
G062412,H0
G062413,H0
G062414,H0
G062415,H0
G062416,H0
G062417,H0
G062418,H0
G062419,H0
G063410,H0+H27
G063411,H0+H27
G063412,H0
G063413,H0
G063414,H0
G063415,H0
G063416,H0
G063417,H0
G063418,H0
G063419,H0
G064410,H0+H27
G064411,H0+H27
G064412,H0
G064413,H0
G064414,H0
G064415,H0
G064416,H0
G064417,H0
G064418,H0
G064419,H0
G065410,H0+H27
G065411,H0
G065412,H0
G065413,H0
G065414,H0
G065415,H0
G065416,H0
G065417,H0
G065418,H0
G065419,H0
G066410,H0+H27
G066411,H0+H27
G066412,H0
G066413,H0
G066414,H0
G066415,H0
G066416,H0
G066417,H0
G066418,H0
G066419,H0
G067410,H27
G067411,H0+H27
G067412,H0+H27
G067413,H0
G067414,H0
G067415,H0
G067416,H0
G067417,H0
G067418,H0
G067419,H0
G068410,H27
G068411,H0+H27
G068412,H0+H27
G068413,H0+H27
G068414,H0
G068415,H0
G068416,H0
G068417,H0
G068418,H0
G068419,H0
G069410,H27
G069411,H0+H27
G069412,H0+H27
G069413,H0
G069414,H0
G069415,H0
G069416,H0
G069417,H0
G069418,H0
G069419,H0
G0740,H27
G0741,H0+H27
G070410,H27
G070411,H27
G070412,H0+H27
G070413,H0
G070414,H0
G070415,H0
G070416,H0
G070417,H0
G070418,H0
G070419,H0
G071410,H27
G071411,H0+H27
G071412,H0+H27
G071413,H0
G071414,H0
G071415,H0
G071416,H0
G071417,H0
G071418,H0
G071419,H0
G072410,H27
G072411,H27
G072412,H0+H27
G072413,H0
G072414,H0
G072415,H0
G072416,H0
G072417,H0
G072418,H0
G072419,H0
G073410,H27
G073411,H0+H27
G073412,H0+H27
G073413,H0
G073414,H0
G073415,H0
G073416,H0
G073417,H0
G073418,H0
G073419,H0
G074410,H27
G074411,H0+H27
G074412,H0
G074413,H0
G074414,H0
G074415,H0
G074416,H0
G074417,H0
G074418,H0
G074419,H0
G075410,H27
G075411,H0+H27
G075412,H0+H27
G075413,H0
G075414,H0
G075415,H0
G075416,H0
G075417,H0
G075418,H0
G075419,H0
G076410,H0+H27
G076411,H0+H27
G076412,H0+H27
G076413,H0
G076414,H0
G076415,H0
G076416,H0
G076417,H0
G076418,H0
G076419,H0
G077410,H0+H27
G077411,H0+H27
G077412,H0
G077413,H0
G077414,H0
G077415,H0
G077416,H0
G077417,H0
G077418,H0
G077419,H0
G078410,H0+H27
G078411,H0+H27
G078412,H0
G078413,H0
G078414,H0
G078415,H0
G078416,H0
G078417,H0
G078418,H0
G078419,H0
G079410,H0+H27
G079411,H0+H27
G079412,H0
G079413,H0
G079414,H0
G079415,H0
G079416,H0
G079417,H0
G079418,H0
G079419,H0
G04R,H0
G04S,H0
G04T,H0
G04U,H0
G04V,H0+H27
G0840,H0+H27
G080400,H27
G080401,H27
G080402,H27
G080403,H27
G080404,H27
G080405,H27
G080406,H27
G080407,H27
G080408,H27
G080409,H27
G081400,H27
G081401,H27
G081402,H27
G081403,H27
G081404,H27
G081405,H27
G081406,H27
G081407,H27
G081408,H27
G081409,H27
G082400,H27
G082401,H27
G082402,H27
G082403,H27
G082404,H27
G082405,H27
G082406,H27
G082407,H27
G082408,H27
G082409,H27
G083400,H27
G083401,H27
G083402,H27
G083403,H27
G083404,H27
G083405,H27
G083406,H27
G083407,H27
G083408,H27
G083409,H27
G084400,H27
G084401,H27
G084402,H27
G084403,H27
G084404,H27
G084405,H27
G084406,H27
G084407,H27
G084408,H27
G084409,H27
G085400,H27
G085401,H27
G085402,H27
G085403,H27
G085404,H27
G085405,H27
G085406,H27
G085407,H27
G085408,H27
G085409,H27
G086400,H27
G086401,H27
G086402,H27
G086403,H27
G086404,H27
G086405,H27
G086406,H27
G086407,H27
G086408,H27
G086409,H27
G087400,H27
G087401,H27
G087402,H27
G087403,H27
G087404,H27
G087405,H27
G087406,H27
G087407,H27
G087408,H27
G087409,H27
G088400,H27
G088401,H27
G088402,H27
G088403,H27
G088404,H27
G088405,H27
G088406,H27
G088407,H27
G088408,H27
G088409,H27
G089400,H27
G089401,H27
G089402,H27
G089403,H27
G089404,H27
G089405,H27
G089406,H27
G089407,H27
G089408,H27
G089409,H0+H27
G0841,H0+H27
G080410,H0+H27
G080411,H0
G080412,H0
G080413,H0
G080414,H0
G080415,H0
G080416,H0
G080417,H0
G080418,H0
G080419,H0
G081410,H0+H27
G081411,H0
G081412,H0
G081413,H0
G081414,H0
G081415,H0
G081416,H0
G081417,H0
G081418,H0
G081419,H0
G082410,H0+H27
G082411,H0
G082412,H0
G082413,H0
G082414,H0
G082415,H0
G082416,H0
G082417,H0
G082418,H0
G082419,H0
G083410,H0+H27
G083411,H0
G083412,H0
G083413,H0
G083414,H0
G083415,H0
G083416,H0
G083417,H0
G083418,H0
G083419,H0
G084410,H0+H27
G084411,H0
G084412,H0
G084413,H0
G084414,H0
G084415,H0
G084416,H0
G084417,H0
G084418,H0
G084419,H0
G085410,H0+H27
G085411,H0
G085412,H0
G085413,H0
G085414,H0
G085415,H0
G085416,H0
G085417,H0
G085418,H0
G085419,H0
G086410,H0+H27
G086411,H0+H27
G086412,H0
G086413,H0
G086414,H0
G086415,H0
G086416,H0
G086417,H0
G086418,H0
G086419,H0
G087410,H0+H27
G087411,H0+H27
G087412,H0
G087413,H0
G087414,H0
G087415,H0
G087416,H0
G087417,H0
G087418,H0
G087419,H0
G088410,H27
G088411,H0+H27
G088412,H0
G088413,H0
G088414,H0
G088415,H0
G088416,H0
G088417,H0
G088418,H0
G088419,H0
G089410,H0+H27
G089411,H0+H27
G089412,H0
G089413,H0
G089414,H0
G089415,H0
G089416,H0
G089417,H0
G089418,H0
G089419,H0
G0940,H0+H27
G090400,H27
G090401,H27
G090402,H27
G090403,H27
G090404,H27
G090405,H27
G090406,H27
G090407,H27
G090408,H0+H27
G090409,H0+H27
G091400,H27
G091401,H27
G091402,H27
G091403,H27
G091404,H27
G091405,H27
G091406,H27
G091407,H27
G091408,H0+H27
G091409,H0+H27
G092400,H27
G092401,H27
G092402,H27
G092403,H27
G092404,H27
G092405,H27
G092406,H27
G092407,H27
G092408,H0+H27
G092409,H0+H27
G093400,H27
G093401,H27
G093402,H27
G093403,H27
G093404,H27
G093405,H27
G093406,H27
G093407,H27
G093408,H0+H27
G093409,H0+H27
G094400,H27
G094401,H27
G094402,H27
G094403,H27
G094404,H27
G094405,H27
G094406,H27
G094407,H27
G094408,H0+H27
G094409,H0
G095400,H0+H27
G095401,H27
G095402,H27
G095403,H27
G095404,H27
G095405,H27
G095406,H27
G095407,H0+H27
G095408,H0+H27
G095409,H0
G096400,H0+H27
G096401,H0+H27
G096402,H0+H27
G096403,H0+H27
G096404,H0+H27
G096405,H0+H27
G096406,H0+H27
G096407,H0+H27
G096408,H0
G096409,H0
G097400,H0
G097401,H0
G097402,H0
G097403,H0
G097404,H0
G097405,H0
G097406,H0
G097407,H0
G097408,H0
G097409,H0
G098400,H0
G098401,H0
G098402,H0
G098403,H0
G098404,H0
G098405,H0
G098406,H0
G098407,H0
G098408,H0
G098409,H0
G099400,H0
G099401,H0
G099402,H0
G099403,H0
G099404,H0
G099405,H0
G099406,H0
G099407,H0
G099408,H0
G099409,H0
G0941,H0+H27
G090410,H0+H27
G090411,H0
G090412,H0
G090413,H0
G090414,H0
G090415,H0
G090416,H0
G090417,H0
G090418,H0
G090419,H0
G091410,H0
G091411,H0
G091412,H0
G091413,H0
G091414,H0
G091415,H0
G091416,H0
G091417,H0
G091418,H0
G091419,H0
G092410,H0
G092411,H0
G092412,H0
G092413,H0
G092414,H0
G092415,H0
G092416,H0
G092417,H0
G092418,H0
G092419,H0
G093410,H0
G093411,H0
G093412,H0
G093413,H0
G093414,H0
G093415,H0
G093416,H0
G093417,H0
G093418,H0
G093419,H0
G094410,H0
G094411,H0
G094412,H0
G094413,H0
G094414,H0
G094415,H0
G094416,H0
G094417,H0
G094418,H0
G094419,H0
G095410,H0
G095411,H0
G095412,H0
G095413,H0
G095414,H0
G095415,H0
G095416,H0
G095417,H0
G095418,H0
G095419,H0
G096410,H0
G096411,H0
G096412,H0
G096413,H0
G096414,H0
G096415,H0
G096416,H0
G096417,H0
G096418,H0
G096419,H0
G097410,H0
G097411,H0
G097412,H0
G097413,H0
G097414,H0
G097415,H0
G097416,H0
G097417,H0
G097418,H0
G097419,H0
G098410,H0
